#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1489018675 0.03 3682304 36346 1329481
1489018676 3.71 3993600 2816 903550
1489018677 5.35 4534272 2126 718064
1489018678 3.42 4796416 1692 635820
1489018679 2.48 5189632 1954 717814
1489018680 4.69 5455872 1870 726494
1489018681 5.84 5849088 1658 627380
1489018682 2.64 6242304 1716 726324
1489018683 2.43 6512640 1518 627310
1489018684 2.71 6774784 1786 726452
1489018685 4.59 7168000 1720 683126
1489018686 4.53 7561216 1386 580074
1489018687 1.7 7823360 1716 717814
1489018688 4.46 8216576 1716 726452
1489018689 3.02 8609792 1650 683056
1489018690 4.7 9003008 1584 670578
1489018691 4.99 9396224 1914 820796
1489018692 5.13 9920512 1452 580074
1489018693 0.78 10051584 1518 635948
1489018694 6.94 10444800 1584 670578
1489018695 2.07 10706944 1650 683056
1489018696 6.35 11100160 1848 773560
1489018697 3.78 11624448 1584 670706
1489018698 5.26 12017664 1848 773560
1489018699 2.31 12165120 1650 683056
1489018700 2.99 12558336 1848 773560
1489018701 7.16 13213696 1584 670578
1489018702 0.83 13213696 1650 683056
1489018703 2.78 13606912 1584 670706
1489018704 3.06 14000128 1518 627310
1489018705 1.97 14262272 1386 580074
1489018706 2.56 14524416 1518 635948
1489018707 2.78 14917632 1386 580202
1489018708 2.39 15179776 1650 717686
1489018709 2.62 15572992 1320 533036
1489018710 3.79 15835136 1188 489698
1489018711 3.65 16228352 1584 670578
1489018712 4.74 16621568 1518 627438
1489018713 1.0 16752640 1518 634862
1489018714 5.1 17260544 1254 522986
1489018715 1.01 17346560 1716 643234
1489018716 3.99 17739776 1362 515344
1489018717 5.3 18141184 1584 649396
1489018718 1.5 18305024 1518 633780
1489018719 2.06 18567168 1518 588734
1489018720 4.26 18960384 1584 581040
1489018721 1.88 19222528 1386 578164
1489018722 5.03 19615744 1386 572388
1489018723 1.42 19877888 1584 589634
1489018724 2.51 20140032 1584 597242
1489018725 2.33 20402176 1386 564590
1489018726 4.45 20795392 1452 573258
1489018727 2.51 21057536 1584 669108
1489018728 4.46 21450752 1254 515822
1489018729 1.93 21843968 1584 646364
1489018730 2.53 21983232 1518 574016
1489018731 4.81 22376448 2112 738872
1489018732 4.67 22786048 1584 594484
1489018733 2.13 23085056 1848 735354
1489018734 4.88 23478272 1584 619820
1489018735 4.41 23691264 1716 716600
1489018736 2.07 24219648 1518 598828
1489018737 2.49 24612864 1782 773458
1489018738 2.68 24883200 1518 626294
1489018739 2.85 25145344 1716 641974
1489018740 2.95 25538560 1782 667268
1489018741 2.57 25931776 1650 680822
1489018742 2.66 26193920 1848 735292
1489018743 2.56 26587136 1650 646320
1489018744 6.06 27111424 1518 626926
1489018745 2.11 27242496 1758 707168
1489018746 3.59 27766784 2046 784742
1489018747 4.81 28114944 1584 648962
1489018748 1.04 28377088 1716 579380
1489018749 4.27 28921856 1914 778256
1489018750 5.68 29327360 1584 620530
1489018751 0.96 29458432 1782 734466
1489018752 5.17 29982720 1584 623400
1489018753 2.08 30113792 1980 721480
1489018754 2.7 30507008 2178 698128
1489018755 6.22 30900224 1716 713334
1489018756 5.42 31293440 1716 726452
1489018757 3.76 31686656 1584 627376
1489018758 6.82 32071680 1518 634994
1489018759 1.29 32317440 1650 668794
1489018760 4.51 32579584 1848 685280
1489018761 4.68 32968704 1848 736122
1489018762 4.63 33501184 1782 772412
1489018763 4.58 33894400 1782 707092
1489018764 2.77 34156544 1980 692914
