#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1489018671 0.0 4939776 90 90
1489018672 0.03 2658304 364 168
1489018673 85.56 282243072 292 250
1489018674 84.54 290074624 820052 169064
1489018675 103.66 289947648 1592924 358710
1489018676 26.92 290197504 446008 100320
1489018677 61.67 290197504 1015796 232456
1489018678 67.61 290316288 1056416 241296
1489018679 63.64 290328576 1017446 231042
1489018680 56.38 290312192 944860 216644
1489018681 53.49 290181120 871513 201030
1489018682 59.32 290320384 917147 209606
1489018683 53.26 290185216 840287 191852
1489018684 53.28 290189312 847634 194360
1489018685 50.72 290181120 813829 185186
1489018686 47.06 290197504 697693 161096
1489018687 53.51 290189312 835623 192438
1489018688 47.64 290189312 747425 171912
1489018689 52.39 290316288 857043 197000
1489018690 50.35 290316288 791359 182142
1489018691 47.53 290426880 751502 172522
1489018692 43.23 290185216 736189 170196
1489018693 44.84 290193408 762193 175748
1489018694 42.45 290066432 655260 151716
1489018695 48.92 290070528 783939 179568
1489018696 51.05 290074624 890854 202866
1489018697 53.9 290062336 891417 204986
1489018698 56.7 290172928 922964 210588
1489018699 47.18 290299904 807204 185846
1489018700 45.24 290156544 721838 165254
1489018701 55.16 290279424 955454 219770
1489018702 57.12 290271232 982749 226502
1489018703 57.19 290045952 909306 207758
1489018704 55.83 290037760 865212 196728
1489018705 59.96 290443264 1040100 238382
1489018706 56.7 290570240 975158 222352
1489018707 49.34 290430976 803175 182348
1489018708 49.04 290582528 763518 173174
1489018709 52.36 290332672 832084 189006
1489018710 51.03 290324480 842967 190928
1489018711 52.57 290209792 828090 188692
1489018712 48.04 290332672 802962 182942
1489018713 49.05 290217984 804540 182340
1489018714 48.9 290467840 815793 186638
1489018715 50.55 290480128 814666 186044
1489018716 57.03 290471936 936233 210902
1489018717 54.8 290353152 894182 203526
1489018718 49.92 290598912 786640 178190
1489018719 49.75 290361344 779517 176342
1489018720 53.15 290353152 844019 191712
1489018721 56.46 290467840 939303 211454
1489018722 56.78 290357248 940321 212626
1489018723 50.89 290586624 808072 183602
1489018724 56.92 290316288 947311 215480
1489018725 57.77 290201600 938589 211858
1489018726 59.19 290230272 1025483 232236
1489018727 57.3 290217984 939596 212502
1489018728 51.78 290107392 845792 192050
1489018729 56.12 290353152 893395 202800
1489018730 65.4 290230272 932200 212444
1489018731 60.8 290217984 936178 212774
1489018732 54.4 290103296 828525 189080
1489018733 60.71 290234368 1023698 232376
1489018734 62.14 290230272 1009063 230710
1489018735 59.89 290340864 948790 216594
1489018736 64.86 290205696 1040437 235874
1489018737 64.42 290328576 994625 226304
1489018738 65.21 290217984 962454 220100
1489018739 56.23 290095104 834440 190590
1489018740 56.92 290103296 857165 196678
1489018741 66.5 290373632 1045255 239438
1489018742 64.41 290246656 950882 216932
1489018743 72.69 290496512 1092616 249008
1489018744 71.35 290619392 1087244 248802
1489018745 65.92 290480128 1059862 242144
1489018746 68.29 290471936 1096336 250122
1489018747 67.52 290488320 1126698 259164
1489018748 67.93 290369536 1047299 239306
1489018749 71.1 290488320 1084110 246938
1489018750 67.3 290238464 1079879 246690
1489018751 61.11 290365440 873131 199838
1489018752 55.38 290353152 823797 187562
1489018753 62.75 290246656 936788 213492
1489018754 61.69 290390016 932044 213772
1489018755 66.35 290258944 968316 222122
1489018756 66.25 290381824 993080 228350
1489018757 62.31 290271232 945696 216594
1489018758 71.06 290394112 1028466 235940
1489018759 67.21 290385920 1061924 242862
1489018760 68.55 290639872 1022504 233770
1489018761 63.16 290410496 964419 220166
1489018762 68.2 290537472 1065522 244256
1489018763 56.94 290541568 860788 197652
1489018764 61.57 290426880 880101 200894
1489018765 62.68 290406400 911528 207824
1489018766 61.11 290426880 879749 202206
1489018767 57.24 290304000 830450 191324
1489018768 60.73 290676736 900114 205910
1489018769 55.07 290189312 799039 183066
1489018770 68.21 290312192 999748 229670
1489018771 73.24 290328576 1063118 244512
1489018772 67.54 290201600 1029381 231980
1489018773 71.02 290336768 1064074 241484
1489018774 65.59 290336768 943519 215282
1489018775 56.83 290336768 814894 187224
1489018776 65.44 290467840 913842 209210
1489018777 61.85 290340864 882361 202074
1489018778 55.23 290721792 812971 187562
1489018779 55.51 290476032 807402 184056
1489018780 55.33 290467840 763393 175088
1489018781 61.64 290332672 860862 197388
1489018782 63.31 290222080 986204 224390
1489018783 79.81 290349056 1005399 230166
1489018784 70.91 290471936 977821 223796
1489018785 66.81 290349056 951966 217848
1489018786 77.47 290455552 1075442 244000
1489018787 77.4 290721792 1173409 268874
1489018788 72.64 290459648 1115792 255072
1489018789 74.78 290582528 1197448 271630
1489018790 66.03 290586624 953895 217130
1489018791 70.83 290222080 968702 220290
1489018792 74.09 290349056 1036744 236930
1489018793 80.59 290463744 1214862 279236
1489018794 65.9 290476032 1032922 236996
1489018795 62.56 290463744 1027670 236790
1489018796 65.09 290467840 997395 229340
1489018797 73.51 290603008 1069872 245312
1489018798 69.74 290476032 1084947 248076
1489018799 70.49 290590720 1042298 239438
1489018800 72.01 290598912 1038455 237780
1489018801 55.68 290598912 831797 190524
1489018802 51.28 290590720 764914 175616
1489018803 46.6 290455552 666953 153432
1489018804 48.4 290430976 697706 160114
1489018805 50.04 290222080 731418 167234
1489018806 52.58 290201600 795780 181226
1489018807 59.13 290328576 872386 197784
1489018808 59.98 290328576 894641 201942
1489018809 60.28 290222080 891760 201356
1489018810 57.06 290463744 866362 197454
1489018811 69.96 290324480 1039284 237194
1489018812 61.29 290340864 942165 214812
1489018813 62.05 290332672 924100 208286
1489018814 61.62 290344960 887326 200688
1489018815 59.74 290582528 875878 198122
1489018816 57.19 290336768 868137 196828
1489018817 52.61 290095104 773970 177464
1489018818 52.52 290213888 753876 173042
1489018819 52.52 290217984 758576 173512
1489018820 58.45 290467840 841575 191786
1489018821 59.14 290340864 869836 197586
1489018822 55.45 290463744 816602 185880
1489018823 63.36 290209792 930808 211124
1489018824 54.24 290205696 757913 172572
1489018825 54.85 290459648 765882 174164
1489018826 51.46 290332672 706276 161484
1489018827 51.96 290340864 704919 161088
1489018828 58.59 290328576 856528 195936
1489018829 64.27 290586624 955907 218186
1489018830 57.81 290217984 862540 197000
1489018831 52.26 290463744 735296 167762
1489018832 64.04 290353152 939943 211718
1489018833 59.26 290353152 817895 185318
1489018834 56.23 290459648 799269 181622
1489018835 58.68 290357248 830422 189278
1489018836 60.24 290349056 850852 193758
1489018837 60.3 290353152 846221 191258
1489018838 61.56 290234368 853017 193494
1489018839 60.9 290463744 841998 190788
1489018840 60.3 290217984 857092 194418
1489018841 57.28 290594816 796289 180706
1489018842 64.65 290336768 916014 209004
1489018843 56.74 290463744 808356 183132
1489018844 52.76 290476032 746213 170262
1489018845 53.04 290336768 735449 167762
1489018846 58.97 290234368 820269 186762
1489018847 55.03 290234368 768724 175360
1489018848 57.03 290484224 763201 174230
1489018849 52.52 290480128 726674 165354
1489018850 51.73 290365440 706796 161880
1489018851 60.04 290365440 841274 189814
1489018852 55.26 290476032 804561 183866
1489018853 45.12 290332672 563783 130068
1489018854 49.6 290217984 685034 157920
1489018855 50.44 290619392 698711 160238
1489018856 54.44 290369536 737301 169190
1489018857 59.47 290480128 818082 186118
1489018858 58.39 290480128 813169 185912
1489018859 58.77 290369536 827739 189864
1489018860 55.55 290238464 782053 177654
1489018861 60.12 290119680 871130 199112
1489018862 63.79 290230272 933297 213566
1489018863 61.16 290471936 884504 201884
1489018864 56.33 290463744 830440 190400
1489018865 55.36 290439168 782439 179898
1489018866 65.99 290459648 952189 217592
1489018867 62.54 290459648 891757 203856
1489018868 56.83 290336768 813573 186044
1489018869 54.6 290209792 788971 181218
1489018870 58.25 290193408 821603 188024
1489018871 54.37 290365440 750627 171062
1489018872 57.71 290480128 817735 185310
1489018873 60.48 290361344 890123 202668
1489018874 52.45 290369536 693366 158514
1489018875 54.64 290340864 763734 174238
1489018876 59.9 290349056 852565 192900
1489018877 59.91 290230272 852043 194352
1489018878 58.77 290488320 828222 189344
1489018879 61.25 290238464 847829 191324
1489018880 62.96 290246656 915911 206306
1489018881 55.19 290369536 799647 182208
1489018882 54.7 290238464 782467 178446
1489018883 59.28 290242560 827950 187802
1489018884 52.6 290357248 737946 168224
1489018885 62.41 290353152 877028 198914
1489018886 62.59 290238464 920278 208806
1489018887 52.85 290357248 734631 167836
1489018888 48.59 290349056 687396 156666
1489018889 48.38 290222080 678024 154794
1489018890 54.37 290340864 777676 177720
1489018891 54.56 290340864 814313 186440
1489018892 51.47 290353152 755700 172712
1489018893 50.58 290226176 756579 172778
1489018894 58.08 290238464 843395 190804
1489018895 58.52 290234368 841780 192174
1489018896 52.74 290357248 745278 170278
1489018897 58.38 290373632 888341 203072
1489018898 57.04 290496512 833049 190862
1489018899 59.99 290488320 889105 201818
1489018900 63.03 290467840 951345 214886
1489018901 60.43 290316288 870389 198114
1489018902 58.28 290484224 843011 192586
1489018903 56.0 290607104 827226 189278
1489018904 61.14 290480128 879633 199310
1489018905 62.39 290467840 882521 199904
1489018906 61.59 290598912 893327 202222
1489018907 64.55 290365440 940253 212766
1489018908 58.78 290230272 862439 195078
1489018909 56.49 290242560 810787 183140
1489018910 61.89 290484224 914681 208154
1489018911 60.23 290242560 886443 202800
1489018912 66.83 290492416 973102 222014
1489018913 60.8 290471936 876793 199962
1489018914 57.91 290357248 840146 192100
1489018915 49.32 290344960 709868 162680
1489018916 50.78 290590720 742755 169982
1489018917 53.9 290611200 738724 169074
1489018918 52.71 290476032 749908 172580
1489018919 55.27 290488320 781156 179708
1489018920 57.75 290480128 810461 184386
1489018921 58.29 290484224 820516 187034
1489018922 61.23 290361344 898758 205382
1489018923 63.89 290488320 934663 213336
1489018924 62.07 290115584 889163 203402
1489018925 56.58 290492416 792901 181424
1489018926 66.29 290496512 971477 221940
1489018927 63.65 290492416 949054 217196
1489018928 59.11 290619392 849633 194698
1489018929 61.7 290349056 886576 202808
1489018930 64.2 290242560 924515 209796
1489018931 65.67 290349056 976580 221552
1489018932 66.25 290234368 963113 217592
1489018933 59.59 290369536 851592 193370
1489018934 61.8 290492416 903252 205250
1489018935 59.77 290115584 825700 187224
1489018936 66.9 290222080 1002295 225248
1489018937 65.82 290496512 971578 219110
1489018938 67.4 290238464 989859 224308
1489018939 56.98 290242560 829103 189880
1489018940 55.33 290230272 781520 178322
1489018941 58.31 290115584 844254 193098
1489018942 63.25 290242560 903204 206504
1489018943 62.05 290242560 893047 203064
1489018944 60.43 290234368 859519 196142
1489018945 61.5 290369536 869698 198056
1489018946 59.77 290226176 877053 199244
1489018947 59.97 290369536 879802 200160
1489018948 63.96 290357248 912702 207230
1489018949 63.45 290476032 902975 203526
1489018950 60.02 290213888 863018 196572
1489018951 60.11 290340864 885563 200762
1489018952 63.11 290578432 942974 214086
1489018953 58.04 290430976 812327 185846
1489018954 67.5 290443264 970588 221948
1489018955 54.09 290426880 809710 185772
1489018956 53.55 290316288 776106 177044
1489018957 53.09 290447360 785605 179106
1489018958 55.45 290299904 728308 165320
1489018959 52.19 290357248 719621 163472
1489018960 60.77 290594816 829065 187892
1489018961 60.18 290476032 848977 194096
1489018962 58.47 290234368 842415 192644
