#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1489062496 0.0 3936256 1076 1316
1489062497 0.11 3932160 300 168
1489062498 0.11 3813376 474 160
1489062499 0.12 3813376 0 90
1489062500 58.47 4706304 4981430 2061576
1489062501 128.61 4722688 6507432 4235392
1489062502 126.94 4853760 6602620 4287911
1489062503 135.1 4730880 5635218 3563877
1489062504 130.82 4730880 6730396 4343008
1489062505 109.76 4759552 6242966 4009329
1489062506 66.3 4890624 4957532 2528276
1489062507 120.55 5021696 6541820 4265079
1489062508 143.13 4894720 9110330 6042594
1489062509 154.29 4800512 9494386 6551853
1489062510 138.56 4800512 8415172 5810732
1489062511 141.71 4800512 8811370 5701384
1489062512 142.49 4800512 9032324 5901869
1489062513 147.82 4800512 7983030 5151118
1489062514 153.61 4800512 8096456 5093774
1489062515 140.08 4800512 9320930 6039724
1489062516 144.06 4800512 9024666 6140632
1489062517 151.51 4800512 7130138 4674565
1489062518 149.79 4800512 7088656 4676157
1489062519 150.4 4800512 8805666 5681775
1489062520 143.8 4800512 9746404 6335200
1489062521 151.94 4800512 7484628 4745418
1489062522 149.49 4800512 9472712 6136329
1489062523 134.46 4800512 9231290 5387326
1489062524 143.1 4800512 8909516 5735896
1489062525 146.75 4800512 10263590 6411108
1489062526 147.38 4800512 9335228 5952908
1489062527 149.84 4931584 9302466 5938570
1489062528 147.5 4804608 8713470 5958061
1489062529 149.52 4935680 7756776 5168285
1489062530 150.85 4935680 8695186 5816925
1489062531 145.17 4808704 9399090 6443097
1489062532 144.34 4808704 9205984 6367434
1489062533 149.02 4808704 8190496 5406907
1489062534 153.56 4808704 7166706 4689553
1489062535 148.51 4808704 7065320 4574448
1489062536 151.77 4808704 7300402 4721727
1489062537 150.14 4808704 8528492 5820834
1489062538 145.73 4808704 9707820 6643928
1489062539 149.03 4808704 9005008 5979357
1489062540 152.44 4808704 7247458 4717894
1489062541 150.08 4808704 7008572 4603536
1489062542 152.31 4808704 10128500 6629126
1489062543 149.01 4808704 7143448 4562837
1489062544 154.77 4808704 7242628 4771083
1489062545 145.28 4808704 7744234 5002905
1489062546 143.44 4808704 8144482 5524263
1489062547 149.49 4808704 7166706 4652168
1489062548 151.03 4808704 9308476 6336117
1489062549 154.97 4808704 8867992 6020812
1489062550 145.17 4808704 9824360 6331163
1489062551 145.03 4808704 9836156 6408595
1489062552 147.58 4808704 9176822 5953847
1489062553 147.81 4808704 9685266 6639987
1489062554 149.13 4808704 8497550 5753224
1489062555 149.8 4808704 7236024 4726918
1489062556 152.03 4808704 7297656 4748625
1489062557 150.75 4808704 7215476 4630799
1489062558 144.98 4808704 9303328 5958785
1489062559 130.09 4808704 6858218 4458707
1489062560 135.65 4808704 7325588 4819073
1489062561 133.14 4939776 7516326 4879110
1489062562 136.9 4939776 7378770 4790272
1489062563 139.44 4939776 7343968 4788357
1489062564 136.24 4886528 7520296 4713527
1489062565 131.07 4874240 7258062 4607528
1489062566 138.3 4886528 7236024 4724541
1489062567 136.12 4886528 7598864 4941825
1489062568 134.84 4886528 7155520 4768369
1489062569 137.14 4886528 7606772 5012177
1489062570 134.33 4886528 7217890 4736420
1489062571 134.7 4886528 7062862 4660464
1489062572 133.72 4886528 7260696 4807738
1489062573 135.03 4886528 7070254 4620772
1489062574 138.86 4886528 7277988 4893798
1489062575 136.45 4886528 7242674 4834932
1489062576 134.25 4886528 7263150 4743623
1489062577 138.66 4886528 7377384 4738187
1489062578 134.53 4886528 7191184 4774218
1489062579 137.54 4886528 7300126 4712531
1489062580 137.6 4886528 7370426 4850206
1489062581 135.5 4886528 7495536 4898166
1489062582 137.22 4886528 7270476 4823742
1489062583 137.03 4886528 7515336 4990607
1489062584 137.58 4886528 7150404 4652102
1489062585 133.47 4886528 7164722 4626088
1489062586 141.08 4886528 8929104 5700999
1489062587 143.8 4886528 9328082 5927498
1489062588 151.19 4886528 7425492 4697774
1489062589 150.79 4759552 9001052 5737797
1489062590 144.48 4759552 9852030 6345320
1489062591 147.25 4759552 7220564 4626135
1489062592 151.82 4759552 9956580 6407958
