#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1488776260 10199164 1259520 2256 1960
1488776261 728259 1187840 3956 2926
1488776262 716182 1187840 3552 2592
1488776263 867331 1187840 3478 2538
1488776264 690326 1187840 3622 2592
1488776265 781525 1187840 3766 2716
1488776266 642379 1187840 3562 2622
1488776267 594424 1187840 3256 2376
1488776268 902202 1187840 3478 2538
1488776269 596068 1187840 3326 2446
1488776270 592425 1187840 3478 2538
1488776271 696435 1187840 3330 2430
1488776272 732694 1187840 3330 2430
1488776273 609027 1187840 3330 2430
1488776274 652190 1187840 3478 2538
1488776275 673804 1187840 3700 2700
1488776276 683833 1187840 3552 2592
1488776277 615437 1081344 3478 2538
1488776278 559898 1081344 3404 2484
1488776279 713100 1081344 3404 2484
1488776280 701446 1081344 3404 2484
1488776281 724304 1081344 3404 2484
1488776282 743532 1081344 3552 2592
1488776283 837996 1081344 3478 2538
1488776284 729163 1081344 3626 2646
1488776285 786356 1081344 3552 2592
1488776286 632813 1081344 3404 2484
1488776287 705224 1081344 3404 2484
1488776288 623289 1081344 3626 2646
1488776289 564695 1081344 3552 2592
1488776290 808664 1081344 3478 2538
1488776291 596665 1081344 3552 2592
1488776292 603821 1081344 3552 2592
1488776293 670267 1081344 3626 2646
1488776294 626772 1081344 3404 2484
1488776295 721400 1081344 3626 2646
1488776296 624990 1081344 3478 2538
1488776297 746841 1081344 3552 2592
1488776298 589083 1081344 3446 2526
1488776299 533357 1081344 3256 2376
1488776300 705698 1081344 3552 2592
1488776301 665364 1081344 3404 2484
1488776302 738558 1081344 3552 2592
1488776303 1199017 1081344 3552 2592
1488776304 735371 1081344 3846 2886
1488776305 754612 1081344 3478 2538
1488776306 617372 1081344 3330 2430
1488776307 688411 1081344 3478 2538
1488776308 745603 1081344 3330 2430
1488776309 876275 1081344 3404 2484
1488776310 921713 1081344 3552 2592
1488776311 745557 1081344 3404 2484
1488776312 980365 1081344 3478 2538
1488776313 858241 1081344 3700 2700
1488776314 625323 1081344 3404 2484
1488776315 690030 1081344 3446 2526
1488776316 686454 1081344 3478 2538
1488776317 702861 1081344 3478 2538
1488776318 863218 1081344 3478 2538
1488776319 659842 1081344 3552 2592
1488776320 791036 1081344 3298 2418
1488776321 744337 1081344 3552 2592
1488776322 644197 1081344 3478 2538
1488776323 701988 1081344 3626 2646
1488776324 733633 1081344 3404 2484
1488776325 542933 1081344 3478 2538
1488776326 492965 1081344 3404 2484
1488776327 721780 1081344 3552 2592
1488776328 637891 1081344 3626 2646
1488776329 672180 1081344 3404 2484
1488776330 692425 1081344 3404 2484
1488776331 548023 1081344 3404 2484
1488776332 712874 1081344 3552 2592
1488776333 705431 1081344 3404 2484
1488776334 689837 1081344 3404 2484
1488776335 709259 1081344 3404 2484
1488776336 721540 1081344 3552 2592
1488776337 550934 1081344 3552 2592
1488776338 651486 1081344 3552 2592
1488776339 639058 1081344 3330 2430
1488776340 670312 1081344 3626 2646
1488776341 686553 1081344 3330 2430
1488776342 620956 1081344 3520 2580
1488776343 692408 1081344 3330 2430
1488776344 797764 1081344 3552 2592
1488776345 605305 1081344 3256 2376
1488776346 675841 1081344 3256 2376
1488776347 546770 1081344 3414 2514
1488776348 702177 1081344 3688 2748
1488776349 781738 1081344 3404 2484
1488776350 851740 1081344 3034 2214
1488776351 660877 1081344 3404 2484
1488776352 607466 1081344 3552 2592
1488776353 633003 1081344 3256 2376
1488776354 636966 1081344 3256 2376
1488776355 623791 1081344 3330 2430
1488776356 743724 1081344 3330 2430
1488776357 768059 1081344 3626 2646
1488776358 706635 1081344 3404 2484
1488776359 678598 1081344 3330 2430
1488776360 630548 1081344 3626 2646
1488776361 679588 1081344 3478 2538
1488776362 798944 1081344 3404 2484
1488776363 631515 1081344 3404 2484
1488776364 776312 1081344 3636 2676
1488776365 780413 1081344 3182 2322
1488776366 810471 1081344 3552 2592
1488776367 559869 1081344 3330 2430
1488776368 668024 1081344 3478 2538
1488776369 591056 1081344 3330 2430
