#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1488776241 11900970 7303168 90 168
1488776242 1052636 7303168 336 250
1488776243 1355477 7098368 668 90
1488776244 1489795 7098368 250 0
1488776245 1544239 7098368 90 0
1488776246 1232561 7098368 0 70
1488776247 1305758 7098368 140 0
1488776248 612509 7098368 70 0
1488776249 1233346 7098368 0 0
1488776250 2094909 7098368 0 70
1488776251 1107014 7098368 140 0
1488776252 1051304 6754304 418 0
1488776253 1088099 6754304 418 0
1488776254 79991138 7868416 2533906 1042086
1488776255 75385603 8196096 2695126 1785278
1488776256 67856459 8704000 2388482 1570934
1488776257 79220592 8736768 2227171 1658702
1488776258 80708403 8626176 2160273 1727520
1488776259 57158206 8626176 1397916 1291020
1488776260 69295726 8757248 1292184 1303168
1488776261 65737841 8626176 1379926 1303490
1488776262 52590027 8626176 1271158 1287598
1488776263 56273850 8634368 1200766 1233004
1488776264 63977577 8634368 1332992 1358958
1488776265 59466299 8634368 1523160 1291624
1488776266 64631759 8634368 1195752 1351448
1488776267 60439321 8634368 1270328 1300888
1488776268 57342924 8634368 1299272 1228182
1488776269 61138452 8634368 1450670 1362440
1488776270 67365217 8634368 1536654 1539694
1488776271 73696067 8634368 1499950 1530726
1488776272 65770530 8634368 1514062 1403648
1488776273 62850769 8634368 1480304 1484796
1488776274 65718429 8634368 1474496 1458582
1488776275 63224987 8634368 1492602 1470958
1488776276 69605863 8634368 1636528 1603904
1488776277 73344790 8634368 1560834 1552400
1488776278 69714977 8654848 1494812 1468212
1488776279 72593719 8658944 1570396 1536744
1488776280 66821237 8658944 1441418 1466798
1488776281 69297382 8658944 1494858 1547360
1488776282 63361060 8654848 1551164 1464710
1488776283 72555502 8654848 1684816 1485636
1488776284 70781853 8654848 1550344 1667804
1488776285 72614054 8654848 1452780 1537304
1488776286 68335789 8654848 1713262 1538682
1488776287 72724505 8654848 1694160 1715664
1488776288 76670885 8654848 1573424 1667926
1488776289 68977824 8654848 1590150 1476154
1488776290 68889570 8654848 1653702 1554848
1488776291 68073511 8654848 1473016 1470356
1488776292 66318617 8654848 1364792 1430780
1488776293 69196516 8654848 1740206 1553960
1488776294 69139758 8654848 1395864 1475306
1488776295 70472739 8654848 1529668 1504456
1488776296 67921619 8654848 1544106 1546108
1488776297 66602873 8654848 1574016 1502580
1488776298 72836086 8654848 1461724 1503664
1488776299 72013208 8654848 1790936 1674516
1488776300 89178182 8654848 1596976 1696552
1488776301 87480701 8654848 1703942 1751138
1488776302 66851031 8654848 1515300 1493340
1488776303 64617864 8654848 1584176 1432246
1488776304 73461504 8654848 1494520 1569210
1488776305 66156028 8654848 1503904 1488012
1488776306 78275978 8654848 1808362 1688556
1488776307 77321844 8654848 1743122 1744204
1488776308 76649721 8663040 1733258 1671978
1488776309 85648039 8663040 1678050 1754372
1488776310 110804174 8663040 1573978 1666904
1488776311 105181024 8663040 2028414 1763330
1488776312 75578543 8663040 1587222 1626972
1488776313 69353997 8638464 1467276 1560938
1488776314 71793688 8638464 1729690 1596488
1488776315 66846566 8638464 1506386 1495748
1488776316 69613755 8638464 1475598 1533064
1488776317 87098558 8638464 1587436 1552810
1488776318 84558467 8638464 1938586 1672824
1488776319 64518972 8638464 1536724 1625050
1488776320 99988414 8638464 1596042 1611718
1488776321 66118016 8638464 1499308 1506822
1488776322 69745277 8638464 1542260 1553288
1488776323 75880916 8638464 1643412 1614116
1488776324 76961855 8769536 1714282 1688656
1488776325 68211650 8650752 1612896 1491018
1488776326 66813922 8650752 1513180 1561284
1488776327 73273921 8650752 1533990 1615954
1488776328 67394018 8650752 1800224 1556864
1488776329 101055966 8650752 1524542 1692266
1488776330 77485397 8781824 1741954 1707328
