#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1488408827 0.0 1531904 210 296
1488408828 0.12 1437696 3594 2600
1488408829 0.06 1314816 3634 2644
1488408830 0.05 1314816 3182 2412
1488408831 0.07 1314816 3404 2484
1488408832 0.05 1314816 3396 2376
1488408833 0.05 1314816 3918 2878
1488408834 0.06 1220608 3478 2538
1488408835 0.06 1220608 3700 2700
1488408836 0.06 1220608 3400 2430
1488408837 0.07 1220608 3552 2662
1488408838 0.06 1220608 3478 2538
1488408839 0.06 1220608 3404 2484
1488408840 0.06 1220608 3478 2538
1488408841 0.05 1220608 3182 2322
1488408842 0.06 1220608 3626 2646
1488408843 0.05 1220608 3256 2376
1488408844 0.06 1220608 3478 2538
1488408845 0.05 1220608 3330 2430
1488408846 0.06 1220608 3330 2430
1488408847 0.07 1220608 3256 2376
1488408848 0.05 1220608 3330 2430
1488408849 0.05 1220608 3552 2592
1488408850 0.07 1220608 3552 2592
1488408851 0.07 1220608 3552 2592
1488408852 0.06 1220608 3330 2430
1488408853 0.07 1220608 3478 2538
1488408854 0.05 1150976 3404 2484
1488408855 0.06 1150976 3330 2430
1488408856 0.06 1150976 3594 2634
1488408857 0.07 1150976 3700 2700
1488408858 0.06 1150976 3774 2754
1488408859 0.07 1150976 3404 2484
1488408860 0.06 1150976 3404 2484
1488408861 0.05 1150976 3774 2754
1488408862 0.06 1150976 3552 2592
1488408863 0.07 1150976 3478 2538
1488408864 0.06 1150976 3404 2484
1488408865 0.06 1150976 3330 2430
1488408866 0.06 1150976 3552 2592
1488408867 0.05 1150976 3404 2484
1488408868 0.05 1150976 3404 2484
1488408869 0.06 1150976 3330 2430
1488408870 0.07 1150976 3552 2592
1488408871 0.05 1150976 3836 2856
1488408872 0.05 1150976 3668 2688
1488408873 0.06 1150976 3404 2484
1488408874 0.05 1150976 3404 2484
1488408875 0.06 1150976 3552 2592
1488408876 0.05 1150976 3372 2472
1488408877 0.08 1150976 3700 2700
1488408878 0.06 1150976 3478 2538
1488408879 0.09 1150976 3478 2538
1488408880 0.04 1150976 3330 2430
1488408881 0.06 1150976 3330 2430
1488408882 0.06 1150976 3552 2592
1488408883 0.06 1150976 3182 2322
1488408884 0.07 1150976 3552 2592
1488408885 0.05 1150976 3594 2634
1488408886 0.06 1150976 3700 2700
1488408887 0.06 1150976 3626 2646
1488408888 0.05 1150976 3552 2592
1488408889 0.06 1150976 3330 2430
1488408890 0.05 1150976 3404 2484
1488408891 0.06 1150976 3626 2646
1488408892 0.06 1150976 3552 2592
1488408893 0.05 1150976 3404 2484
1488408894 0.06 1150976 3552 2592
1488408895 0.06 1150976 3774 2754
1488408896 0.07 1150976 3478 2538
1488408897 0.07 1150976 3700 2700
1488408898 0.06 1150976 3626 2646
1488408899 0.07 1150976 3626 2646
1488408900 0.05 1150976 3330 2430
1488408901 0.05 1150976 3626 2646
1488408902 0.06 1150976 3700 2700
1488408903 0.05 1150976 3478 2538
1488408904 0.07 1150976 3404 2484
1488408905 0.06 1150976 3478 2538
1488408906 0.05 1150976 3404 2484
1488408907 0.05 1150976 3404 2484
1488408908 0.06 1150976 3478 2538
1488408909 0.06 1150976 3330 2430
1488408910 0.06 1150976 3478 2538
1488408911 0.06 1150976 3404 2484
1488408912 0.05 1150976 3404 2484
1488408913 0.05 1150976 3478 2538
1488408914 0.06 1150976 3552 2592
1488408915 0.06 1150976 3582 2682
1488408916 0.06 1150976 3552 2592
1488408917 0.06 1150976 3552 2592
1488408918 0.06 1150976 3404 2484
1488408919 0.06 1150976 3224 2364
1488408920 0.06 1150976 3298 2418
1488408921 0.05 1150976 3552 2592
1488408922 0.06 1150976 3404 2484
1488408923 0.07 1150976 3256 2376
1488408924 0.06 1150976 3404 2484
1488408925 0.07 1150976 3182 2322
1488408926 0.05 1150976 3404 2484
1488408927 0.06 1150976 3256 2376
1488408928 0.06 1150976 3478 2538
1488408929 0.06 1150976 3552 2592
1488408930 0.06 1150976 3256 2376
1488408931 0.07 1150976 3552 2592
1488408932 0.06 1150976 3552 2592
1488408933 0.06 1150976 3404 2484
1488408934 0.07 1150976 3256 2376
1488408935 0.06 1150976 3552 2592
