#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1488408815 0.0 1417216 90 168
1488408816 0.12 1417216 418 250
1488408817 0.14 1417216 430 90
1488408818 0.14 1187840 168 0
1488408819 0.16 1024000 340 0
1488408820 0.1 1024000 238 70
1488408821 0.13 1155072 1218 538
1488408822 10.2 2174976 2366373 1441007
1488408823 10.28 2465792 3355883 1851466
1488408824 8.51 2592768 2939486 1673628
1488408825 10.18 2981888 2806958 1704988
1488408826 9.84 2981888 1809122 1794828
1488408827 5.21 3375104 1032740 947168
1488408828 0.83 3125248 124730 199896
1488408829 8.97 3125248 1616990 1459920
1488408830 9.34 3002368 1513720 1625928
1488408831 8.37 3002368 1546480 1532660
1488408832 11.17 3133440 1898948 1667682
1488408833 9.24 3022848 1609536 1708352
1488408834 10.55 2912256 1704184 1769738
1488408835 9.99 2912256 1780232 1657724
1488408836 9.3 2912256 1662094 1682960
1488408837 8.93 2912256 1613240 1538614
1488408838 8.76 2912256 1403320 1434926
1488408839 7.87 2912256 1637994 1516132
1488408840 8.85 2912256 1553528 1503946
1488408841 6.55 2912256 1314604 1352310
1488408842 6.55 2912256 1289788 1195218
1488408843 6.72 2912256 1296276 1278688
1488408844 6.44 2912256 1260872 1256148
1488408845 6.77 2912256 1297276 1293942
1488408846 7.48 2912256 1264172 1229232
1488408847 6.85 2912256 1348738 1316962
1488408848 8.37 2912256 1467548 1555092
1488408849 7.71 2912256 1509622 1415290
1488408850 9.08 2912256 1723956 1522792
1488408851 7.98 2912256 1335390 1392072
1488408852 7.35 2912256 1376766 1496514
1488408853 8.16 2912256 1592228 1428070
1488408854 7.14 2912256 1545216 1481014
1488408855 9.24 2912256 1641880 1498472
1488408856 8.26 2912256 1445798 1427416
1488408857 7.77 2912256 1401916 1546472
1488408858 9.08 2895872 1593682 1431048
1488408859 7.32 3022848 1272638 1419284
1488408860 9.78 2895872 1651812 1511170
1488408861 7.24 2895872 1439740 1468932
1488408862 9.08 2895872 1699120 1397550
1488408863 8.63 2895872 1470028 1542672
1488408864 6.49 2895872 1430096 1410078
1488408865 7.53 2895872 1399316 1478632
1488408866 7.22 3026944 1539176 1576410
1488408867 7.08 3026944 1466854 1399902
1488408868 6.99 3026944 1492808 1519612
1488408869 8.1 2899968 1571734 1469618
1488408870 8.29 2899968 1613660 1491294
1488408871 5.91 2830336 1397382 1410756
1488408872 7.17 2961408 1569448 1490524
1488408873 8.29 3092480 1451220 1516124
1488408874 8.3 2977792 1537420 1392882
1488408875 7.67 2977792 1353848 1425696
1488408876 10.76 2977792 1460686 1469568
1488408877 9.45 2977792 1730338 1487596
1488408878 6.85 3067904 1231510 1377226
1488408879 7.95 2965504 1557040 1510262
1488408880 8.35 3076096 1587964 1477298
1488408881 6.86 2949120 1466830 1435558
1488408882 7.69 2949120 1459092 1442706
1488408883 7.96 2949120 1499614 1488334
1488408884 6.58 2949120 1321810 1419816
1488408885 8.04 2953216 1547848 1468566
1488408886 8.44 2953216 1664186 1491108
1488408887 8.68 2953216 1366754 1426306
1488408888 8.36 2953216 1521876 1461402
1488408889 8.48 2953216 1664476 1462986
1488408890 6.81 2953216 1257926 1469290
1488408891 8.29 3076096 1490496 1508342
1488408892 7.34 3076096 1588444 1469762
1488408893 8.07 3076096 1553762 1509100
1488408894 7.98 3076096 1482890 1491906
1488408895 6.63 3076096 1483196 1450410
1488408896 7.57 3076096 1546330 1493846
1488408897 7.39 3018752 1540258 1482186
1488408898 7.22 3063808 1350948 1399700
1488408899 7.62 2940928 1601836 1490822
1488408900 7.34 2940928 1512058 1523388
1488408901 7.77 2940928 1538160 1481660
1488408902 6.81 3072000 1492866 1461936
1488408903 8.58 3072000 1563996 1533514
1488408904 8.11 3084288 1534196 1455176
1488408905 7.9 3149824 1395452 1491624
1488408906 7.2 2940928 1590768 1447704
1488408907 9.01 2940928 1576570 1482364
1488408908 7.95 3072000 1515186 1533514
1488408909 8.62 2957312 1557544 1556842
1488408910 7.34 2957312 1463482 1481930
1488408911 7.55 3088384 1545028 1484372
1488408912 8.62 3088384 1561354 1490016
1488408913 7.76 2908160 1496492 1434704
1488408914 7.8 2908160 1465032 1486292
1488408915 8.86 2908160 1555670 1497142
1488408916 6.6 3043328 1374264 1447480
1488408917 8.23 3043328 1484410 1398430
1488408918 7.7 2916352 1551080 1498588
1488408919 7.38 2916352 1453036 1477828
1488408920 7.67 2916352 1543704 1496094
1488408921 8.6 2916352 1747732 1483714
1488408922 6.5 2916352 1285162 1456798
1488408923 7.93 2916352 1494440 1481860
1488408924 8.11 2916352 1456996 1470312
1488408925 7.25 2891776 1486336 1480904
1488408926 7.47 2891776 1646152 1496444
1488408927 8.22 3153920 1462938 1427820
