#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1488408824 21758700 1871872 11960 186427
1488408825 78050327 1822720 2214 1208519
1488408826 2899155 1835008 1838 413124
1488408827 6960276 1732608 898 260206
1488408828 1284314 1732608 526 73728
1488408829 24015553 1732608 994 401232
1488408830 3395255 1732608 974 355336
1488408831 6387622 1863680 990 327866
1488408832 11540702 1863680 1192 517948
1488408833 7548033 1880064 1056 397468
1488408834 8883539 1773568 1324 437800
1488408835 9412004 1773568 1056 452256
1488408836 8877322 1773568 990 448922
1488408837 8067576 1773568 792 310274
1488408838 23705579 1773568 858 412836
1488408839 103074 1773568 1650 476944
1488408840 7507086 1773568 990 358048
1488408841 6775375 1773568 792 311092
1488408842 7324056 1773568 792 324058
1488408843 8927189 1773568 1056 408370
1488408844 4554592 1773568 726 294940
1488408845 6681637 1773568 660 252142
1488408846 25844099 1773568 990 348780
1488408847 1585340 1773568 1386 412994
1488408848 6444696 1773568 924 303256
1488408849 9262590 1773568 1122 432738
1488408850 8403515 1773568 990 389598
1488408851 8400964 1773568 924 381762
1488408852 5573511 1773568 636 253390
1488408853 12996600 1773568 1188 495020
1488408854 9384736 1773568 1188 394144
1488408855 6304997 1773568 990 368284
1488408856 8854701 1773568 858 362652
1488408857 7992492 1773568 924 386084
1488408858 7953954 1773568 858 381814
1488408859 7074738 1773568 726 316852
1488408860 17218112 1773568 1122 409442
1488408861 4935393 1773568 1056 349316
1488408862 9702537 1773568 1320 424418
1488408863 8327837 1773568 924 392926
1488408864 9674351 1773568 990 402782
1488408865 6378442 1773568 726 290328
1488408866 9196805 1773568 858 387678
1488408867 26259651 1773568 858 365616
1488408868 0 1773568 858 334266
1488408869 7170918 1773568 990 411106
1488408870 9553459 1773568 1386 456294
1488408871 7133965 1773568 726 301336
1488408872 8364413 1773568 990 411676
1488408873 8072386 1773568 990 375196
1488408874 8481950 1773568 858 375010
1488408875 7384176 1773568 768 316382
1488408876 8259659 1773568 924 384048
1488408877 21704964 1773568 1254 432746
1488408878 1435115 1773568 924 332316
1488408879 7859810 1773568 792 338712
1488408880 8438593 1773568 1122 411358
1488408881 7635904 1773568 990 376352
1488408882 9157328 1773568 990 390744
1488408883 7513968 1777664 858 328992
1488408884 6949872 1777664 792 362074
1488408885 8464691 1777664 1122 394520
1488408886 8496043 1777664 1122 387690
1488408887 7803198 1777664 924 394334
1488408888 10006372 1777664 924 395226
1488408889 8339414 1777664 1122 367086
1488408890 5845421 1777664 594 248372
1488408891 32044524 1777664 924 397394
1488408892 1420222 1777664 1386 434026
1488408893 8750178 1777664 1188 409120
1488408894 8215023 1777664 1056 384216
1488408895 6683168 1777664 792 324888
1488408896 8334081 1777664 924 390536
1488408897 7985284 1777664 858 376792
1488408898 6906332 1777664 768 315304
1488408899 24525258 1777664 1122 438708
1488408900 100391 1777664 1188 366620
1488408901 8292694 1777664 990 372252
1488408902 7704721 1777664 858 397146
1488408903 9756723 1777664 990 402782
1488408904 7092745 1777664 792 355352
1488408905 6276111 1777664 792 319086
1488408906 9302522 1777664 924 410986
1488408907 28904387 1777664 1122 413984
1488408908 1119840 1777664 1188 352540
1488408909 7021697 1777664 924 405470
1488408910 7803034 1777664 858 355418
1488408911 8103845 1777664 858 387228
1488408912 7774524 1777664 990 387872
1488408913 8605355 1777664 858 390370
1488408914 6471260 1777664 726 307702
1488408915 21481198 1777664 1056 392868
1488408916 2640314 1777664 1254 409298
1488408917 6403650 1777664 1122 380766
1488408918 22831752 1777664 792 341912
1488408919 0 1777664 858 352990
1488408920 7910046 1777664 900 388100
1488408921 9330937 1777664 1122 463776
1488408922 6426142 1777664 726 310680
1488408923 8244778 1777664 924 387484
1488408924 6736324 1777664 726 318128
1488408925 8415820 1777664 858 378052
1488408926 20915090 1777664 1188 436136
1488408927 3698792 1777664 1188 370782
1488408928 8296659 1777664 1056 368226
1488408929 8333800 1777664 924 389342
1488408930 8835196 1777664 990 412444
1488408931 7945514 1777664 792 358680
1488408932 8512143 1777664 858 383548
1488408933 7170156 1777664 660 311998
1488408934 25183565 1777664 1122 429858
1488408935 0 1777664 1320 357724
1488408936 7896317 1777664 990 388256
1488408937 7588034 1777664 990 334056
1488408938 7701512 1777664 990 393760
1488408939 8766519 1777664 924 402782
1488408940 5095605 1777664 726 291010
1488408941 6663398 1777664 726 318944
1488408942 5703951 1777664 594 247926
1488408943 22179461 1777664 900 390610
1488408944 2647618 1777664 1452 440740
1488408945 8278782 1777664 924 346586
1488408946 8140420 1777664 924 392348
1488408947 9507351 1777664 1056 451298
1488408948 6237089 1777664 726 312348
1488408949 8364536 1777664 858 385956
1488408950 22187133 1777664 990 376698
1488408951 0 1777664 792 327386
1488408952 7689869 1777664 1386 437540
1488408953 9594649 1777664 1122 415966
1488408954 7406119 1777664 792 348096
1488408955 6921958 1777664 792 353126
1488408956 7027671 1777664 792 314670
1488408957 31715461 1777664 990 438064
1488408958 99449 1777664 1188 367132
1488408959 32850762 1777664 1122 372446
1488408960 1161246 1777664 924 397212
1488408961 8973073 1777664 858 401436
1488408962 5751714 1777664 726 288972
1488408963 29652168 1777664 924 391804
1488408964 2572748 1777664 990 398108
1488408965 9390226 1777664 1362 443090
1488408966 6333032 1777664 924 333392
1488408967 7737434 1777664 858 402716
1488408968 8268059 1777664 858 363420
