#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1488408818 5769007 2359296 90 90
1488408819 10982973 5369856 168 90
1488408820 493010048 285503488 390 78
1488408821 716940352 286453760 1550 1386
1488408822 262015231 287248384 1629287 435688
1488408823 1141753630 287252480 2740642 1846255
1488408824 1133837492 287481856 2551526 1826954
1488408825 1136099956 287518720 2586180 1818102
1488408826 1142421179 287375360 2699918 1858746
1488408827 603493582 287404032 1346442 820975
1488408828 114261962 287649792 265350 261982
1488408829 1233407938 287764480 2179840 1550483
1488408830 1129794033 287752192 2612162 1804876
1488408831 1228158056 287744000 2243648 1615320
1488408832 1160761061 287592448 2527130 1742006
1488408833 1141141674 287731712 2633986 1877683
1488408834 1110950570 287834112 2643550 1838148
1488408835 1158889011 287703040 2582540 1806447
1488408836 1109437003 287674368 2514628 1802581
1488408837 1228354245 287649792 2373582 1628490
1488408838 1233012650 287612928 2208140 1596562
1488408839 1239250185 287584256 2395014 1650476
1488408840 1217500882 287690752 2321162 1641617
1488408841 1114106098 287653888 2047950 1395725
1488408842 1103053757 287535104 1869280 1353292
1488408843 1097715655 287637504 1945354 1338924
1488408844 1103876451 287641600 1952650 1397197
1488408845 1110751073 287494144 1977462 1371052
1488408846 1092958529 287600640 1974034 1371063
1488408847 1105171520 287580160 1968286 1430352
1488408848 1102029476 287715328 2251860 1558927
1488408849 1119397631 287694848 2285456 1589029
1488408850 1116200085 287805440 2318138 1596202
1488408851 1108925891 287674368 2256200 1574223
1488408852 1116251702 287645696 2206662 1584785
1488408853 1104936218 287621120 2298378 1569620
1488408854 1095965352 287592448 2251704 1575806
1488408855 1107105442 287694848 2164784 1566844
1488408856 1114089102 287531008 2309808 1591723
1488408857 1101583415 287518720 2195616 1558430
1488408858 1107791245 287379456 2249852 1570390
1488408859 1112205038 287354880 2248450 1588829
1488408860 1105949175 287719424 2293394 1570510
1488408861 1105692635 287571968 2237366 1544232
1488408862 1112077792 287543296 2214422 1567402
1488408863 1100172936 287645696 2293820 1579784
1488408864 1108418162 287612928 2176594 1536749
1488408865 1106329134 287596544 2262844 1572392
1488408866 1126943955 287571968 2392900 1637561
1488408867 1096728804 287551488 2171020 1550404
1488408868 1106369423 287522816 2297950 1562171
1488408869 1104156482 287756288 2255364 1576723
1488408870 1106460449 287875072 2269298 1564106
1488408871 1156222580 287723520 2170486 1523542
1488408872 1117159318 287707136 2273024 1571652
1488408873 1089840732 287621120 2280746 1554943
1488408874 1131842478 287498240 2181904 1585959
1488408875 1091126377 287604736 2187892 1530776
1488408876 1127562605 287457280 2275962 1545525
1488408877 1092448102 287559680 2205138 1513130
1488408878 1129765401 287473664 2246962 1575615
1488408879 1095971203 287457280 2199966 1554387
1488408880 1107449198 287465472 2249048 1551535
1488408881 1151675679 287559680 2190796 1515305
1488408882 1148927631 287670272 2211862 1544625
1488408883 1102513101 287535104 2265554 1558454
1488408884 1120521736 287506432 2209168 1584393
1488408885 1099135514 287539200 2229868 1526412
1488408886 1105322832 287449088 2217258 1555915
1488408887 1111461354 287420416 2261580 1575768
1488408888 1115329956 287522816 2246736 1575166
1488408889 1098959498 287391744 2238160 1556738
1488408890 1101399335 287354880 2258204 1584134
1488408891 1113556316 287420416 2288222 1566072
1488408892 1107164115 287391744 2264460 1596769
1488408893 1096401798 287363072 2291720 1571032
1488408894 1114795926 287473664 2278234 1576681
1488408895 1106251740 287444992 2232424 1571194
1488408896 1102524304 287420416 2278614 1576384
1488408897 1122067280 287518720 2265586 1572099
1488408898 1091294504 287444992 2167704 1540437
1488408899 1113762988 287543296 2282612 1589721
1488408900 1092649409 287645696 2243158 1566549
1488408901 1122582418 287625216 2379280 1607487
1488408902 1101499810 287510528 2197756 1549774
1488408903 1105421872 287621120 2303416 1548133
1488408904 1099278683 287399936 2185316 1547228
1488408905 1120876091 287514624 2360014 1592434
1488408906 1104149563 287612928 2197594 1576430
1488408907 1107790114 287588352 2345014 1584397
1488408908 1103842172 287453184 2250170 1587171
1488408909 1112731547 287559680 2218116 1551622
1488408910 1101947858 287686656 2323210 1572747
1488408911 1116318916 287547392 2342456 1614419
1488408912 1100716083 287617024 2201892 1538400
1488408913 1125672051 287850496 2374588 1602798
1488408914 1093777520 287825920 2164698 1537384
1488408915 1094983891 287842304 2188118 1544988
1488408916 1112020458 287698944 2299592 1553162
1488408917 1105703317 287674368 2158226 1525466
1488408918 1099755702 287657984 2273460 1556118
1488408919 1119908588 287629312 2270158 1591121
1488408920 1103848828 287604736 2268454 1551819
1488408921 1094255519 287576064 2213408 1548547
1488408922 1116031389 287477760 2285430 1583715
1488408923 1104447982 287576064 2267594 1580211
1488408924 1117647959 287580160 2251236 1567925
1488408925 1092801407 287485952 2253504 1551122
1488408926 1096747561 287723520 2278490 1569843
1488408927 1113415831 287481856 2262282 1564332
1488408928 1105593097 287584256 2249614 1577220
