#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1488415949 10152711 1433600 1124 1484
1488415950 1143028 1179648 454 160
1488415951 93049697 1937408 438687 104370
1488415952 180451845 1794048 933884 225126
1488415953 175551005 1794048 844800 206118
1488415954 171226261 1794048 711966 177214
1488415955 140306245 1794048 709296 174216
1488415956 89404 1794048 292 116
1488415957 125484819 1794048 640650 149414
1488415958 161467782 1794048 843518 208476
1488415959 153096838 1794048 726410 181164
1488415960 169913235 1794048 636344 158654
1488415961 177908200 1794048 670693 167168
1488415962 191311262 1794048 576165 144266
1488415963 154795402 1794048 743307 184320
1488415964 141891521 1794048 823076 203732
1488415965 144596925 1794048 594700 147880
1488415966 156922069 1794048 774114 192512
1488415967 166492801 1794048 723999 181424
1488415968 180307982 1794048 680755 170138
1488415969 159220305 1794048 636493 157928
1488415970 147175704 1794048 715024 178248
1488415971 171319993 1794048 689028 172580
1488415972 184158688 1794048 537703 134688
1488415973 144747615 1794048 664900 166302
1488415974 145408445 1794048 751680 187108
1488415975 165641993 1794048 675722 168282
1488415976 180578484 1794048 568830 142616
1488415977 176761772 1794048 655368 163794
1488415978 187173167 1794048 548131 137460
1488415979 179988423 1794048 468373 117404
1488415980 181381114 1794048 521845 131066
1488415981 224113896 1794048 481837 121224
1488415982 194583281 1794048 535139 134696
1488415983 191967431 1794048 461219 116010
1488415984 192746447 1794048 454324 114038
1488415985 194221988 1794048 492038 123526
1488415986 193890379 1794048 538859 134894
1488415987 198804114 1794048 479736 120572
1488415988 210826469 1794048 448903 112586
1488415989 168729436 1794048 601294 151460
1488415990 192975280 1794048 574110 143796
1488415991 171888656 1794048 627016 156806
1488415992 181599326 1794048 563695 140678
1488415993 148325834 1794048 709797 177530
1488415994 170278608 1794048 618338 155090
1488415995 144435057 1794048 689295 172242
1488415996 152473373 1794048 720451 179972
1488415997 206335005 1794048 699943 174552
1488415998 151959728 1794048 683199 171656
1488415999 146693873 1794048 706768 176532
1488416000 154525971 1794048 661517 165774
1488416001 154077949 1794048 658268 165048
1488416002 176806386 1794048 619745 155214
1488416003 149221507 1794048 782766 195482
1488416004 193838370 1794048 597259 149942
1488416005 184447676 1794048 663681 165980
1488416006 196579430 1794048 771924 193304
1488416007 204869410 1794048 611135 153564
1488416008 175389957 1794048 669894 167828
1488416009 184050184 1794048 741657 185648
1488416010 167350911 1794048 730711 182736
1488416011 180836216 1794048 706943 176474
1488416012 180110583 1794048 709756 177728
1488416013 153948530 1794048 769129 192240
1488416014 160604796 1794048 823094 205588
1488416015 183522225 1794048 907443 225834
1488416016 160742732 1794048 784475 196142
1488416017 159829950 1794048 755864 189080
1488416018 182653581 1794048 667374 166962
1488416019 167860355 1794048 682177 170246
1488416020 179049238 1794048 604491 151188
1488416021 183846653 1794048 673188 168686
1488416022 157364024 1794048 665248 165650
1488416023 173181462 1925120 741629 183272
1488416024 181143789 1925120 723688 180492
1488416025 167526919 1798144 707723 177126
1488416026 178041929 1798144 654487 163844
1488416027 180691989 1798144 753334 188222
1488416028 154954964 1798144 748547 187884
1488416029 173320649 1798144 741464 185046
1488416030 136061835 1798144 733777 184328
1488416031 171136670 1798144 726446 181952
1488416032 121687656 1798144 767205 191440
1488416033 165569599 1798144 752931 188222
1488416034 160658364 1798144 762430 190862
1488416035 161382183 1798144 738547 183924
1488416036 151547825 1798144 742676 185054
1488416037 144568283 1798144 783228 196010
1488416038 145126142 1798144 727971 181952
1488416039 147592004 1798144 749421 187554
1488416040 166502581 1798144 750598 187364
1488416041 142170741 1798144 763524 191118
1488416042 148545854 1798144 747618 186440
1488416043 162520244 1798144 716237 179106
1488416044 171578545 1798144 799231 200078
1488416045 179608220 1798144 673297 168150
1488416046 158059196 1798144 769799 192446
1488416047 153335246 1798144 682894 170806
1488416048 175646494 1798144 574744 144390
1488416049 168505797 1798144 652056 163398
1488416050 177951556 1798144 596180 149142
1488416051 147704473 1798144 652269 163044
1488416052 181487857 1798144 608960 152912
1488416053 159815072 1798144 734706 183470
1488416054 141663116 1798144 696895 173364
1488416055 178040920 1798144 746380 186036
1488416056 148420551 1798144 814859 202932
1488416057 167473168 1798144 763199 189608
1488416058 162733422 1798144 746091 186300
1488416059 163842569 1798144 712320 177324
1488416060 152063918 1798144 669889 166904
1488416061 161402171 1798144 739877 184452
1488416062 161592169 1798144 575493 144258
1488416063 186070728 1798144 597441 149406
1488416064 169195302 1798144 620847 155090
1488416065 158066044 1798144 732385 182810
1488416066 158077311 1798144 629047 156806
1488416067 159519601 1798144 679329 169272
1488416068 211985420 1798144 522306 130876
1488416069 155055777 1798144 745101 185970
1488416070 170252735 1798144 671777 168068
1488416071 171480229 1798144 642689 160898
1488416072 156730436 1798144 739367 184386
1488416073 156626028 1798144 762150 190672
1488416074 172157423 1798144 685796 171854
1488416075 140760625 1798144 741149 185846
1488416076 177151218 1798144 641404 160238
1488416077 195432123 1798144 560763 140538
1488416078 172538890 1798144 636504 159050
1488416079 169408327 1798144 722065 180954
1488416080 164555428 1798144 708016 177456
1488416081 168264575 1798144 653898 163736
1488416082 147261588 1798144 629421 157342
1488416083 180876523 1798144 564143 141032
1488416084 156723977 1798144 683518 171582
1488416085 150186681 1798144 696187 173966
1488416086 157707874 1798144 691995 172646
1488416087 174009773 1798144 665196 166236
1488416088 142191984 1798144 676042 169882
1488416089 172867874 1798144 650078 162672
1488416090 167706630 1798144 734368 183594
1488416091 171715348 1798144 785433 195738
1488416092 180439201 1798144 765964 190392
1488416093 166017761 1798144 764150 189732
1488416094 161337550 1798144 771810 192446
1488416095 178392020 1798144 788713 195482
1488416096 179802474 1798144 739646 184106
1488416097 160929014 1798144 626265 156996
1488416098 164765619 1798144 692883 172704
1488416099 171306885 1798144 725860 179510
1488416100 175239892 1798144 736200 183074
1488416101 150464105 1798144 800361 199838
1488416102 164680103 1798144 783690 196002
1488416103 178323160 1798144 774036 193024
1488416104 180330757 1798144 757182 188346
1488416105 165053281 1798144 756366 187760
1488416106 171831424 1798144 743041 184518
1488416107 188149107 1798144 733062 182612
