#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1488415945 9398712 1388544 90 180
1488415946 598407 1388544 168 0
1488415947 1091184 1024000 430 78
1488415948 1613962 1024000 238 250
1488415949 1206734 1155072 1082 472
1488415950 1128522 1044480 404 66
1488415951 952456 1044480 132 0
1488415952 918993 1044480 202 70
1488415953 836527 1044480 650 0
1488415954 883677 1044480 480 0
1488415955 702055 1044480 286 42
1488415956 447347 1196032 908 756
1488415957 719333 1069056 394 444
1488415958 734563 1069056 464 444
1488415959 840073 1069056 394 444
1488415960 899181 1069056 324 444
1488415961 909248 1069056 378 518
1488415962 809057 1069056 464 444
1488415963 1133154 1069056 432 592
1488415964 772709 1069056 378 518
1488415965 887100 1069056 378 518
1488415966 771946 1069056 378 518
1488415967 795944 1069056 324 444
1488415968 1114410 1069056 432 592
1488415969 801122 1069056 378 518
1488415970 796262 1069056 270 370
1488415971 807480 1069056 378 518
1488415972 1109191 1069056 378 518
1488415973 760612 1069056 324 444
1488415974 726718 1069056 324 444
1488415975 790035 1069056 378 518
1488415976 990723 1069056 324 444
1488415977 905305 1069056 324 444
1488415978 756562 1069056 378 518
1488415979 920840 1069056 378 518
1488415980 1015119 1069056 378 518
1488415981 1056905 1069056 378 518
1488415982 1060878 1069056 378 518
1488415983 926329 1069056 324 444
1488415984 748821 1069056 324 444
1488415985 986709 1069056 378 518
1488415986 819304 1069056 324 444
1488415987 1191357 1069056 432 592
1488415988 908985 1069056 378 518
1488415989 816228 1069056 324 444
1488415990 911923 1069056 378 518
1488415991 882624 1069056 432 592
1488415992 1090783 1069056 378 518
1488415993 863424 1069056 378 518
1488415994 781782 1069056 324 444
1488415995 864263 1069056 420 560
1488415996 1090422 1069056 378 518
1488415997 939347 1069056 378 518
1488415998 964439 1069056 324 444
1488415999 1126668 1069056 378 518
1488416000 1050163 1069056 378 518
1488416001 962405 1069056 378 518
1488416002 1000375 1069056 378 518
1488416003 824581 1069056 324 444
1488416004 1111586 1069056 378 518
1488416005 1188041 1069056 378 518
1488416006 924695 1069056 378 518
1488416007 1070775 1069056 378 518
1488416008 786505 1069056 378 518
1488416009 910166 1069056 378 518
1488416010 991559 1069056 324 444
1488416011 809677 1069056 324 444
1488416012 940370 1069056 378 518
1488416013 619961 1069056 324 444
1488416014 1039717 1069056 432 592
1488416015 814996 1069056 378 518
1488416016 815647 1069056 324 444
1488416017 773829 1069056 378 518
1488416018 1109519 1069056 378 518
1488416019 1080360 1069056 378 518
1488416020 805420 1069056 324 444
1488416021 1012100 1069056 378 518
1488416022 822806 1069056 378 518
1488416023 760019 1069056 378 518
1488416024 804262 1069056 324 444
1488416025 877870 1069056 378 518
1488416026 940742 1069056 378 518
1488416027 909021 1069056 432 592
1488416028 660060 1069056 324 444
1488416029 761035 1069056 378 518
1488416030 619602 1069056 324 444
1488416031 981957 1069056 378 518
1488416032 811013 1069056 432 592
1488416033 826783 1069056 378 518
1488416034 777940 1069056 324 444
1488416035 970032 1069056 324 444
1488416036 901118 1069056 378 518
1488416037 760847 1069056 378 518
1488416038 627201 1069056 324 444
1488416039 896981 1069056 378 518
1488416040 866725 1069056 378 518
1488416041 791373 1069056 324 444
1488416042 1067602 1069056 378 518
1488416043 919657 1069056 420 560
1488416044 663365 1069056 324 444
1488416045 883292 1069056 378 518
1488416046 948512 1069056 378 518
1488416047 1047440 1069056 432 592
1488416048 782751 1069056 324 444
1488416049 630255 1069056 270 370
1488416050 892652 1069056 324 444
1488416051 929920 1069056 378 518
1488416052 741587 1069056 324 444
1488416053 1030808 1069056 378 518
1488416054 806475 1069056 324 444
1488416055 625041 1069056 324 444
1488416056 938051 1069056 378 518
1488416057 844289 1069056 324 444
1488416058 966735 1069056 378 518
1488416059 819626 1069056 324 444
1488416060 1078664 1069056 324 444
1488416061 836275 1069056 378 518
1488416062 778167 1069056 378 518
1488416063 708102 1069056 324 444
1488416064 971349 1069056 378 518
1488416065 717745 1069056 324 444
1488416066 991157 1069056 378 518
1488416067 872898 1069056 378 518
1488416068 797136 1069056 378 518
1488416069 921236 1069056 324 444
1488416070 960397 1069056 378 518
1488416071 941556 1069056 324 444
1488416072 873657 1069056 378 518
1488416073 787365 1069056 324 444
1488416074 762452 1069056 324 444
1488416075 982329 1069056 378 518
1488416076 1010407 1069056 378 518
1488416077 670143 1069056 324 444
1488416078 765110 1069056 324 444
1488416079 760336 1069056 378 518
1488416080 801798 1069056 378 518
1488416081 842027 1069056 378 518
1488416082 1150915 1069056 378 518
1488416083 1017074 1069056 378 518
1488416084 667755 1069056 324 444
1488416085 808248 1069056 324 444
1488416086 1333146 1069056 432 592
1488416087 981681 1069056 324 444
1488416088 887841 1069056 378 518
1488416089 872833 1069056 270 370
1488416090 907238 1069056 378 518
1488416091 908515 1069056 378 518
1488416092 821803 1069056 366 486
1488416093 885320 1069056 378 518
1488416094 1067000 1069056 378 518
1488416095 850106 1069056 324 444
1488416096 973449 1069056 378 518
1488416097 1004801 1069056 378 518
1488416098 892456 1069056 324 444
1488416099 881750 1069056 324 444
1488416100 934235 1069056 324 444
1488416101 829826 1069056 378 518
1488416102 940708 1069056 378 518
1488416103 974028 1069056 324 444
1488416104 744410 1069056 324 444
1488416105 1085822 1069056 378 518
1488416106 1046783 1069056 432 592
1488416107 716354 1069056 324 444
1488416108 920579 1069056 378 518
1488416109 836281 1069056 378 518
1488416110 1093620 1069056 432 592
1488416111 741531 1069056 324 444
1488416112 1104283 1069056 378 518
1488416113 775936 1069056 324 444
1488416114 893899 1069056 378 518
1488416115 969423 1069056 324 444
1488416116 762235 1069056 324 444
1488416117 1036841 1069056 432 592
1488416118 911787 1069056 324 444
1488416119 1223050 1069056 432 592
1488416120 882114 1069056 378 518
