#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1489028903 0.0 4739072 168 90
1489028904 19.06 122961920 612 328
1489028905 80.44 284319744 454 90
1489028907 26.47 287602688 185125 90984
1489028908 116.15 288223232 1908750 1007561
1489028909 112.52 287989760 1772335 994632
1489028910 114.26 287989760 1865588 922921
1489028911 114.11 288112640 1929265 1014262
1489028912 112.18 288116736 2027277 1053744
1489028913 116.07 288116736 1933666 996229
1489028914 114.07 288243712 1755306 745461
1489028915 111.11 288243712 1805589 691746
1489028916 110.13 288243712 1813518 686166
1489028917 112.17 288243712 1977308 726385
1489028918 113.75 288239616 2258871 876742
1489028919 111.88 288116736 2176122 759878
1489028920 111.32 288243712 2334274 781632
1489028921 110.86 288231424 2321238 813071
1489028922 111.26 288239616 2313883 768573
1489028923 113.65 288112640 2249506 862997
1489028924 110.2 288112640 2312443 857516
1489028925 113.52 288493568 2405812 836431
1489028926 111.3 288370688 2127306 815689
1489028927 113.17 288374784 2147454 895863
1489028928 114.32 288374784 2219518 921760
1489028929 110.14 288370688 2280753 897338
1489028930 115.52 288366592 2436842 922130
1489028931 108.31 288374784 2374972 946983
1489028932 112.81 288370688 2525852 1017645
1489028933 115.14 288247808 2623425 1288497
1489028934 116.21 288251904 2839006 1608651
1489028935 112.8 288374784 2277379 1374291
1489028936 99.87 288235520 2202865 1732022
1489028937 100.35 288124928 2245829 1701309
1489028938 98.07 288251904 2219306 1681112
1489028939 102.36 288124928 2311511 1764737
1489028940 102.52 288124928 2272242 1778082
1489028941 100.67 287997952 2282812 1745321
1489028942 102.55 287997952 2267713 1734298
1489028943 101.25 288124928 2279652 1739170
1489028944 112.71 287997952 2323387 1765710
1489028945 111.39 288124928 2501871 914447
1489028946 113.95 288116736 2331625 1027903
1489028947 114.69 288120832 2443390 1046554
1489028948 111.1 287997952 2469148 992374
1489028949 112.98 288116736 2445125 927355
1489028950 114.99 288247808 2547184 925131
1489028951 112.16 288251904 2463403 970234
1489028952 114.4 288251904 2501970 1012761
1489028953 109.02 288251904 2414740 941713
1489028954 114.19 288251904 2562201 1120591
1489028955 112.24 288251904 2455313 956185
1489028956 110.82 288239616 2359726 811245
1489028957 113.5 288366592 2407456 887107
1489028958 119.1 288366592 2653487 1435024
1489028959 118.81 288370688 2690873 1519048
1489028960 111.55 288235520 2556150 991979
1489028961 114.41 288116736 2582829 989243
1489028962 111.71 288243712 2451789 923977
1489028963 114.42 288370688 2552707 1025292
1489028964 111.02 288358400 2470365 904574
1489028965 111.44 288112640 2428674 860650
1489028966 109.97 288227328 2462707 946849
1489028967 114.72 288239616 2519059 949493
1489028968 110.54 288239616 2530528 1028746
1489028969 113.03 288366592 2551562 1033892
1489028970 113.37 288362496 2542286 965748
1489028971 114.09 288247808 2738464 1493778
1489028972 118.01 288120832 2895407 1689147
1489028973 116.14 288247808 2500518 1357837
1489028974 112.21 288124928 2576512 1132143
1489028975 113.52 288116736 2495841 1044398
1489028976 111.09 288124928 2413744 944360
1489028977 113.3 288120832 2494935 990061
1489028978 111.85 288124928 2495749 999792
1489028979 114.3 288378880 2530061 1037778
1489028980 112.0 288251904 2482619 990548
1489028981 115.26 288124928 2549236 1060942
1489028982 110.08 288247808 2480922 1018815
1489028983 119.9 288247808 2745217 1540442
1489028984 123.92 288247808 2587135 1894932
1489028985 116.05 288120832 2477816 1326119
1489028986 112.97 288116736 2549449 918593
1489028987 109.18 288243712 2462198 975343
1489028988 114.89 288243712 2544640 1355109
1489028989 114.78 288243712 2505681 1233850
1489028990 112.08 288116736 2483697 982071
1489028991 111.45 288112640 2539891 998999
1489028992 114.26 288112640 2466255 997022
1489028993 112.97 288231424 2487972 910013
1489028994 110.33 288231424 2514105 917398
1489028995 112.53 288112640 2514431 780002
1489028996 106.96 288112640 2377964 738301
1489028997 113.13 288366592 2523863 940835
1489028998 108.69 288235520 2421427 793503
1489028999 113.58 288108544 2540720 952275
1489029000 113.79 288235520 2790473 1529231
1489029001 116.32 288362496 2708055 1888005
1489029002 113.58 288489472 2570119 1112517
1489029003 107.21 288485376 2460773 962409
1489029004 114.31 288235520 2576189 968556
1489029005 113.72 288485376 2550303 947284
1489029006 111.63 288485376 2536181 926507
1489029007 111.84 288231424 2459950 849053
1489029008 110.7 288354304 2482744 869661
1489029009 111.66 288346112 2512587 935847
1489029010 111.12 288358400 2457054 914431
1489029011 112.91 288481280 2477412 919412
1489029012 115.8 288346112 2611868 1206077
1489029013 115.09 288227328 2706145 1733478
1489029014 113.32 288481280 2542069 1704717
1489029015 112.44 288227328 2645048 1991531
1489029016 117.15 288227328 2409334 1902491
1489029017 120.44 288350208 2554322 1765416
1489029018 113.26 288350208 2577501 1139156
1489029019 112.79 288342016 2503315 992031
1489029020 111.26 288342016 2505208 997560
1489029021 111.96 288337920 2500557 1010760
1489029022 116.38 288251904 2736104 1303015
1489029023 117.26 288256000 2554764 1243914
1489029024 108.19 288251904 2505131 913315
1489029025 111.34 288256000 2417359 904749
1489029026 110.09 288256000 2487136 893957
1489029027 112.06 288378880 2537095 994790
1489029028 110.33 288251904 2602349 1228094
1489029029 114.7 288239616 2665888 1501379
1489029030 114.4 288256000 2603987 1162645
1489029031 112.94 288256000 2544228 1179295
1489029032 112.13 288378880 2369743 1360382
1489029033 90.56 288251904 2003642 1517726
1489029034 87.39 288251904 1989138 1543671
1489029035 87.98 288256000 2003131 1597795
1489029036 88.75 288124928 2027856 1532845
1489029037 89.25 288124928 1995707 1504308
1489029038 101.54 288251904 2273192 1680465
1489029039 100.83 288256000 2253517 1706996
1489029040 103.99 288120832 2324714 1821394
1489029041 101.64 288129024 2286377 1759278
1489029042 102.1 288129024 2292650 1757069
1489029043 103.32 288251904 2323624 1767822
1489029044 99.55 288129024 2265943 1691818
1489029045 115.85 288112640 2685687 1354367
1489029046 112.07 288239616 2545577 994753
1489029047 109.08 288239616 2478341 831236
1489029048 108.58 288473088 2348299 678786
1489029049 111.92 288235520 2324485 964070
1489029050 113.75 288358400 2399103 1106323
1489029051 111.95 288235520 2329619 1104326
1489029052 113.79 288362496 2794629 1116530
1489029053 109.67 288489472 2582115 1093240
1489029054 113.27 288235520 2759072 1207524
1489029055 114.93 288358400 2649256 1211741
1489029056 111.28 288485376 2583889 1145802
1489029057 112.96 288489472 2640210 1145349
1489029058 113.54 288378880 2918903 1605383
1489029059 117.72 288628736 2955275 1759368
1489029060 110.06 288501760 2584161 1355976
1489029061 110.55 288374784 2540812 1015795
1489029062 109.53 288493568 2557900 1039531
1489029063 109.68 288366592 2544659 948484
