#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1489028902 0.0 7163904 180 90
1489028903 5.89 49864704 398 168
1489028904 112.31 285016064 1918 1386
1489028905 0.06 287232000 0 90
1489028906 0.12 287367168 524 0
1489028907 5.76 288083968 452024 109684
1489028908 131.19 288219136 4551544 2274630
1489028909 125.85 288104448 3458604 2122015
1489028910 130.84 288243712 3609942 2239943
1489028911 126.67 288243712 3480714 2158381
1489028912 130.96 288362496 3575984 2227756
1489028913 129.25 288497664 3493968 2155083
1489028914 127.96 288231424 3360948 2060952
1489028915 128.47 288239616 3521824 2171050
1489028916 127.69 288358400 3454086 2147070
1489028917 135.42 288366592 3745344 2251778
1489028918 128.07 288362496 3553544 2227336
1489028919 127.06 288481280 3372584 2068080
1489028920 128.51 288468992 3697676 2322597
1489028921 120.64 288567296 3550218 2173233
1489028922 128.41 288567296 3454750 2147225
1489028923 133.83 288440320 3566988 2191812
1489028924 131.16 288313344 3511062 2152229
1489028925 126.68 288186368 3668342 2205549
1489028926 127.76 288309248 3369772 2085766
1489028927 130.31 288436224 3539886 2151920
1489028928 130.94 288309248 3631518 2189344
1489028929 128.62 288423936 3404506 2117409
1489028930 131.31 288182272 3641216 2179590
1489028931 129.67 288309248 3536670 2172863
1489028932 131.33 288182272 3410736 2083484
1489028933 129.82 288555008 3582958 2190929
1489028934 129.72 288309248 3543884 2157115
1489028935 130.26 288174080 3647796 2216988
1489028936 128.25 288301056 3673316 2215980
1489028937 128.41 288292864 3375832 2074278
1489028938 131.45 288296960 3693010 2217149
1489028939 126.33 288292864 3408320 2138761
1489028940 134.63 288423936 3700068 2206810
1489028941 132.87 288301056 3597424 2222058
1489028942 129.02 288542720 3612122 2126540
1489028943 130.18 288669696 3534276 2200800
1489028944 127.54 288542720 3590400 2149854
1489028945 130.48 288657408 3651264 2222688
1489028946 125.09 288792576 3335036 1983494
1489028947 119.56 288788480 3059212 1892736
1489028948 134.72 288792576 3550686 2135322
1489028949 129.0 288780288 3256540 2028238
1489028950 128.93 288669696 3720336 2229615
1489028951 131.15 288415744 3393026 2133959
1489028952 130.22 288415744 3428994 2075091
1489028953 128.17 288288768 3419820 2091458
1489028954 132.34 288526336 3492904 2114977
1489028955 127.52 288411648 3314390 2048557
1489028956 134.41 288514048 3482784 2114414
1489028957 125.82 288489472 3117444 1956463
1489028958 129.37 288407552 3413412 2044797
1489028959 126.58 288313344 3708636 2260819
1489028960 128.91 288190464 3505806 2175860
1489028961 128.26 288190464 3526042 2162368
1489028962 130.14 288309248 3395840 2089711
1489028963 133.12 288190464 3641388 2214850
1489028964 130.2 288317440 3515150 2144561
1489028965 131.44 288190464 3382714 2107208
1489028966 125.18 288305152 3521418 2091453
1489028967 128.66 288428032 3337578 2098321
1489028968 124.98 288440320 3659584 2238457
1489028969 125.1 288428032 3609758 2165589
1489028970 130.02 288428032 3574942 2242602
1489028971 131.72 288309248 3825542 2251578
1489028972 124.59 288309248 3578196 2189030
1489028973 129.7 288309248 3666560 2192758
1489028974 127.25 288301056 3370006 2102396
1489028975 132.86 288182272 3540990 2152953
1489028976 124.88 288428032 3217774 2000218
1489028977 125.73 288555008 3559630 2107783
1489028978 130.09 288174080 3422352 2091443
1489028979 128.77 288423936 3363436 2067655
1489028980 132.89 288546816 3563946 2165116
1489028981 126.69 288415744 3419958 2073979
1489028982 133.07 288296960 3550138 2152990
1489028983 127.93 288288768 3542474 2156377
1489028984 129.35 288419840 3576480 2198532
1489028985 131.6 288538624 3575128 2181515
1489028986 124.94 288288768 3649202 2186885
1489028987 127.77 288288768 3417240 2084699
1489028988 129.61 288411648 3397530 2110704
1489028989 129.93 288292864 3522330 2161748
1489028990 132.92 288284672 3676092 2192672
1489028991 128.29 288284672 3503754 2172428
1489028992 123.74 288411648 3410958 2091225
1489028993 131.17 288198656 3499750 2160400
1489028994 129.85 288215040 3663170 2195916
1489028995 130.64 288215040 3741474 2284369
1489028996 125.45 288595968 3380808 2113054
1489028997 127.15 288460800 3569332 2192643
1489028998 134.2 288460800 3633224 2231493
1489028999 131.54 288583680 3647244 2218335
1489029000 125.76 288587776 3403396 2113321
1489029001 132.76 288587776 3707972 2293963
1489029002 130.23 288444416 3476898 2146901
1489029003 131.31 288575488 3681218 2260022
1489029004 130.22 288579584 3622646 2208154
1489029005 124.36 288317440 3532515 2185146
1489029006 128.39 288444416 3599188 2188540
1489029007 131.3 288325632 3618554 2217194
1489029008 129.02 288198656 3643124 2244285
1489029009 122.69 288321536 3497988 2182305
1489029010 133.29 288440320 3584220 2190731
1489029011 128.09 288567296 3432552 2106125
1489029012 126.82 288440320 3659806 2189900
1489029013 131.59 288440320 3690662 2234653
1489029014 128.13 288571392 3544050 2189406
1489029015 131.28 288313344 3623256 2201143
1489029016 129.4 288313344 3690382 2188192
1489029017 125.54 288436224 3687308 2279897
1489029018 131.5 288305152 3507904 2138484
1489029019 127.59 288309248 3446838 2137256
1489029020 133.49 288436224 3521852 2135237
1489029021 133.52 288436224 3555158 2129906
1489029022 125.55 288301056 3586164 2193575
1489029023 128.78 288309248 3646716 2233050
1489029024 128.53 288296960 3545252 2155079
1489029025 131.12 288301056 3565264 2098670
1489029026 129.37 288301056 3379288 2105821
1489029027 128.0 288174080 3485384 2089532
1489029028 128.84 288301056 3564360 2144540
1489029029 128.97 288215040 3410316 2077510
1489029030 131.49 288460800 3451074 2083463
1489029031 131.23 288456704 3495828 2106847
1489029032 128.81 288210944 3539854 2161283
1489029033 126.36 288456704 3408842 2076652
