#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1489028913 0.0 1593344 1398 1100
1489028914 0.1 1564672 5262 4166
1489028915 0.07 1564672 5114 3654
1489028916 0.08 1564672 4810 3510
1489028917 0.07 1564672 4884 3564
1489028918 0.09 1564672 5246 3796
1489028919 0.08 1564672 5302 3852
1489028920 0.07 1470464 4958 3618
1489028921 0.07 1470464 5032 3672
1489028922 0.09 1470464 4658 3418
1489028923 0.09 1470464 5032 3672
1489028924 0.08 1470464 5032 3672
1489028925 0.08 1470464 4810 3510
1489028926 0.07 1470464 5180 3780
1489028927 0.08 1470464 4588 3348
1489028928 0.09 1470464 4514 3294
1489028929 0.07 1470464 4810 3510
1489028930 0.09 1470464 4884 3564
1489028931 0.07 1470464 5106 3726
1489028932 0.08 1470464 4884 3564
1489028933 0.07 1470464 4810 3510
1489028934 0.07 1470464 4884 3564
1489028935 0.1 1470464 4662 3402
1489028936 0.08 1470464 5180 3780
1489028937 0.07 1470464 4958 3618
1489028938 0.08 1470464 4810 3510
1489028939 0.07 1470464 5032 3672
1489028940 0.08 1470464 5180 3780
1489028941 0.08 1470464 5180 3780
1489028942 0.07 1470464 5032 3672
1489028943 0.09 1470464 5032 3672
1489028944 0.07 1470464 5106 3726
1489028945 0.06 1470464 4884 3564
1489028946 0.07 1470464 5032 3672
1489028947 0.1 1470464 5254 3834
1489028948 0.07 1470464 4958 3618
1489028949 0.08 1470464 4884 3564
1489028950 0.08 1470464 4704 3444
1489028951 0.07 1470464 5254 3834
1489028952 0.07 1470464 5188 3888
1489028953 0.07 1470464 5032 3672
1489028954 0.08 1470464 5106 3726
1489028955 0.08 1470464 5148 3768
1489028956 0.07 1470464 4884 3564
1489028957 0.11 1470464 5370 3930
1489028958 0.08 1470464 5106 3726
1489028959 0.08 1470464 5106 3726
1489028960 0.07 1470464 4958 3618
1489028961 0.08 1470464 4958 3618
1489028962 0.08 1470464 4958 3618
1489028963 0.07 1470464 4810 3510
1489028964 0.09 1470464 5032 3672
1489028965 0.08 1470464 4810 3510
1489028966 0.07 1470464 5032 3672
1489028967 0.08 1470464 4884 3564
1489028968 0.08 1470464 5074 3714
1489028969 0.08 1470464 5032 3672
1489028970 0.09 1470464 5180 3780
1489028971 0.07 1470464 4884 3564
1489028972 0.1 1470464 4810 3510
1489028973 0.08 1470464 5242 3882
1489028974 0.08 1470464 5126 3786
1489028975 0.09 1470464 4810 3510
1489028976 0.08 1470464 5370 3930
1489028977 0.09 1470464 5328 3888
1489028978 0.07 1470464 4810 3510
1489028979 0.08 1470464 5180 3780
1489028980 0.07 1470464 5032 3672
1489028981 0.08 1470464 4958 3618
1489028982 0.08 1470464 4884 3564
1489028983 0.07 1470464 4958 3618
1489028984 0.07 1470464 5106 3726
1489028985 0.06 1470464 5106 3726
1489028986 0.11 1470464 4810 3510
1489028987 0.08 1470464 5180 3780
1489028988 0.09 1470464 4810 3510
1489028989 0.08 1470464 5106 3726
1489028990 0.1 1470464 4958 3618
1489028991 0.06 1470464 4736 3456
1489028992 0.09 1470464 5254 3834
1489028993 0.07 1470464 4662 3402
1489028994 0.07 1470464 5200 3840
1489028995 0.07 1470464 5020 3720
1489028996 0.06 1470464 4884 3564
1489028997 0.08 1470464 4852 3552
1489028998 0.08 1470464 4958 3618
1489028999 0.08 1470464 5254 3834
1489029000 0.06 1470464 4810 3510
1489029001 0.1 1470464 4662 3402
1489029002 0.08 1470464 5254 3834
1489029003 0.08 1470464 4662 3402
1489029004 0.07 1470464 4514 3294
1489029005 0.08 1470464 4736 3456
1489029006 0.08 1470464 5032 3672
1489029007 0.08 1470464 4884 3564
1489029008 0.07 1470464 4884 3564
1489029009 0.08 1470464 4958 3618
1489029010 0.1 1470464 4514 3294
1489029011 0.08 1470464 4958 3618
1489029012 0.08 1470464 4736 3456
1489029013 0.07 1470464 5328 3888
1489029014 0.08 1470464 4810 3510
1489029015 0.06 1470464 4958 3618
1489029016 0.08 1470464 5188 3888
1489029017 0.07 1470464 5032 3672
1489029018 0.08 1470464 4810 3510
1489029019 0.07 1470464 5000 3660
1489029020 0.09 1470464 4884 3564
1489029021 0.07 1470464 4926 3606
