#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1489066419 0.0 1310720 340 180
1489066420 0.11 1310720 418 78
1489066421 0.13 1077248 292 160
1489066422 0.12 1077248 432 90
1489066423 0.18 1347584 3066 2086
1489066424 0.12 1224704 578 66
1489066426 109.5 2048000 7725402 8255831
1489066428 152.84 1814528 9809837 10574781
1489066429 67.02 1953792 4215712 4516705
1489066430 74.97 2244608 4796422 5036244
1489066431 67.72 2101248 4387115 4926830
1489066432 68.01 2113536 4571096 5071195
1489066433 87.08 2113536 5951488 6240606
1489066434 76.47 2113536 5300433 5620665
1489066435 77.11 2113536 5272468 5561316
1489066436 82.56 2113536 5716670 6028973
1489066437 76.53 2113536 5247687 5610530
1489066438 80.45 2113536 5581788 5946539
1489066439 87.24 2121728 5606536 6035186
1489066440 87.2 2121728 5727832 6139352
1489066441 82.74 2146304 5662206 6028121
1489066442 100.06 2146304 7069698 7393060
1489066443 78.15 2146304 5447271 5376881
1489066444 83.42 2146304 5988500 5899452
1489066445 84.71 2146304 5930380 5856765
1489066446 82.89 2146304 6178192 6030868
1489066447 71.93 2146304 5408276 5354411
1489066448 90.09 2146304 6760172 6585597
1489066449 70.37 2146304 5193979 5146606
1489066450 78.44 2019328 5714889 5630809
1489066451 87.35 2158592 6593487 6465399
1489066452 81.7 2031616 5932588 5867386
1489066453 73.39 2031616 5580908 5517819
1489066454 86.4 2031616 6485277 6337435
1489066455 86.39 2048000 6709418 6676745
1489066456 83.58 2048000 6219708 6031064
1489066457 79.19 2048000 5954080 5794909
1489066458 79.05 2048000 6023644 5923770
1489066459 76.11 2048000 5394269 5341123
1489066460 69.23 2048000 5028307 4991806
1489066461 81.48 2048000 6106345 6027018
1489066462 81.51 2048000 6317952 6164602
1489066463 78.99 2048000 6092659 5965922
1489066464 75.56 2048000 5796983 5622862
1489066465 86.32 2048000 5906945 5887501
1489066466 81.79 2048000 5807425 5767863
1489066467 78.38 2048000 5985942 5914326
1489066468 83.85 2048000 5644217 5642695
1489066469 80.88 2048000 6241367 6192743
1489066470 78.95 2048000 5848607 5809953
1489066471 74.8 2048000 5763504 5710554
1489066472 84.66 2048000 6372280 6225481
1489066473 97.48 2048000 7595639 7223964
1489066474 87.96 2052096 6728725 6521439
1489066475 77.73 2052096 5967164 5785076
1489066476 87.49 2052096 6180774 6154132
1489066477 80.24 2052096 6023196 5915484
1489066478 83.48 2052096 6381668 6189658
1489066479 81.6 2052096 6136919 6035279
1489066480 81.94 2052096 5705247 5663829
1489066481 80.41 2052096 5831364 5702751
1489066482 90.45 2052096 6904292 6662932
1489066483 82.67 2052096 6111668 5967753
1489066484 80.67 2052096 5839949 5758449
1489066485 90.48 2052096 6420663 6387800
1489066486 98.14 2052096 7523336 7407064
1489066487 88.55 2052096 6834438 6692852
1489066488 81.0 2052096 6175902 6079103
1489066489 84.61 2052096 6690128 6463745
1489066490 83.13 2052096 6440958 6294601
1489066491 79.44 2052096 5711595 5681342
1489066492 69.53 2052096 5017974 4997142
1489066493 76.34 2052096 5722034 5656378
1489066494 93.01 2052096 6349056 6316151
1489066495 93.04 2052096 6813928 6617954
1489066496 90.66 2052096 6810970 6640732
1489066497 70.42 2052096 5133155 5057684
1489066498 72.99 2052096 5256622 5193446
1489066499 90.67 2052096 6357222 6327403
1489066500 91.44 2052096 6816585 6702281
1489066501 73.93 2052096 5673596 5624439
1489066502 79.94 2052096 5664027 5636130
1489066503 84.21 2052096 6192352 6140726
1489066504 92.23 2052096 7225544 6974746
1489066505 92.0 2052096 6705363 6638222
1489066506 82.8 2052096 5883914 5841316
1489066507 75.32 2052096 5453359 5420140
1489066508 94.07 2052096 7161195 6985034
1489066509 82.47 2052096 5832941 5736002
1489066510 77.79 2052096 5978386 5829190
1489066511 72.33 2052096 5521146 5422836
1489066512 92.68 2052096 7065302 6943743
1489066513 82.11 2052096 6369836 6164933
1489066514 77.44 2052096 5426467 5422914
1489066515 73.79 2052096 5464955 5358450
1489066516 73.31 2052096 5324494 5177881
1489066517 71.81 2052096 5370561 5219998
1489066518 74.9 2052096 5232620 5165536
1489066519 73.85 2052096 5410003 5323041
1489066520 77.74 2052096 5976443 5826424
1489066521 79.24 2056192 5978856 5830230
1489066522 83.12 2056192 5941246 5856321
1489066523 80.46 2056192 5863238 5739377
1489066524 71.28 2056192 5085929 4975691
1489066525 62.6 2056192 4282400 4234814
1489066526 76.44 2056192 5321877 5268561
1489066527 77.08 2056192 6016707 5844363
1489066528 77.29 2056192 5763934 5709407
1489066529 82.22 2056192 5492795 5465167
1489066530 77.91 2056192 5840239 5712607
1489066531 83.37 2056192 5828469 5699792
1489066532 68.66 2056192 5256724 5127383
1489066533 76.76 2056192 5596589 5406690
1489066534 67.23 2056192 4818702 4711427
1489066535 67.67 2056192 4728950 4656995
1489066536 71.41 2056192 5040448 4961020
1489066537 62.74 2056192 4506566 4437660
1489066538 58.02 2056192 4061958 3998666
1489066539 62.98 2056192 4396695 4311657
1489066540 64.94 2056192 4674138 4590740
1489066541 73.22 2056192 5288361 5205935
1489066542 75.01 2056192 5406092 5385902
1489066543 90.7 2056192 6963055 6862258
1489066544 74.59 2056192 5681160 5572851
1489066545 72.95 2056192 5538879 5490212
1489066546 70.32 2056192 5115215 5057487
1489066547 76.36 2056192 5736680 5617821
1489066548 81.17 2056192 5964888 5835382
1489066549 79.64 2056192 5563764 5514823
1489066550 74.48 2056192 5389155 5307054
1489066551 77.84 2056192 5598798 5504681
1489066552 66.5 2056192 4570983 4505123
1489066553 67.38 2056192 4706529 4626140
1489066554 82.7 2056192 5997743 5964646
1489066555 78.39 2056192 6024562 5957736
1489066556 76.92 2056192 5885891 5818431
1489066557 76.94 2056192 5492718 5436753
1489066558 101.3 2056192 8069570 8014674
1489066559 74.47 2056192 5533701 5375098
1489066560 73.89 2056192 5453866 5301245
1489066561 75.62 2056192 5817535 5647930
1489066562 74.14 2056192 5764859 5579144
1489066563 77.61 2056192 5707924 5634654
1489066564 73.97 2056192 5593056 5466928
1489066565 79.27 2056192 5548380 5489184
1489066566 63.96 2056192 4780107 4704340
1489066567 73.4 2056192 5411493 5350594
1489066568 80.0 2056192 5798385 5660720
1489066569 71.0 2056192 5088509 5011359
1489066570 71.6 2056192 4969832 4886625
1489066571 72.28 2187264 5142389 4977843
1489066572 65.81 2187264 4625597 4563895
1489066573 65.78 2187264 4979797 4845779
1489066574 71.91 2187264 4945020 4908286
1489066575 71.18 2187264 5315477 5244865
1489066576 79.87 2187264 6086879 5982591
1489066577 68.35 2187264 5051767 4983173
1489066578 82.4 2187264 5946048 5788776
1489066579 75.44 2187264 5559401 5450437
1489066580 69.91 2187264 5128387 5076067
1489066581 76.14 2060288 5329050 5299868
1489066582 73.57 2060288 5411458 5395460
1489066583 88.05 2060288 6596907 6480227
1489066584 75.98 2060288 5648746 5466759
1489066585 72.16 2060288 5341490 5225647
1489066586 74.17 2060288 5504951 5415364
1489066587 68.13 2060288 5237806 5074913
1489066588 82.57 2060288 6212967 6088676
1489066589 77.31 2060288 5471050 5391015
1489066590 74.97 2060288 5482611 5407906
1489066591 75.94 2060288 5753749 5714367
1489066592 75.84 2060288 5528577 5456209
1489066593 73.5 2060288 5472866 5340419
1489066594 73.89 2060288 5478492 5356695
1489066595 71.88 2060288 5418638 5309303
1489066596 76.07 2060288 5620869 5481120
1489066597 85.98 2060288 6325528 6156887
1489066598 79.51 2060288 6135709 5978485
1489066599 77.29 2060288 5569140 5521360
1489066600 83.22 2060288 6556662 6381566
1489066601 86.0 2060288 5990263 5949368
1489066602 81.4 2060288 6399280 6253999
1489066603 73.05 2060288 5350350 5227791
1489066604 69.29 2060288 4817453 4740191
1489066605 76.71 2060288 5665296 5490753
1489066606 82.8 2060288 5893260 5767274
1489066607 70.7 2060288 5377218 5225722
1489066608 82.21 2080768 6133924 6013780
1489066609 88.72 2080768 6710799 6489338
1489066610 87.13 2080768 6154143 6110389
1489066611 83.57 2080768 6414743 6202050
1489066612 78.81 2080768 5837792 5761409
1489066613 86.7 2080768 6727032 6483417
1489066614 80.97 2080768 5993333 5916494
1489066615 81.6 2080768 6163377 6029622
1489066616 78.83 2080768 5645122 5584016
1489066617 68.6 2080768 5101542 5041062
1489066618 99.79 2211840 8269700 7966277
1489066619 83.11 2211840 6600231 6413504
1489066620 84.08 2088960 6041097 6002928
1489066621 88.22 2220032 6976814 6828495
1489066622 81.97 2093056 5994510 5962758
1489066623 85.06 2093056 6739648 6473627
1489066624 81.5 2093056 5924458 5835309
1489066625 94.23 2093056 7058612 6979724
1489066626 91.83 2093056 7494504 7177166
1489066627 82.39 2093056 6293498 6191543
1489066628 90.3 2093056 6675280 6609889
