#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1488778507 9369589 1245184 348 90
1488778508 1021966 1245184 78 168
1488778509 1393094 1245184 500 160
1488778510 1058842 1245184 258 90
1488778511 1290782 1122304 340 0
1488778512 1314202 1011712 336 0
1488778514 2890267 1126400 2830 1684
1488778515 1176268 1110016 990 604
1488778516 51860839 1761280 286215 335170
1488778517 686953329 1892352 3406163 3500970
1488778518 745447848 2027520 3197553 2980137
1488778519 733863589 2027520 3096381 2977670
1488778520 731977993 2027520 3077267 3019247
1488778521 748552835 2027520 3082686 3132903
1488778522 763361955 2027520 3042472 3187297
1488778523 693411189 1921024 3077850 3453670
1488778524 704410729 1798144 3979918 3976652
1488778525 784606406 1798144 3734655 3988380
1488778526 788285816 1798144 3208622 3604083
1488778527 706153556 1798144 3171853 3660824
1488778528 745216670 1798144 3267461 3774596
1488778529 776281802 1802240 3349035 3689209
1488778530 781246713 1814528 3129835 3542959
1488778531 800350989 1814528 3108765 3505685
1488778532 810833592 1814528 3187737 3587237
1488778533 854418981 1818624 3521586 3881906
1488778534 793089350 1818624 3034063 3485384
1488778535 826877225 1818624 3234334 3653883
1488778536 825409561 1957888 3112292 3671564
1488778537 801939930 1830912 2945037 3575029
1488778538 856118098 1830912 3182987 3808744
1488778539 822241966 1830912 3015888 3652511
1488778540 837914248 1830912 3056468 3796730
1488778541 858358505 1835008 3078393 4012698
1488778542 862137487 1835008 3091677 4043735
1488778543 849604089 1835008 3009543 3986066
1488778544 892856990 1835008 3150922 4202000
1488778545 888021830 1835008 3224441 4213987
1488778546 854746430 1843200 3016892 3977928
1488778547 892532811 1843200 3185928 4208622
1488778548 826475203 1843200 3139468 4147478
1488778549 868681391 1843200 3143860 4029984
1488778550 898050604 1843200 3187427 4207928
1488778551 867546214 1843200 3067413 4053260
1488778552 895241607 1843200 3269038 4120314
1488778553 859352466 1843200 3265559 4058471
1488778554 895787491 1847296 3220473 4203989
1488778555 868373371 1978368 3107733 4116662
1488778556 870797603 1978368 3020021 4055879
1488778557 892268606 2113536 3154146 4226142
1488778558 918369551 1986560 3214500 4311015
1488778559 877387174 1990656 3076206 4124406
1488778560 834351133 1867776 3211071 4314226
1488778561 778463983 1867776 3020942 4058468
1488778562 849462181 1867776 3148732 4229426
1488778563 850788970 1867776 3246116 4354459
1488778564 863029100 1867776 3171408 4266092
1488778565 832913176 1867776 3027191 4068923
