#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1488419626 0.0 1527808 1142 1460
1488419627 0.07 1253376 600 0
1488419628 0.11 1150976 830 340
1488419629 0.1 1150976 340 0
1488419630 36.3 1785856 1801982 1412383
1488419631 43.97 1921024 1990280 1543038
1488419632 39.27 1921024 1996476 1488227
1488419633 41.17 1794048 2110366 1627985
1488419634 37.97 1794048 1757482 1321106
1488419635 0.03 1794048 980 657
1488419636 26.79 2318336 1619995 1029349
1488419637 30.31 2318336 1570897 1175600
1488419638 26.7 2211840 1445587 1021200
1488419639 30.28 2211840 1545551 1103324
1488419640 31.5 2211840 1660585 1130260
1488419641 33.61 2211840 1678370 1267031
1488419642 31.53 2093056 1625588 1198645
1488419643 30.58 2002944 1544715 1096581
1488419644 32.54 2002944 1628385 1166989
1488419645 31.61 2002944 1581298 1161568
1488419646 31.09 2002944 1524649 1108367
1488419647 31.25 2002944 1648546 1177796
1488419648 30.96 2002944 1577931 1124562
1488419649 29.45 2002944 1506868 1076247
1488419650 32.81 2002944 1639875 1213695
1488419651 33.36 2002944 1723559 1250302
1488419652 34.61 2002944 1722681 1318490
1488419653 43.3 2002944 2094101 1564666
1488419654 41.8 2002944 2044293 1529767
1488419655 36.15 2002944 1832177 1416928
1488419656 32.93 2002944 1703434 1288150
1488419657 33.23 2002944 1707451 1293269
1488419658 31.01 2002944 1610002 1253321
1488419659 33.39 2002944 1779176 1385125
1488419660 31.26 2002944 1672505 1281142
1488419661 31.62 2002944 1719625 1343336
1488419662 33.45 2002944 1759467 1406276
1488419663 32.29 2002944 1810164 1425198
1488419664 33.64 2002944 1859334 1442808
1488419665 34.4 2002944 1826338 1451589
1488419666 32.82 2002944 1740389 1324900
1488419667 33.72 2002944 1801537 1370192
1488419668 33.55 2002944 1789081 1366756
1488419669 36.47 2002944 1932923 1532983
1488419670 34.88 2002944 1818317 1440464
1488419671 34.55 2002944 1809663 1448458
1488419672 34.42 2002944 1807688 1421736
1488419673 35.31 2002944 1820732 1411497
1488419674 35.08 2002944 1881570 1475264
1488419675 32.18 2002944 1729384 1366237
1488419676 34.27 2002944 1872359 1473901
1488419677 33.46 2002944 1847486 1454450
1488419678 32.83 2002944 1745989 1378735
1488419679 32.84 2002944 1773404 1392470
1488419680 33.78 2002944 1807101 1423014
1488419681 34.86 2002944 1859971 1393551
1488419682 33.62 2002944 1834715 1377292
1488419683 33.83 2002944 1788159 1361899
1488419684 34.06 2002944 1833615 1406549
1488419685 35.93 2002944 1865721 1436048
1488419686 32.61 2002944 1723906 1328275
1488419687 32.61 2002944 1719800 1393439
1488419688 35.11 2002944 1849212 1456477
1488419689 31.76 2002944 1726410 1295347
1488419690 34.14 2002944 1736657 1318725
1488419691 28.18 2002944 1554436 1148651
1488419692 30.7 2002944 1633706 1220243
1488419693 31.07 2002944 1731089 1294206
1488419694 31.59 2002944 1687685 1272468
1488419695 33.66 2002944 1800313 1399542
1488419696 34.73 2002944 1828196 1434951
1488419697 32.97 2002944 1769423 1416731
1488419698 31.92 2002944 1730325 1311666
1488419699 32.87 2002944 1736485 1367767
1488419700 31.82 2002944 1751451 1335358
1488419701 31.05 2002944 1665412 1208161
1488419702 33.01 2002944 1772441 1337665
1488419703 30.91 2002944 1675671 1282402
1488419704 33.46 2002944 1748726 1338998
1488419705 33.06 2002944 1770655 1375573
1488419706 32.75 2002944 1724026 1367046
1488419707 34.08 2002944 1756730 1419233
1488419708 35.53 2002944 1838618 1433934
1488419709 33.15 2002944 1766507 1346930
1488419710 32.16 2002944 1741671 1386847
1488419711 33.35 2002944 1767613 1409403
1488419712 33.05 2002944 1711229 1362760
1488419713 32.02 2002944 1754647 1391314
1488419714 34.49 2002944 1832836 1452499
1488419715 31.77 2002944 1725296 1375346
1488419716 32.56 2002944 1722366 1338915
1488419717 38.67 2002944 1966880 1493307
1488419718 39.43 2002944 2044802 1560202
1488419719 42.05 2002944 1990709 1540908
1488419720 40.4 2002944 2018795 1572576
1488419721 41.24 2002944 2109373 1656264
1488419722 37.59 2002944 1836722 1427070
1488419723 39.95 2002944 2015004 1524280
1488419724 40.36 2002944 2017404 1518465
