#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1488419622 9065917 1253376 90 90
1488419623 960420 1253376 418 168
1488419624 1615083 1142784 508 250
1488419625 2038195 1052672 418 0
1488419626 1026960 1052672 1746 1010
1488419627 1051277 1056768 328 132
1488419628 1769721 1212416 1990 1146
1488419629 1195384 1212416 320 0
1488419630 675289898 1843200 4225638 4622550
1488419631 659314801 2031616 4382636 4805391
1488419632 715601064 1777664 4529862 4965626
1488419633 741601438 1777664 4704714 5157210
1488419634 707599245 2039808 4543584 4926111
1488419635 145187583 2408448 1992257 1200256
1488419636 726995639 2543616 3598183 4550729
1488419637 798253580 2543616 3868283 3863118
1488419638 676747208 2416640 3694404 3696388
1488419639 812348657 2293760 4067443 4068750
1488419640 827157316 2293760 4231643 4226783
1488419641 858154590 2293760 4155733 4145973
1488419642 836168950 2293760 4147564 4146382
1488419643 789348305 2293760 3874604 3877052
1488419644 727242668 2293760 4256856 4259240
1488419645 555042562 2293760 3945038 3958907
1488419646 640054363 2293760 3812986 3817659
1488419647 590980494 2293760 4244727 4258529
1488419648 693919907 2293760 3924969 3926674
1488419649 699692359 2293760 3810597 3811792
1488419650 786407057 2293760 4160267 4157220
1488419651 747315508 2293760 4256669 4254346
1488419652 723172208 2293760 4322574 4335367
1488419653 755873152 2293760 5197489 5226207
1488419654 678768545 2293760 4806245 4831708
1488419655 648071139 2293760 4438939 4443699
1488419656 608163841 2293760 4194471 4197846
1488419657 647813909 2293760 4410069 4417865
1488419658 559445334 2293760 3849742 3859320
1488419659 600301967 2293760 4274008 4276061
1488419660 596672519 2293760 4139630 4137552
1488419661 611956127 2293760 4240930 4241996
1488419662 606124844 2293760 4231176 4232370
1488419663 635663941 2293760 4397693 4404123
1488419664 671694622 2293760 4611747 4617300
1488419665 659000084 2293760 4412952 4418087
1488419666 608058728 2293760 4249343 4255027
1488419667 642116552 2293760 4392178 4397269
1488419668 669015898 2293760 4583875 4587797
1488419669 677541763 2293760 4573104 4575026
1488419670 638011666 2293760 4310988 4315728
1488419671 666266537 2293760 4471153 4476111
1488419672 641397111 2293760 4365020 4371214
1488419673 667086141 2293760 4509539 4512006
1488419674 661427332 2293760 4514479 4520541
1488419675 602840752 2293760 4179834 4182615
1488419676 656381169 2293760 4488601 4495602
1488419677 656827231 2293760 4499001 4503960
1488419678 595785772 2293760 4165894 4169993
1488419679 641024937 2293760 4380011 4385761
1488419680 634497124 2293760 4407420 4410662
1488419681 662685292 2293760 4535622 4539835
1488419682 668600700 2293760 4592866 4599276
1488419683 649983597 2293760 4426497 4436084
1488419684 679897361 2293760 4570476 4574765
1488419685 663331152 2293760 4570581 4577984
1488419686 601488115 2293760 4170813 4173194
1488419687 604949783 2293760 4152030 4157298
1488419688 678792150 2297856 4544034 4557089
1488419689 589077562 2297856 4221674 4206383
1488419690 627685334 2297856 4281241 4299506
