#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1488419624 0.0 1290240 270 258
1488419625 0.15 1007616 246 160
1488419626 0.14 1007616 716 90
1488419627 0.1 1007616 328 0
1488419628 0.17 1142784 1990 1076
1488419629 0.12 1142784 250 70
1488419630 0.07 1056768 202 0
1488419631 0.08 1056768 308 0
1488419632 0.06 1056768 432 0
1488419633 0.07 1056768 328 70
1488419634 0.06 1056768 530 116
1488419635 0.07 1208320 794 718
1488419636 0.08 1081344 464 444
1488419637 0.05 1081344 340 370
1488419638 0.08 1081344 448 518
1488419639 0.07 1081344 324 444
1488419640 0.08 1081344 448 518
1488419641 0.08 1081344 378 518
1488419642 0.08 1081344 448 518
1488419643 0.07 1081344 378 518
1488419644 0.08 1081344 378 518
1488419645 0.06 1081344 324 444
1488419646 0.09 1081344 432 592
1488419647 0.08 1081344 378 518
1488419648 0.06 1081344 324 444
1488419649 0.06 1081344 324 444
1488419650 0.08 1081344 378 518
1488419651 0.07 1081344 324 444
1488419652 0.06 1081344 324 444
1488419653 0.09 1081344 378 518
1488419654 0.07 1081344 324 444
1488419655 0.09 1081344 378 518
1488419656 0.07 1081344 324 444
1488419657 0.08 1081344 378 518
1488419658 0.08 1081344 378 518
1488419659 0.08 1081344 378 518
1488419660 0.08 1081344 378 518
1488419661 0.07 1081344 324 444
1488419662 0.06 1081344 324 444
1488419663 0.08 1081344 378 518
1488419664 0.07 1081344 324 444
1488419665 0.09 1081344 432 592
1488419666 0.08 1081344 378 518
1488419667 0.09 1081344 378 518
1488419668 0.09 1081344 378 518
1488419669 0.08 1081344 378 518
1488419670 0.08 1081344 378 518
1488419671 0.08 1081344 378 518
1488419672 0.08 1081344 378 518
1488419673 0.07 1081344 324 444
1488419674 0.1 1081344 378 518
1488419675 0.08 1081344 378 518
1488419676 0.08 1081344 378 518
1488419677 0.07 1081344 324 444
1488419678 0.08 1081344 378 518
1488419679 0.08 1081344 378 518
1488419680 0.08 1081344 378 518
1488419681 0.09 1081344 420 560
1488419682 0.07 1081344 378 518
1488419683 0.07 1081344 324 444
1488419684 0.08 1081344 378 518
1488419685 0.09 1081344 378 518
1488419686 0.09 1081344 378 518
1488419687 0.09 1081344 378 518
1488419688 0.09 1081344 378 518
1488419689 0.07 1081344 324 444
1488419690 0.07 1081344 324 444
1488419691 0.07 1081344 378 518
1488419692 0.08 1081344 378 518
1488419693 0.09 1081344 378 518
1488419694 0.08 1081344 378 518
1488419695 0.06 1081344 324 444
1488419696 0.08 1081344 378 518
1488419697 0.08 1081344 324 444
1488419698 0.07 1081344 378 518
1488419699 0.08 1081344 378 518
1488419700 0.08 1081344 378 518
1488419701 0.09 1081344 378 518
1488419702 0.08 1081344 324 444
1488419703 0.09 1081344 432 592
1488419704 0.09 1081344 378 518
1488419705 0.09 1081344 378 518
1488419706 0.06 1081344 324 444
1488419707 0.07 1081344 378 518
1488419708 0.08 1081344 378 518
1488419709 0.07 1081344 324 444
1488419710 0.1 1081344 432 592
1488419711 0.08 1081344 378 518
1488419712 0.07 1081344 324 444
1488419713 0.09 1081344 378 518
1488419714 0.08 1081344 378 518
1488419715 0.08 1081344 324 444
1488419716 0.08 1081344 378 518
1488419717 0.09 1081344 378 518
1488419718 0.08 1081344 324 444
1488419719 0.08 1081344 378 518
1488419720 0.07 1081344 324 444
1488419721 0.08 1081344 378 518
1488419722 0.07 1081344 378 518
1488419723 0.07 1081344 324 444
1488419724 0.09 1081344 378 518
1488419725 0.09 1081344 432 592
1488419726 0.07 1081344 366 486
1488419727 0.07 1081344 324 444
1488419728 0.05 1081344 270 370
1488419729 0.09 1081344 378 518
1488419730 0.07 1081344 324 444
1488419731 0.09 1081344 378 518
1488419732 0.09 1081344 378 518
1488419733 0.06 1081344 270 370
1488419734 0.09 1081344 378 518
1488419735 0.07 1081344 324 444
1488419736 0.1 1081344 378 518
1488419737 0.07 1081344 324 444
1488419738 0.09 1081344 378 518
1488419739 0.07 1081344 324 444
1488419740 0.09 1081344 378 518
1488419741 0.09 1081344 378 518
1488419742 0.08 1081344 324 444
1488419743 0.08 1081344 378 518
1488419744 0.08 1081344 378 518
1488419745 0.09 1081344 378 518
1488419746 0.07 1081344 324 444
1488419747 0.06 1081344 324 444
1488419748 0.09 1081344 378 518
1488419749 0.07 1081344 324 444
1488419750 0.09 1081344 378 518
1488419751 0.07 1081344 324 444
1488419752 0.09 1081344 378 518
1488419753 0.08 1081344 324 444
1488419754 0.08 1081344 378 518
1488419755 0.07 1081344 324 444
1488419756 0.07 1081344 378 518
1488419757 0.08 1081344 378 518
1488419758 0.07 1081344 324 444
1488419759 0.08 1081344 378 518
1488419760 0.08 1081344 378 518
1488419761 0.09 1081344 378 518
1488419762 0.07 1081344 324 444
1488419763 0.09 1081344 378 518
1488419764 0.08 1081344 378 518
1488419765 0.07 1081344 324 444
1488419766 0.09 1081344 378 518
1488419767 0.07 1081344 324 444
1488419768 0.07 1081344 324 444
1488419769 0.08 1081344 378 518
1488419770 0.07 1081344 324 444
1488419771 0.08 1081344 378 518
1488419772 0.08 1081344 420 560
1488419773 0.08 1081344 378 518
1488419774 0.08 1081344 378 518
1488419775 0.07 1081344 324 444
1488419776 0.09 1081344 378 518
1488419777 0.06 1081344 270 370
1488419778 0.08 1081344 378 518
1488419779 0.08 1081344 324 444
1488419780 0.08 1081344 378 518
1488419781 0.07 1081344 378 518
1488419782 0.07 1081344 324 444
1488419783 0.09 1081344 378 518
1488419784 0.08 1081344 378 518
1488419785 0.06 1081344 324 444
1488419786 0.08 1081344 378 518
1488419787 0.09 1081344 432 592
1488419788 0.08 1081344 378 518
1488419789 0.08 1081344 378 518
1488419790 0.08 1081344 324 444
1488419791 0.07 1081344 324 444
1488419792 0.09 1081344 378 518
1488419793 0.09 1081344 378 518
1488419794 0.07 1081344 324 444
1488419795 0.09 1081344 378 518
1488419796 0.08 1081344 378 518
1488419797 0.08 1081344 378 518
1488419798 0.09 1081344 378 518
1488419799 0.08 1081344 378 518
1488419800 0.1 1081344 432 592
1488419801 0.09 1081344 378 518
1488419802 0.07 1081344 324 444
1488419803 0.06 1081344 270 370
1488419804 0.07 1081344 378 518
1488419805 0.08 1081344 378 518
1488419806 0.07 1081344 324 444
1488419807 0.09 1081344 378 518
1488419808 0.1 1081344 432 592
1488419809 0.07 1081344 324 444
1488419810 0.08 1081344 324 444
1488419811 0.07 1081344 324 444
1488419812 0.06 1081344 324 444
1488419813 0.08 1081344 378 518
1488419814 0.06 1081344 324 444
1488419815 0.08 1081344 378 518
1488419816 0.07 1081344 378 518
1488419817 0.08 1081344 324 444
1488419818 0.08 1081344 420 560
1488419819 0.07 1081344 378 518
1488419820 0.09 1081344 432 592
1488419821 0.06 1081344 324 444
1488419822 0.08 1081344 378 518
1488419823 0.07 1081344 324 444
1488419824 0.08 1081344 378 518
1488419825 0.07 1081344 324 444
1488419826 0.09 1081344 378 518
1488419827 0.09 1081344 378 518
1488419828 0.08 1081344 378 518
1488419829 0.08 1081344 378 518
1488419830 0.07 1081344 324 444
1488419831 0.09 1081344 378 518
1488419832 0.09 1081344 378 518
1488419833 0.08 1081344 378 518
1488419834 0.07 1081344 324 444
1488419835 0.09 1081344 378 518
1488419836 0.09 1081344 432 592
1488419837 0.07 1081344 324 444
1488419838 0.07 1081344 324 444
1488419839 0.09 1081344 378 518
1488419840 0.08 1081344 324 444
1488419841 0.07 1081344 324 444
1488419842 0.08 1081344 324 444
1488419843 0.07 1081344 324 444
1488419844 0.08 1081344 378 518
1488419845 0.1 1081344 378 518
1488419846 0.07 1081344 378 518
1488419847 0.09 1081344 378 518
1488419848 0.07 1081344 324 444
1488419849 0.08 1081344 378 518
1488419850 0.08 1081344 324 444
1488419851 0.06 1081344 324 444
1488419852 0.1 1081344 432 592
1488419853 0.07 1081344 324 444
1488419854 0.07 1081344 324 444
1488419855 0.06 1081344 324 444
1488419856 0.09 1081344 378 518
1488419857 0.08 1081344 378 518
1488419858 0.07 1081344 324 444
1488419859 0.07 1081344 324 444
1488419860 0.09 1081344 378 518
1488419861 0.08 1081344 378 518
1488419862 0.08 1081344 324 444
1488419863 0.09 1081344 378 518
1488419864 0.08 1081344 420 560
1488419865 0.07 1081344 324 444
1488419866 0.08 1081344 378 518
1488419867 0.07 1081344 324 444
1488419868 0.06 1081344 324 444
1488419869 0.08 1081344 378 518
1488419870 0.09 1081344 324 444
1488419871 0.11 1081344 432 592
1488419872 0.08 1081344 324 444
1488419873 0.11 1081344 378 518
1488419874 0.07 1081344 324 444
1488419875 0.08 1081344 378 518
1488419876 0.09 1081344 378 518
1488419877 0.07 1081344 324 444
1488419878 0.1 1081344 432 592
1488419879 0.06 1081344 324 444
1488419880 0.09 1081344 378 518
1488419881 0.09 1081344 378 518
1488419882 0.08 1081344 378 518
1488419883 0.09 1081344 378 518
1488419884 0.07 1081344 324 444
1488419885 0.06 1081344 324 444
1488419886 0.08 1081344 378 518
1488419887 0.09 1081344 378 518
1488419888 0.07 1081344 324 444
1488419889 0.09 1081344 378 518
1488419890 0.07 1081344 324 444
1488419891 0.09 1081344 432 592
1488419892 0.06 1081344 270 370
1488419893 0.06 1081344 324 444
1488419894 0.1 1081344 432 592
1488419895 0.08 1081344 324 444
1488419896 0.07 1081344 324 444
1488419897 0.08 1081344 324 444
1488419898 0.08 1081344 378 518
1488419899 0.07 1081344 324 444
1488419900 0.07 1081344 324 444
1488419901 0.09 1081344 378 518
1488419902 0.08 1081344 378 518
1488419903 0.07 1081344 324 444
1488419904 0.07 1081344 324 444
1488419905 0.1 1081344 432 592
1488419906 0.08 1081344 378 518
1488419907 0.07 1081344 324 444
1488419908 0.08 1081344 378 518
1488419909 0.08 1081344 420 560
1488419910 0.08 1081344 324 444
1488419911 0.08 1081344 324 444
1488419912 0.1 1081344 432 592
1488419913 0.07 1081344 324 444
1488419914 0.09 1081344 378 518
1488419915 0.09 1081344 378 518
1488419916 0.08 1081344 378 518
1488419917 0.06 1081344 324 444
1488419918 0.08 1081344 378 518
1488419919 0.09 1081344 378 518
1488419920 0.08 1081344 324 444
1488419921 0.07 1081344 324 444
