#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1488419621 9197226 1396736 90 168
1488419622 679732 1396736 246 90
1488419623 1332106 1134592 758 160
1488419624 1647124 1134592 250 90
1488419625 1293476 1134592 90 0
1488419626 1485087 1015808 552 0
1488419627 730689 1015808 300 70
1488419628 1265757 1060864 2134 1076
1488419629 43571161 1990656 869629 441176
1488419630 251638425 2392064 4709801 3643239
1488419631 157487246 3063808 4893511 3232848
1488419632 151526047 3469312 4163722 2981086
1488419633 150896514 3375104 3602878 3139804
1488419634 217169811 3239936 4001708 4008405
1488419635 123243903 3239936 2895538 2786228
1488419636 88487899 3178496 1996150 2055602
1488419637 140406357 3178496 2607684 2501520
1488419638 118755194 3178496 2183722 2219612
1488419639 128412430 3178496 2682896 2530098
1488419640 141799918 3178496 2797470 2659926
1488419641 120756251 3178496 2722514 2743804
1488419642 117480083 3178496 2262666 2399674
1488419643 115724837 3178496 2700412 2536960
1488419644 127182622 3178496 2636202 2634500
1488419645 126178435 3178496 2647528 2492082
1488419646 120392431 3178496 2293328 2288054
1488419647 135603081 3178496 2697760 2724110
1488419648 126025879 3178496 2549672 2418378
1488419649 127071572 3178496 2501172 2520500
1488419650 139738686 3178496 2482096 2449272
1488419651 134270576 3178496 3000864 2741500
1488419652 127278246 3178496 2536600 2697614
1488419653 157076128 3178496 3383936 3338368
1488419654 151335169 3178496 3250934 3204876
1488419655 120732080 3178496 2947994 2848962
1488419656 124617857 3309568 2807776 2654932
1488419657 125660173 3309568 2751296 2726546
1488419658 105006834 3309568 2373188 2394588
1488419659 123854244 3309568 2720952 2718342
1488419660 118744159 3309568 2737568 2648772
1488419661 128258244 3305472 2734178 2679848
1488419662 119591566 3178496 2866244 2658834
1488419663 120705944 3178496 2552704 2722456
1488419664 135758848 3178496 2955430 2966416
1488419665 128190049 3178496 3039398 2780990
1488419666 120524493 3178496 2707018 2724562
1488419667 124075139 3178496 2781902 2728414
1488419668 126108054 3178496 2895202 2839306
1488419669 126239005 3178496 2922412 2918504
1488419670 123042279 3178496 2805132 2720628
1488419671 133344254 3178496 2854332 2938616
1488419672 128468456 3178496 3049498 2790510
1488419673 132874412 3178496 2818584 2855082
1488419674 125337486 3178496 2807682 2850182
1488419675 119126734 3178496 2776664 2680090
1488419676 131688182 3178496 2981524 2870126
1488419677 126173242 3178496 2829148 2794548
1488419678 119509786 3178496 2785130 2675326
1488419679 118267770 3178496 2621240 2842044
1488419680 131625930 3178496 3041158 2811560
1488419681 129573313 3178496 2930378 2867536
1488419682 133693061 3178496 2861928 2923658
1488419683 129547273 3178496 2987900 2787294
1488419684 131835869 3178496 2856790 2922918
1488419685 124909070 3178496 2930258 2851428
1488419686 125984513 3178496 2862186 2727952
1488419687 117384090 3178496 2529176 2645934
1488419688 135357770 3178496 3015034 2871554
1488419689 123714599 3178496 2769274 2633738
1488419690 130217547 3178496 2816488 2769264
1488419691 105046160 3178496 2304164 2514824
1488419692 121748911 3178496 2750508 2489032
1488419693 123017953 3358720 2712812 2790198
1488419694 118262347 3125248 2840644 2664484
1488419695 125903671 3125248 2829166 2832670
1488419696 123133495 3125248 2767946 2794334
1488419697 126637675 3125248 2777808 2704768
1488419698 120684565 3125248 2681852 2674816
1488419699 123637980 3125248 2860050 2728710
1488419700 122230386 3125248 2723418 2664764
1488419701 123442039 3125248 2802050 2723642
1488419702 125879917 3125248 2775594 2737014
1488419703 121839670 3145728 2794080 2721028
1488419704 119809934 3145728 2551490 2610840
1488419705 129966001 3145728 2849226 2719582
1488419706 127956842 3145728 2701756 2680648
1488419707 115991729 3145728 2603448 2636510
1488419708 137149394 3276800 3001808 2965806
1488419709 125835790 3149824 2845542 2709880
1488419710 127383167 3149824 2741620 2739432
1488419711 118068733 3149824 2840170 2670848
1488419712 118437951 3149824 2595996 2678430
1488419713 124588253 3149824 2843308 2750796
1488419714 120652484 3280896 2693276 2672862
1488419715 125927748 3411968 2836100 2807078
1488419716 122923853 3411968 2707268 2655982
1488419717 162100983 3305472 3094302 2941764
1488419718 165469881 3305472 3103076 3196616
1488419719 156395761 3305472 3264992 3114780
1488419720 157241504 3305472 3330584 3191988
1488419721 157176638 3436544 3109560 3121252
1488419722 136304218 3317760 3016066 2995208
1488419723 144716011 3317760 3120698 3011542
1488419724 142638280 3317760 3279978 3256178
1488419725 144347025 3190784 3090806 3132476
1488419726 187509667 3190784 3580222 3507012
1488419727 161466212 3190784 3002650 2817892
1488419728 151049091 3190784 2957778 3050232
1488419729 147426192 3190784 3205068 3101606
1488419730 143146037 3190784 3168010 3066484
1488419731 149346994 3190784 3143142 2988910
1488419732 144935551 3190784 2989680 3058514
1488419733 138946865 3190784 3015786 3012214
1488419734 161210245 3190784 3206444 3063822
1488419735 153948123 3190784 3004362 3109046
1488419736 158090108 3190784 3305162 3127416
1488419737 144237574 3190784 3089456 3073198
1488419738 153279418 3190784 2984688 2920306
1488419739 137981146 3190784 3035798 2972964
1488419740 156543955 3190784 3171392 3124266
1488419741 146178856 3149824 3211814 3117906
1488419742 146090014 3153920 3011650 2943116
1488419743 141030061 3158016 2731460 2820994
1488419744 174994610 3158016 3414518 3398138
1488419745 162368974 3158016 3556700 3304416
1488419746 171211875 3289088 3235906 3212774
1488419747 186207803 3289088 3282468 3216220
1488419748 141479498 3289088 3062250 3112462
1488419749 156468886 3166208 3429700 3220566
1488419750 146909147 3166208 2835804 2902130
1488419751 151026134 3166208 3167324 3072660
1488419752 150710588 3166208 3328088 3190276
1488419753 150300123 3166208 3030820 3186746
1488419754 150141101 3166208 3313632 3043274
1488419755 153909446 3166208 3316248 3310242
1488419756 143622617 3166208 2922732 2924544
1488419757 129907276 3166208 2830780 2784054
1488419758 155002743 3166208 3245450 3171916
1488419759 160111035 3166208 3121450 3116468
1488419760 147548523 3166208 3226992 3155300
1488419761 147885870 3166208 2918710 2914600
1488419762 159870744 3166208 3106374 2993112
1488419763 135235845 3297280 3057854 3029886
1488419764 154955575 3170304 3207782 3121894
1488419765 149930020 3170304 3173938 3062302
1488419766 141550764 3170304 2971272 3042882
