#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1489033979 0.0 1302528 258 90
1489033980 0.18 1150976 410 168
1489033981 0.15 1150976 180 250
1489033982 0.13 1064960 168 0
1489033983 0.13 1015808 430 0
1489033985 0.24 1036288 2676 1080
1489033986 0.18 1212416 1316 1142
1489033988 0.22 1105920 1394 0
1489033989 0.12 1105920 460 70
1489033990 14.52 2064384 1696108 1416815
1489033991 73.47 2846720 9722082 8132579
1489033992 68.35 3518464 11204909 8941381
1489033993 52.62 3715072 10590780 9789331
1489033994 46.3 4272128 10119672 8781767
1489033995 48.22 4055040 9413642 8899213
1489033996 63.59 4186112 9394402 8967560
1489033997 49.9 4169728 9115958 9096682
1489033998 44.62 4169728 8730440 8818768
1489033999 55.63 4059136 10009084 9521128
1489034000 46.73 4063232 9279384 9124413
1489034001 44.38 4067328 8746346 8557496
1489034002 54.19 4067328 9835682 9545145
1489034003 43.32 4067328 8354714 8449732
1489034004 43.77 4067328 9180660 8893764
1489034005 49.19 4067328 9519360 9076586
1489034006 42.25 4055040 8703616 8736377
1489034007 46.81 4050944 8937142 8953630
1489034008 48.41 4050944 9385948 9227060
1489034009 51.38 4050944 9124288 8816492
1489034010 47.18 4050944 9325062 9119534
1489034011 46.0 4055040 8571712 8264392
1489034012 38.41 4055040 8691556 8467410
1489034013 36.68 4055040 8397618 8528786
1489034014 36.53 4055040 8146098 7898484
1489034015 48.44 4055040 9215164 9102872
1489034016 56.75 4055040 10336872 10276636
1489034017 47.63 4055040 8517186 8287825
1489034018 55.24 4055040 9557904 9315037
1489034019 51.16 4055040 9837164 9490676
1489034020 42.66 4055040 8530400 8369180
1489034021 46.92 4059136 9179016 9369066
1489034022 52.07 4059136 9591090 8756288
1489034023 53.47 4059136 10409362 10306031
1489034024 42.32 4059136 7770602 8049854
1489034025 45.98 4059136 9253784 8849346
1489034026 48.17 4038656 9489226 9392966
1489034027 55.42 4038656 9641406 9456466
1489034028 41.03 4038656 8618366 8528072
1489034029 43.85 4190208 8950708 8733264
1489034030 53.73 4067328 9414076 9059358
1489034031 49.98 4067328 9002674 8652474
1489034032 41.75 4067328 8250002 8520322
1489034033 44.38 4067328 9179974 8947586
1489034034 50.99 4067328 9374496 9055980
1489034035 41.6 4067328 8740796 8634808
1489034036 48.35 4067328 9164766 8977774
1489034037 46.05 4067328 9008922 8890788
1489034038 46.42 4067328 9442760 9147780
1489034039 61.52 4038656 9810576 9471670
1489034040 47.6 4038656 9110992 9125508
1489034041 42.13 4038656 8766244 8578970
1489034042 43.57 4046848 9090030 9239278
1489034043 55.74 4059136 10407762 9611254
1489034044 44.41 4059136 8402396 8382618
1489034045 39.01 4059136 8214062 8258492
1489034046 50.32 4059136 9191190 8945580
1489034047 52.57 4059136 9126564 8785367
1489034048 44.51 4059136 8067862 8054434
1489034049 39.87 4059136 8172250 8126669
1489034050 50.75 4059136 9603108 9232459
1489034051 45.42 4059136 9313262 9290178
1489034052 40.42 4059136 8244942 8005820
1489034053 43.92 4190208 8907682 8732964
1489034054 51.78 4202496 9148264 9011357
1489034055 47.0 4202496 8722034 8403900
1489034056 46.81 4202496 9279678 9290574
1489034057 47.4 4087808 8565154 8404433
1489034058 50.14 4063232 8868998 8282021
1489034059 46.99 4059136 8686864 8763264
1489034060 46.13 4059136 9056656 8918336
1489034061 40.72 4198400 8425670 8321066
1489034062 39.78 4087808 8657206 8553728
1489034063 47.73 4087808 9535512 9516796
1489034064 45.42 4087808 8458970 8072386
1489034065 49.1 4087808 9423540 9077788
1489034066 42.73 4087808 8244254 8228712
1489034067 46.49 4091904 9225060 8715264
1489034068 47.58 4091904 9137882 9290106
1489034069 46.72 4091904 8587198 8497914
1489034070 55.75 4091904 10100696 9702823
1489034071 42.85 4091904 8241394 8247500
1489034072 48.62 4091904 9306682 9140492
1489034073 39.59 4091904 8327556 7959819
1489034074 40.98 4091904 8142370 8083596
