#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1489033980 0.0 1490944 90 90
1489033981 0.09 1425408 590 78
1489033982 0.15 1425408 78 250
1489033983 0.14 1011712 508 90
1489033985 0.24 1011712 1330 0
1489033987 0.43 1124352 2582 1146
1489033988 0.18 1212416 1328 1076
1489033989 0.13 1105920 698 0
1489033990 1.22 1220608 57448 60108
1489033991 36.49 1912832 1819979 2037561
1489033992 51.8 2158592 3774024 3824859
1489033993 48.19 2162688 3492698 3429808
1489033994 48.4 2048000 3334484 3394465
1489033995 47.82 2048000 3026432 3109498
1489033996 46.89 2048000 3207329 3240643
1489033997 45.81 2048000 3068899 3140758
1489033998 45.54 2048000 2738022 2816400
1489033999 61.21 2052096 3548909 3644786
1489034000 47.86 2052096 2915905 2990931
1489034001 56.46 2187264 3786501 3807448
1489034002 57.26 2064384 3745508 3817058
1489034003 53.01 2064384 3627573 3703841
1489034004 55.3 2064384 3696127 3733435
1489034005 50.41 2199552 3343884 3344504
1489034006 46.82 2076672 3354339 3318489
1489034007 56.25 2076672 3797717 3840912
1489034008 51.23 2088960 3842324 3817832
1489034009 58.21 2088960 4018852 4163817
1489034010 60.27 2097152 4092021 4210101
1489034011 60.34 2097152 3909567 3962538
1489034012 47.06 2097152 3285311 3302206
1489034013 57.85 2097152 3806808 3742319
1489034014 47.9 2097152 3221927 3308396
1489034015 58.9 2097152 3843055 4033603
1489034016 51.2 2097152 3761158 3736077
1489034017 58.17 2097152 4058733 4069525
1489034018 49.12 2097152 3491262 3429227
1489034019 47.67 2105344 3617220 3463479
1489034020 49.32 2134016 4071560 3763626
1489034021 43.36 2154496 3236446 3230119
1489034022 56.57 2154496 4102501 4022019
1489034023 53.0 2154496 3609926 3556145
1489034024 46.53 2154496 3587980 3292192
1489034025 45.39 2154496 3444454 3315581
1489034026 55.45 2154496 3793025 3712233
1489034027 49.04 2154496 3643976 3567088
1489034028 48.66 2154496 3832872 3715261
1489034029 51.96 2154496 4427065 4082941
1489034030 50.57 2154496 3908576 3717383
1489034031 58.7 2154496 4296153 4140137
1489034032 47.6 2154496 3379622 3407369
1489034033 59.47 2154496 3903675 4071551
1489034034 56.31 2154496 3619355 3775015
1489034035 53.81 2285568 4101961 3962181
1489034036 51.8 2285568 3813350 3744083
1489034037 54.99 2158592 4274487 4286460
1489034038 50.65 2158592 3156646 3225371
1489034039 62.38 2158592 4081182 4227917
1489034040 50.29 2158592 3291712 3372662
1489034041 56.98 2158592 3701982 3785759
1489034042 48.1 2158592 3338336 3288465
1489034043 48.06 2158592 3495701 3325847
1489034044 56.32 2158592 3889142 3920191
1489034045 52.95 2158592 3726387 3750479
1489034046 52.13 2179072 3627232 3504297
1489034047 55.57 2179072 3559195 3614093
1489034048 47.77 2179072 3401212 3441365
1489034049 48.13 2179072 3387338 3415624
1489034050 55.85 2179072 3694362 3727435
1489034051 52.49 2179072 3500043 3573708
1489034052 57.24 2179072 3840485 3822651
1489034053 52.46 2179072 3917156 3875318
1489034054 52.84 2179072 3712320 3750059
1489034055 47.15 2179072 3379453 3357759
1489034056 60.7 2179072 4072476 4168182
1489034057 58.85 2179072 4506921 4216935
1489034058 41.98 2310144 3650010 3261635
1489034059 56.26 2183168 3843301 3866187
1489034060 54.82 2183168 3842008 3826805
1489034061 58.51 2183168 4329033 4269237
1489034062 59.78 2183168 3964836 3976311
1489034063 59.44 2183168 3625857 3782957
1489034064 65.08 2183168 4317774 4373792
1489034065 57.0 2183168 3674019 3817677
1489034066 60.81 2183168 3847871 4035285
1489034067 56.6 2183168 3804185 3992840
1489034068 57.54 2183168 4244668 4348037
1489034069 57.91 2183168 4076253 4133388
1489034070 60.52 2183168 3971033 4033171
1489034071 48.53 2183168 3565456 3612148
1489034072 49.5 2183168 3867981 3728457
1489034073 58.23 2183168 4096506 4036608
1489034074 49.53 2183168 3444748 3518312
1489034075 52.49 2183168 3847995 3800534
1489034076 57.75 2183168 4027244 4077783
1489034077 54.99 2183168 4256210 4259473
1489034078 59.45 2183168 4540850 4432647
1489034079 54.52 2183168 4216640 3941785
1489034080 56.31 2183168 4019606 3923933
1489034081 58.16 2183168 4126059 4038591
1489034082 48.96 2183168 3714405 3587309
1489034083 60.84 2183168 4439440 4341301
1489034084 53.71 2183168 4397108 4246065
1489034085 51.99 2183168 3871190 3672319
1489034086 48.09 2183168 3511252 3356251
1489034087 44.44 2187264 3132351 3102474
1489034088 51.43 2187264 3765297 3674166
1489034089 48.54 2187264 3781435 3559541
1489034090 44.84 2187264 3589072 3302216
1489034091 48.11 2187264 3835857 3687634
1489034092 53.09 2187264 3693593 3616800
1489034093 43.6 2187264 2888349 2844396
1489034094 50.48 2187264 3659788 3526130
1489034095 54.48 2187264 3510815 3542121
1489034096 51.36 2187264 3871115 3756903
1489034097 50.59 2187264 4021016 3734622
1489034098 44.47 2187264 3640623 3456315
1489034099 59.22 2187264 4056318 4090797
1489034100 55.73 2187264 3957967 3896799
1489034101 53.94 2187264 3807323 3742956
1489034102 58.31 2187264 4041665 4058073
1489034103 66.15 2187264 4555577 4371909
1489034104 50.54 2187264 3763005 3611634
1489034105 53.85 2187264 3817229 3761815
1489034106 52.42 2187264 4214436 3972705
1489034107 56.65 2187264 3891529 3719271
1489034108 55.17 2187264 3644331 3631975
1489034109 57.01 2187264 4114306 3899085
1489034110 52.09 2187264 3538031 3468459
1489034111 53.61 2187264 4270905 3960386
1489034112 55.09 2187264 3793261 3760585
1489034113 51.32 2187264 3547510 3463352
1489034114 56.11 2187264 4064005 3954086
1489034115 50.65 2187264 3955083 3825420
1489034116 46.47 2187264 3525529 3385597
1489034117 50.81 2187264 4206419 4067826
1489034118 62.36 2187264 4642052 4600354
1489034119 43.62 2187264 3344964 3254262
1489034120 63.27 2187264 4159758 3989618
1489034121 49.86 2187264 3872019 3657306
1489034122 49.28 2187264 3998809 3685170
1489034123 52.36 2187264 3988571 3885534
1489034124 51.2 2187264 3721681 3581466
1489034125 49.45 2187264 3288738 3287164
1489034126 51.41 2187264 4178289 3965410
1489034127 58.09 2187264 3998790 3892314
1489034128 57.58 2187264 4392281 4261821
1489034129 55.02 2187264 4065334 3914697
1489034130 59.4 2187264 4149378 4078748
1489034131 59.38 2187264 4052120 3930285
1489034132 49.84 2187264 3901995 3798661
1489034133 52.5 2187264 3568475 3596202
1489034134 55.38 2187264 3661662 3633438
1489034135 54.19 2187264 3852693 3700311
1489034136 58.33 2187264 4247208 4165187
1489034137 58.24 2187264 4214847 4150188
1489034138 45.69 2187264 3546231 3271692
1489034139 49.85 2187264 3337330 3305622
1489034140 54.93 2187264 3526628 3520345
1489034141 57.57 2187264 3892767 3748956
1489034142 61.22 2187264 3727187 3709234
1489034143 51.29 2187264 3760697 3639102
1489034144 54.48 2187264 3819489 3685691
1489034145 58.14 2187264 3687169 3610573
1489034146 53.67 2322432 3629360 3474753
1489034147 45.21 2195456 3203729 3149402
1489034148 51.88 2195456 3512628 3404177
1489034149 52.19 2195456 3406585 3356805
1489034150 47.82 2195456 2890296 2848838
1489034151 42.97 2195456 3027517 2958040
1489034152 52.58 2195456 3526503 3419321
1489034153 53.03 2195456 3416920 3282915
1489034154 49.15 2195456 3401107 3377446
1489034155 65.68 2195456 4443141 4150224
1489034156 43.05 2195456 3191372 2921341
1489034157 49.94 2195456 3632867 3617629
1489034158 56.74 2199552 3942651 3878345
1489034159 60.01 2199552 3670278 3668168
1489034160 51.6 2199552 3459254 3337534
1489034161 58.13 2199552 4048725 3975074
1489034162 50.74 2199552 3235925 3204506
1489034163 52.77 2199552 3579083 3513622
1489034164 60.56 2199552 4117367 4119999
1489034165 59.1 2199552 3896714 3764720
1489034166 44.59 2199552 3159178 2984385
1489034167 56.25 2199552 4000361 3851425
1489034168 47.61 2199552 3501271 3278615
1489034169 52.77 2199552 3899095 3657147
1489034170 49.14 2199552 3681809 3524286
1489034171 46.07 2199552 3546737 3382935
1489034172 46.34 2199552 3340001 3275299
1489034173 52.65 2199552 3674017 3641009
1489034174 50.49 2199552 3541915 3503572
1489034175 47.82 2199552 3495304 3339981
1489034176 53.13 2199552 3702665 3638620
1489034177 55.41 2199552 3953533 3870167
1489034178 53.3 2199552 4132481 3935288
1489034179 56.17 2199552 4029100 3812517
1489034180 48.92 2199552 3352526 3181096
1489034181 55.98 2199552 3608275 3526003
1489034182 55.75 2199552 3881054 3835392
1489034183 51.34 2199552 3754202 3585559
1489034184 43.47 2199552 3445940 3143513
1489034185 52.15 2199552 3519348 3436467
1489034186 56.8 2199552 3827339 3804130
1489034187 45.42 2199552 3144199 3007929
1489034188 49.63 2199552 3768337 3719132
1489034189 53.6 2199552 3642393 3456337
1489034190 46.53 2199552 3231498 3128229
1489034191 54.14 2199552 3708418 3597139
1489034192 57.72 2199552 4118083 3988975
1489034193 57.24 2199552 3872998 3586026
1489034194 45.94 2199552 3082715 2995353
1489034195 53.25 2199552 3768659 3627803
1489034196 49.43 2199552 3605240 3588000
1489034197 47.07 2199552 3088352 3059541
1489034198 48.51 2199552 3189018 3218672
1489034199 55.78 2199552 3646042 3535024
1489034200 50.92 2199552 3260931 3227073
1489034201 53.9 2199552 3527884 3515562
1489034202 51.44 2199552 3759952 3655792
1489034203 49.92 2199552 3476747 3504066
1489034204 51.79 2199552 3456425 3408818
1489034205 60.83 2199552 3885702 3869083
1489034206 46.96 2199552 3177116 3180573
1489034207 50.43 2199552 3455665 3452447
1489034208 51.28 2199552 3341595 3301772
1489034209 47.49 2199552 3200258 3187310
1489034210 56.8 2199552 4002232 3916661
1489034211 42.9 2199552 3238367 2994772
1489034212 56.44 2199552 3850166 3749058
1489034213 46.22 2199552 3653859 3326952
1489034214 49.99 2199552 4220888 3786069
1489034215 47.38 2199552 3380128 3356661
1489034216 58.01 2199552 3742529 3786003
1489034217 54.46 2199552 3657576 3592752
1489034218 55.56 2199552 3540079 3542095
1489034219 56.12 2199552 3983232 3939858
1489034220 53.82 2199552 3933439 3812677
1489034221 51.51 2199552 3783418 3593777
1489034222 46.42 2199552 3470469 3291666
1489034223 55.95 2199552 3530300 3504905
1489034224 55.4 2199552 3597531 3556069
1489034225 50.39 2199552 3507228 3428416
1489034226 54.87 2199552 3957461 3916383
1489034227 40.11 2199552 2940189 2834751
1489034228 51.23 2199552 3699506 3623636
1489034229 43.59 2199552 3287607 3224455
1489034230 50.54 2199552 3925790 3683215
1489034231 49.62 2199552 3500024 3419198
1489034232 43.62 2199552 2917332 2842144
1489034233 53.74 2203648 4093241 3953580
1489034234 54.5 2203648 4088923 3879853
1489034235 55.66 2203648 4798681 4231408
1489034236 50.71 2203648 3547651 3286206
1489034237 59.61 2203648 4326427 4146168
1489034238 53.69 2203648 4070032 3971911
1489034239 49.14 2203648 3315248 3305486
1489034240 57.25 2203648 4133585 4018797
1489034241 53.77 2203648 3955437 3910008
1489034242 54.26 2203648 3876268 3823513
1489034243 42.33 2203648 3304232 3062166
1489034244 53.9 2203648 3998922 3847367
1489034245 56.6 2203648 4269718 4200895
1489034246 61.12 2203648 4054345 3997336
1489034247 50.96 2203648 3752644 3531464
1489034248 54.1 2203648 3833706 3695680
1489034249 47.43 2203648 3275300 3129730
1489034250 59.5 2203648 4022116 3982980
1489034251 58.27 2203648 4168740 4044915
1489034252 51.95 2203648 3769383 3518433
1489034253 53.26 2203648 4196015 3951176
1489034254 54.81 2203648 4029629 3863402
1489034255 47.41 2203648 3582812 3512159
1489034256 53.66 2203648 4091652 3869218
1489034257 58.66 2203648 4320315 4146252
1489034258 52.99 2203648 3623303 3644120
1489034259 48.82 2203648 3761031 3643801
1489034260 59.44 2203648 4402886 4288493
1489034261 45.39 2203648 3376988 3155809
1489034262 51.88 2203648 3825818 3734736
1489034263 50.2 2203648 4102897 3905523
1489034264 52.25 2203648 3952070 3824459
1489034265 61.4 2203648 4300500 4167469
1489034266 54.71 2203648 3971984 3840026
1489034267 54.28 2203648 3927655 3842596
1489034268 57.64 2203648 4181611 4004979
1489034269 48.53 2203648 3601926 3482811
1489034270 58.11 2203648 4411175 4136644
1489034271 43.61 2203648 3658895 3448924
1489034272 51.65 2203648 4094088 3884948
1489034273 50.27 2203648 4148149 3788854
1489034274 50.48 2203648 4190589 3943792
1489034275 56.18 2203648 4063642 3875321
1489034276 59.63 2203648 4514052 4288378
