#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1489033980 0.0 1298432 270 168
1489033981 0.12 1007616 496 340
1489033982 0.13 1007616 500 0
1489033983 0.13 1007616 348 0
1489033985 0.28 1024000 1910 608
1489033987 0.58 1150976 4286 2756
1489033988 0.17 1282048 1292 1076
1489033989 0.14 1196032 628 70
1489033990 2.84 1744896 188926 196968
1489033991 65.66 2019328 4211755 4409104
1489033992 77.98 2023424 6460932 6461137
1489033993 86.9 2187264 7099135 6644703
1489033994 89.57 2088960 7253248 7246015
1489033995 94.38 2387968 7950015 7766573
1489033996 86.39 2265088 7109074 7460970
1489033997 87.47 2265088 7826970 7749449
1489033998 92.17 2138112 7669345 7554149
1489033999 81.47 2138112 7310951 6668953
1489034000 90.13 2138112 8197040 7627536
1489034001 79.0 2195456 7789235 7148970
1489034002 90.38 2338816 8527193 8013510
1489034003 82.78 2244608 7284506 7028158
1489034004 95.52 2244608 8312769 7993356
1489034005 87.9 2260992 7714994 7111047
1489034006 88.34 2260992 7855932 7405604
1489034007 88.46 2260992 7692927 7371524
1489034008 89.02 2260992 8017113 7502270
1489034009 83.91 2260992 8285589 7825736
1489034010 82.87 2260992 7880814 7426490
1489034011 70.93 2260992 6754078 6347985
1489034012 84.05 2396160 7623440 7364311
1489034013 87.67 2412544 7984066 7651296
1489034014 86.03 2306048 7497506 7370713
1489034015 74.49 2306048 7731879 7078596
1489034016 87.56 2306048 7993492 7869256
1489034017 84.89 2584576 8103798 7428114
1489034018 78.85 2584576 7710360 7000029
1489034019 91.09 2457600 7615243 8116139
1489034020 83.84 2457600 7291408 7248873
1489034021 79.47 2457600 7865169 7364562
1489034022 87.45 2457600 8109869 7569079
1489034023 85.25 2498560 8141890 7811766
1489034024 89.79 2387968 8153532 7705329
1489034025 93.27 2387968 8528285 8541167
1489034026 87.27 2387968 7874266 7300976
1489034027 88.62 2387968 7544436 8066701
1489034028 81.57 2387968 7450752 7498061
1489034029 90.7 2387968 8124739 8261950
1489034030 75.7 2387968 6985585 6918776
1489034031 97.78 2387968 8298399 8469645
1489034032 81.69 2387968 7806733 7183125
1489034033 83.76 2387968 8198219 7750036
1489034034 86.59 2387968 7786879 7618455
1489034035 85.6 2387968 8011849 7839222
1489034036 78.03 2387968 7045404 6994571
1489034037 96.75 2387968 8886720 8756891
1489034038 82.77 2387968 7478734 7547791
1489034039 95.5 2387968 7782207 8337899
1489034040 90.71 2371584 7937926 8040832
1489034041 83.46 2371584 7787789 7645934
1489034042 91.53 2371584 7940537 8246903
1489034043 90.35 2371584 7423483 7998507
1489034044 87.31 2502656 8386950 7706721
1489034045 82.95 2375680 7675210 7529387
1489034046 87.06 2392064 7676669 7742380
1489034047 92.2 2392064 8442825 8358625
1489034048 86.38 2392064 6897478 7427130
1489034049 90.55 2392064 8092954 7839291
1489034050 86.29 2392064 8087066 7921880
1489034051 88.45 2392064 7873517 7417779
1489034052 83.57 2392064 7460909 7435218
1489034053 89.59 2392064 8188858 8158637
1489034054 85.19 2392064 7771752 7671286
1489034055 89.63 2392064 7279294 7684755
1489034056 81.16 2392064 7484481 6721993
1489034057 91.67 2392064 8553461 7989496
1489034058 85.05 2523136 7380129 7273992
1489034059 91.57 2437120 8037798 7261117
1489034060 81.5 2437120 7540223 7210789
1489034061 95.91 2437120 8793329 8195794
1489034062 83.37 2437120 7627425 7227175
1489034063 78.83 2437120 7302523 7057966
1489034064 85.84 2437120 7333228 7475742
1489034065 89.37 2625536 8070137 7902313
1489034066 81.94 2625536 7370481 7607121
1489034067 86.34 2625536 7942596 7912494
1489034068 80.54 2625536 7623699 7705571
1489034069 79.58 2625536 7565752 7124798
1489034070 92.33 2625536 8428545 8856623
1489034071 76.59 2625536 7094653 7222145
1489034072 89.98 2498560 8305864 7874272
1489034073 84.02 2498560 7751799 6935518
1489034074 89.25 2498560 8071991 7960394
1489034075 92.93 2498560 8116767 7975085
1489034076 80.94 2629632 7347269 7290472
1489034077 82.54 2813952 7485013 7594344
1489034078 89.56 2813952 8663350 7884212
1489034079 80.23 2703360 7517305 6534112
1489034080 86.71 2703360 7133627 7415747
1489034081 86.12 2703360 7805815 7587765
1489034082 78.83 2703360 7128477 7157446
1489034083 78.5 2703360 7411123 7170975
1489034084 93.63 2703360 9079189 8573421
1489034085 78.76 2703360 7359745 6919756
1489034086 88.86 2703360 7849678 7762986
1489034087 93.34 2703360 7828675 7924794
1489034088 84.63 2703360 7474172 7525234
1489034089 103.55 2703360 8436393 8650789
1489034090 74.81 2703360 6757570 6470102
1489034091 98.25 2703360 9263386 9191146
1489034092 89.64 2703360 8668250 8316709
1489034093 87.21 2703360 7245298 7228890
1489034094 83.88 2703360 8100107 7577809
1489034095 87.04 2703360 7987390 7532724
1489034096 89.09 2703360 8530471 8102707
1489034097 85.51 2703360 8450100 7773489
1489034098 75.84 2703360 7228592 6807541
1489034099 82.99 2703360 7545708 7785934
1489034100 79.0 2703360 7855810 6968389
1489034101 89.11 2703360 8341166 7935499
1489034102 78.33 2703360 7835387 7494581
1489034103 85.35 2703360 8443828 7792907
1489034104 86.15 2703360 7698327 7444113
1489034105 89.41 2834432 7742508 8095417
1489034106 88.08 2707456 7841305 7859398
1489034107 79.46 2707456 7080158 6738400
1489034108 88.31 2707456 8594124 7773016
1489034109 94.59 2707456 8753427 8035792
1489034110 83.63 2707456 7879341 7181887
1489034111 81.81 2707456 8057337 7667467
1489034112 84.42 2707456 7617621 7344872
1489034113 86.6 2707456 7869022 7789320
1489034114 92.45 2707456 8177620 7930459
1489034115 88.9 2707456 8584610 8003081
1489034116 85.98 2707456 7487643 7963890
1489034117 79.94 2707456 7426411 7739760
1489034118 90.33 2707456 8018140 7697315
1489034119 81.77 2707456 7776681 7410291
1489034120 86.0 2707456 8220255 7118316
1489034121 91.02 2707456 8298553 7970935
1489034122 82.97 2707456 7891277 7240858
1489034123 87.97 2707456 8207385 7586433
1489034124 82.92 2473984 8257319 7893277
1489034125 81.55 2473984 7569914 7456293
1489034126 87.15 2473984 8079968 7706926
1489034127 94.76 2473984 8025084 8221153
1489034128 86.89 2473984 7704641 7778261
1489034129 80.35 2473984 7651051 7099683
1489034130 86.14 2473984 7867435 7592832
1489034131 95.71 2473984 8291380 8173116
1489034132 96.33 2473984 8053927 8590533
1489034133 75.35 2473984 6754341 7286793
1489034134 84.99 2473984 7944398 7437274
1489034135 89.74 2473984 8236919 8399757
1489034136 75.79 2617344 7407765 7136672
1489034137 84.47 2498560 8135045 7982530
1489034138 85.32 2490368 7995412 7649557
1489034139 78.78 2490368 7382723 7156243
1489034140 86.72 2490368 7662233 7596335
1489034141 94.92 2490368 7567547 7206430
1489034142 90.81 2490368 8401272 7952608
1489034143 88.11 2490368 7159457 7743350
1489034144 87.22 2490368 7813350 7693324
1489034145 87.71 2465792 7652369 7317593
1489034146 86.42 2465792 7616188 7250767
1489034147 81.76 2465792 8128988 7350445
1489034148 99.85 2465792 8399248 8395051
1489034149 83.13 2465792 8045962 7635238
1489034150 86.83 2465792 7896349 7287906
1489034151 96.01 2465792 8257087 8398449
1489034152 98.61 2465792 8255626 8476018
1489034153 83.75 2465792 7534615 6775272
