#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1489033981 0.0 1396736 90 90
1489033982 0.12 1396736 168 168
1489033983 0.15 1220608 160 160
1489033985 0.27999999999999997 1011712 1888 90
1489033986 0.13 1011712 126 0
1489033988 0.19 1011712 1324 70
1489033989 0.13 1011712 620 0
1489033990 0.17 1056768 1442 1208
1489033991 0.13 1105920 1628 1146
1489033992 0.07 1110016 210 0
1489033993 0.08 1110016 572 0
1489033994 0.06 1110016 210 0
1489033995 0.07 1110016 480 0
1489033996 0.09 1110016 336 84
1489033997 0.01 1126400 1162 612
1489033998 0.09 1134592 324 444
1489033999 0.11 1134592 502 592
1489034000 0.09 1134592 378 518
1489034001 0.1 1134592 448 518
1489034002 0.09 1134592 378 518
1489034003 0.08 1134592 394 444
1489034004 0.12 1134592 432 592
1489034005 0.08 1134592 324 444
1489034006 0.09 1134592 378 518
1489034007 0.09 1134592 324 444
1489034008 0.09 1134592 378 518
1489034009 0.08 1134592 324 444
1489034010 0.1 1134592 378 518
1489034011 0.07 1134592 270 370
1489034012 0.07 1134592 324 444
1489034013 0.1 1134592 378 518
1489034014 0.08 1134592 324 444
1489034015 0.11 1134592 432 592
1489034016 0.1 1134592 378 518
1489034017 0.08 1134592 324 444
1489034018 0.1 1134592 378 518
1489034019 0.09 1134592 324 444
1489034020 0.08 1134592 324 444
1489034021 0.11 1134592 432 592
1489034022 0.1 1134592 378 518
1489034023 0.13 1134592 432 592
1489034024 0.08 1134592 324 444
1489034025 0.09 1134592 378 518
1489034026 0.08 1134592 324 444
1489034027 0.16 1134592 486 666
1489034028 0.08 1134592 324 444
1489034029 0.09 1134592 378 518
1489034030 0.08 1134592 366 486
1489034031 0.09 1134592 378 518
1489034032 0.08 1134592 324 444
1489034033 0.1 1134592 378 518
1489034034 0.09 1134592 378 518
1489034035 0.09 1134592 378 518
1489034036 0.09 1134592 378 518
1489034037 0.1 1134592 378 518
1489034038 0.08 1134592 324 444
1489034039 0.11 1134592 432 592
1489034040 0.09 1134592 378 518
1489034041 0.08 1134592 324 444
1489034042 0.1 1134592 378 518
1489034043 0.09 1134592 378 518
1489034044 0.08 1134592 324 444
1489034045 0.11 1134592 432 592
1489034046 0.08 1134592 324 444
1489034047 0.07 1134592 270 370
1489034048 0.11 1134592 432 592
1489034049 0.07 1134592 324 444
1489034050 0.09 1134592 378 518
1489034051 0.09 1134592 378 518
1489034052 0.09 1134592 378 518
1489034053 0.09 1134592 378 518
1489034054 0.1 1134592 378 518
1489034055 0.08 1134592 324 444
1489034056 0.1 1134592 378 518
1489034057 0.08 1134592 324 444
1489034058 0.09 1134592 378 518
1489034059 0.1 1134592 378 518
1489034060 0.08 1134592 324 444
1489034061 0.11 1134592 432 592
1489034062 0.09 1134592 366 486
1489034063 0.1 1134592 432 592
1489034064 0.08 1134592 324 444
1489034065 0.09 1134592 378 518
1489034066 0.09 1134592 378 518
1489034067 0.11 1134592 378 518
1489034068 0.1 1134592 432 592
1489034069 0.08 1134592 324 444
1489034070 0.08 1134592 324 444
1489034071 0.09 1134592 378 518
1489034072 0.09 1134592 378 518
1489034073 0.08 1134592 324 444
1489034074 0.08 1134592 378 518
1489034075 0.09 1134592 324 444
1489034076 0.09 1134592 378 518
1489034077 0.1 1134592 378 518
1489034078 0.09 1134592 378 518
1489034079 0.08 1134592 324 444
1489034080 0.1 1134592 378 518
1489034081 0.08 1134592 324 444
1489034082 0.1 1134592 378 518
1489034083 0.1 1134592 378 518
1489034084 0.1 1134592 378 518
1489034085 0.07 1134592 270 370
1489034086 0.08 1134592 324 444
1489034087 0.1 1134592 378 518
1489034088 0.08 1134592 324 444
1489034089 0.09 1134592 378 518
1489034090 0.08 1134592 324 444
1489034091 0.1 1134592 378 518
1489034092 0.08 1134592 324 444
1489034093 0.08 1134592 324 444
1489034094 0.08 1134592 366 486
1489034095 0.1 1134592 378 518
1489034096 0.08 1134592 324 444
1489034097 0.1 1134592 378 518
1489034098 0.08 1134592 324 444
1489034099 0.1 1134592 378 518
1489034100 0.09 1134592 378 518
1489034101 0.09 1134592 378 518
1489034102 0.09 1134592 378 518
1489034103 0.08 1134592 324 444
1489034104 0.08 1134592 324 444
1489034105 0.1 1134592 378 518
1489034106 0.1 1134592 378 518
1489034107 0.08 1134592 324 444
1489034108 0.08 1134592 378 518
1489034109 0.08 1134592 324 444
1489034110 0.07 1134592 324 444
1489034111 0.1 1134592 378 518
1489034112 0.09 1134592 378 518
1489034113 0.08 1134592 324 444
1489034114 0.08 1134592 324 444
1489034115 0.09 1134592 378 518
1489034116 0.1 1134592 378 518
1489034117 0.08 1134592 324 444
1489034118 0.1 1134592 432 592
1489034119 0.08 1134592 324 444
1489034120 0.1 1134592 378 518
1489034121 0.08 1134592 324 444
1489034122 0.12 1134592 432 592
1489034123 0.08 1134592 324 444
1489034124 0.09 1134592 324 444
1489034125 0.08 1134592 324 444
1489034126 0.09 1134592 420 560
1489034127 0.08 1134592 324 444
1489034128 0.1 1134592 378 518
1489034129 0.08 1134592 324 444
1489034130 0.1 1134592 432 592
1489034131 0.1 1134592 324 444
1489034132 0.09 1134592 378 518
1489034133 0.08 1134592 324 444
1489034134 0.09 1134592 378 518
1489034135 0.06 1134592 270 370
1489034136 0.12 1134592 378 518
1489034137 0.08 1134592 324 444
1489034138 0.09 1134592 378 518
1489034139 0.1 1134592 378 518
1489034140 0.08 1134592 324 444
1489034141 0.09 1134592 378 518
1489034142 0.09 1134592 378 518
1489034143 0.08 1134592 324 444
1489034144 0.11 1134592 432 592
1489034145 0.1 1134592 378 518
1489034146 0.12 1134592 432 592
1489034147 0.08 1134592 324 444
1489034148 0.08 1134592 324 444
1489034149 0.08 1134592 324 444
1489034150 0.1 1134592 378 518
1489034151 0.1 1134592 378 518
1489034152 0.09 1134592 324 444
1489034153 0.08 1134592 378 518
1489034154 0.09 1134592 378 518
1489034155 0.1 1134592 378 518
1489034156 0.09 1134592 378 518
1489034157 0.12 1134592 378 518
1489034158 0.1 1134592 474 634
1489034159 0.08 1134592 324 444
1489034160 0.1 1134592 378 518
1489034161 0.06 1134592 270 370
1489034162 0.09 1134592 378 518
1489034163 0.09 1134592 378 518
1489034164 0.08 1134592 324 444
1489034165 0.09 1134592 378 518
1489034166 0.11 1134592 432 592
1489034167 0.06 1134592 270 370
1489034168 0.09 1134592 378 518
1489034169 0.08 1134592 324 444
1489034170 0.09 1134592 378 518
1489034171 0.08 1134592 324 444
1489034172 0.09 1134592 378 518
1489034173 0.08 1134592 324 444
1489034174 0.1 1134592 378 518
1489034175 0.08 1134592 324 444
1489034176 0.09 1134592 378 518
1489034177 0.09 1134592 378 518
1489034178 0.11 1134592 432 592
1489034179 0.08 1134592 324 444
1489034180 0.1 1134592 378 518
1489034181 0.08 1134592 324 444
1489034182 0.09 1134592 378 518
1489034183 0.08 1134592 324 444
1489034184 0.08 1134592 324 444
1489034185 0.12 1134592 432 592
1489034186 0.09 1134592 432 592
1489034187 0.1 1134592 324 444
1489034188 0.08 1134592 324 444
1489034189 0.09 1134592 324 444
1489034190 0.09 1134592 420 560
1489034191 0.1 1134592 378 518
1489034192 0.09 1134592 378 518
1489034193 0.1 1134592 378 518
1489034194 0.1 1134592 432 592
1489034195 0.09 1134592 324 444
1489034196 0.09 1134592 324 444
1489034197 0.08 1134592 324 444
1489034198 0.07 1134592 324 444
1489034199 0.08 1134592 324 444
1489034200 0.09 1134592 324 444
1489034201 0.09 1134592 378 518
1489034202 0.11 1134592 432 592
1489034203 0.08 1134592 324 444
1489034204 0.09 1134592 378 518
1489034205 0.08 1134592 324 444
1489034206 0.09 1134592 378 518
1489034207 0.08 1134592 324 444
1489034208 0.09 1134592 378 518
1489034209 0.07 1134592 324 444
1489034210 0.1 1134592 378 518
1489034211 0.08 1134592 324 444
1489034212 0.08 1134592 324 444
1489034213 0.11 1134592 378 518
1489034214 0.11 1134592 378 518
1489034215 0.08 1134592 324 444
1489034216 0.1 1134592 378 518
1489034217 0.08 1134592 324 444
1489034218 0.1 1134592 378 518
1489034219 0.08 1134592 324 444
1489034220 0.08 1134592 324 444
1489034221 0.11 1134592 474 634
1489034222 0.1 1134592 378 518
1489034223 0.08 1134592 324 444
1489034224 0.09 1134592 378 518
1489034225 0.09 1134592 324 444
1489034226 0.07 1134592 270 370
1489034227 0.08 1134592 378 518
1489034228 0.1 1134592 378 518
1489034229 0.1 1134592 378 518
1489034230 0.09 1134592 378 518
1489034231 0.08 1134592 324 444
1489034232 0.07 1134592 324 444
1489034233 0.1 1134592 378 518
1489034234 0.09 1134592 378 518
1489034235 0.08 1134592 324 444
1489034236 0.11 1134592 432 592
1489034237 0.08 1134592 324 444
1489034238 0.11 1134592 378 518
1489034239 0.1 1134592 378 518
1489034240 0.11 1134592 432 592
1489034241 0.08 1134592 324 444
1489034242 0.08 1134592 324 444
1489034243 0.07 1134592 324 444
1489034244 0.09 1134592 378 518
1489034245 0.1 1134592 378 518
1489034246 0.08 1134592 324 444
1489034247 0.09 1134592 378 518
1489034248 0.09 1134592 378 518
1489034249 0.07 1134592 324 444
1489034250 0.08 1134592 324 444
1489034251 0.08 1134592 324 444
1489034252 0.11 1134592 432 592
1489034253 0.08 1134592 366 486
1489034254 0.08 1134592 324 444
1489034255 0.08 1134592 324 444
1489034256 0.1 1134592 378 518
1489034257 0.08 1134592 324 444
1489034258 0.09 1134592 324 444
1489034259 0.1 1134592 378 518
1489034260 0.08 1134592 324 444
1489034261 0.08 1134592 324 444
1489034262 0.11 1134592 432 592
1489034263 0.1 1134592 378 518
1489034264 0.09 1134592 378 518
1489034265 0.08 1134592 324 444
1489034266 0.1 1134592 378 518
1489034267 0.09 1134592 378 518
1489034268 0.08 1134592 324 444
1489034269 0.08 1134592 324 444
1489034270 0.1 1134592 432 592
1489034271 0.09 1134592 324 444
1489034272 0.1 1134592 378 518
1489034273 0.09 1134592 378 518
1489034274 0.1 1134592 378 518
1489034275 0.08 1134592 324 444
1489034276 0.1 1134592 378 518
1489034277 0.09 1134592 378 518
1489034278 0.08 1134592 324 444
1489034279 0.08 1134592 324 444
1489034280 0.08 1134592 324 444
1489034281 0.08 1134592 324 444
1489034282 0.1 1134592 378 518
1489034283 0.09 1134592 378 518
1489034284 0.09 1134592 378 518
1489034285 0.08 1134592 366 486
1489034286 0.09 1134592 378 518
1489034287 0.08 1134592 324 444
1489034288 0.11 1134592 432 592
1489034289 0.1 1134592 378 518
1489034290 0.09 1134592 324 444
1489034291 0.09 1134592 378 518
1489034292 0.07 1134592 324 444
1489034293 0.1 1134592 378 518
1489034294 0.09 1134592 378 518
1489034295 0.09 1134592 378 518
1489034296 0.08 1134592 324 444
1489034297 0.09 1134592 378 518
1489034298 0.09 1134592 378 518
1489034299 0.09 1134592 378 518
1489034300 0.09 1134592 324 444
1489034301 0.09 1134592 378 518
1489034302 0.07 1134592 324 444
1489034303 0.07 1134592 324 444
1489034304 0.07 1134592 324 444
1489034305 0.1 1134592 432 592
1489034306 0.1 1134592 378 518
1489034307 0.08 1134592 324 444
1489034308 0.09 1134592 378 518
1489034309 0.09 1134592 378 518
1489034310 0.09 1134592 378 518
1489034311 0.08 1134592 324 444
1489034312 0.09 1134592 378 518
1489034313 0.1 1134592 378 518
1489034314 0.09 1134592 324 444
1489034315 0.09 1134592 378 518
1489034316 0.09 1134592 378 518
1489034317 0.11 1134592 474 634
1489034318 0.08 1134592 324 444
1489034319 0.09 1134592 378 518
1489034320 0.07 1134592 324 444
1489034321 0.08 1134592 324 444
1489034322 0.08 1134592 324 444
1489034323 0.09 1134592 324 444
1489034324 0.1 1134592 378 518
1489034325 0.09 1134592 378 518
1489034326 0.1 1134592 378 518
1489034327 0.09 1134592 378 518
1489034328 0.08 1134592 324 444
1489034329 0.09 1134592 378 518
