#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1489068530 0.0 4448256 6622 277548
1489068531 39.89 4308992 20950 6156573
1489068532 26.34 4308992 11652 5477620
1489068533 26.01 4308992 10172 4897678
1489068534 34.05 4440064 12170 5606368
1489068535 10.78 4325376 6070 2577700
1489068536 12.02 4325376 5386 2384780
1489068537 20.83 4325376 8976 4382038
1489068538 22.32 4325376 9904 4833072
1489068539 21.94 4325376 9306 4510872
1489068540 23.06 4456448 9512 4575462
1489068541 23.76 4456448 9636 4704168
1489068542 22.39 4329472 9636 4704164
1489068543 37.03 4329472 13200 6139292
1489068544 15.63 4329472 6142 2844322
1489068545 25.49 4329472 10560 5155136
1489068546 20.87 4329472 8052 3930868
1489068547 32.75 4329472 11220 5477332
1489068548 19.17 4329472 7392 3609200
1489068549 23.39 4329472 9900 4833068
1489068550 22.94 4329472 9372 4575132
1489068551 20.06 4329472 8052 3930868
1489068552 25.88 4329472 9900 4833068
1489068553 24.57 4329472 8844 4317452
1489068554 34.4 4329472 12936 5825952
1489068555 21.82 4329472 8844 4317584
1489068556 27.89 4329472 8580 4188680
1489068557 38.04 4329472 9504 4639974
1489068558 27.66 4329472 10692 5219652
1489068559 22.77 4329472 9372 4575132
1489068560 27.98 4329472 11484 5606430
1489068561 20.41 4329472 8226 3995364
1489068562 15.12 4329472 7128 3480032
1489068563 18.77 4329472 8184 3995322
1489068564 23.29 4329472 8976 4381968
1489068565 20.14 4329472 8052 3931066
1489068566 34.11 4329472 10692 5219656
1489068567 28.94 4329472 10560 5155264
1489068568 20.28 4329472 7656 3737576
1489068569 23.43 4329472 9504 4640308
1489068570 35.91 4390912 12156 4580194
1489068571 23.07 4300800 12738 4945618
1489068572 22.04 4329472 12144 4822582
1489068573 27.82 4329472 13860 5424884
1489068574 22.42 4329472 11220 4548782
1489068575 18.02 4329472 8712 3383738
1489068576 19.44 4329472 10296 4136008
1489068577 26.95 4325376 9900 3924978
1489068578 24.79 4325376 12804 5193526
1489068579 21.44 4325376 10890 4460688
1489068580 22.99 4296704 10956 4520820
1489068581 24.27 4296704 12012 4846526
1489068582 26.52 4427776 11088 4448918
1489068583 25.21 4427776 9636 3823280
1489068584 21.04 4313088 10230 4069228
1489068585 21.34 4313088 10098 4088936
1489068586 23.89 4313088 11880 4750376
1489068587 24.47 4313088 11352 4564246
1489068588 21.39 4321280 10230 4040076
1489068589 21.05 4321280 11616 4595632
1489068590 24.57 4321280 11946 4837720
1489068591 26.48 4321280 13596 5507318
1489068592 16.88 4321280 7590 3007114
1489068593 21.6 4321280 10956 4441442
1489068594 29.03 4321280 13332 5294052
1489068595 21.45 4321280 10032 4008256
1489068596 25.42 4452352 12936 5265761
1489068597 31.33 4329472 15972 6345632
1489068598 23.0 4329472 9966 3928950
1489068599 20.02 4329472 10362 4186784
1489068600 30.16 4329472 12738 5132416
1489068601 22.89 4460544 10428 4224018
1489068602 24.81 4460544 12738 5216646
1489068603 23.62 4333568 10758 4376054
1489068604 24.8 4333568 11814 4640032
1489068605 22.73 4333568 9636 3950890
1489068606 32.73 4337664 11922 4695124
1489068607 18.45 4337664 10032 4060594
1489068608 25.04 4337664 12804 5193182
1489068609 32.82 4337664 12012 4827364
1489068610 25.99 4337664 11088 4473710
1489068611 16.42 4337664 7392 2963282
1489068612 19.82 4337664 11022 4488210
1489068613 18.69 4337664 9702 3808590
1489068614 23.54 4337664 12672 5035816
1489068615 26.92 4337664 13002 5206444
1489068616 18.44 4337664 9240 3641094
1489068617 15.19 4333568 8514 3408794
1489068618 18.36 4333568 9306 3691898
1489068619 21.04 4333568 10758 4384570
1489068620 18.14 4333568 9174 3802498
1489068621 27.53 4333568 11880 4768050
1489068622 24.17 4333568 11946 4895742
1489068623 20.8 4333568 9702 3922254
1489068624 26.46 4333568 11550 4565274
1489068625 20.54 4333568 10560 4283060
1489068626 24.0 4333568 11748 4785918
1489068627 23.43 4333568 10296 4129052
1489068628 25.05 4333568 11088 4459642
1489068629 22.14 4333568 12144 4890960
1489068630 25.33 4333568 13266 5214608
1489068631 26.26 4333568 12672 5042402
1489068632 21.61 4333568 11352 4536674
1489068633 21.74 4333568 11748 4736854
1489068634 20.73 4333568 10956 4325254
1489068635 17.29 4333568 8580 3376820
1489068636 21.26 4333568 10164 4102660
1489068637 22.75 4329472 11220 4558304
1489068638 24.84 4329472 11880 4838038
1489068639 22.88 4329472 12144 4891378
1489068640 20.31 4329472 10428 4185770
1489068641 26.73 4329472 13266 5412738
1489068642 21.65 4329472 10098 3990548
1489068643 24.78 4329472 12276 4979210
1489068644 23.73 4329472 12144 4899044
1489068645 18.57 4329472 9174 3667990
1489068646 22.33 4329472 11088 4446916
1489068647 24.06 4329472 12342 4930576
1489068648 22.39 4460544 12210 4852124
1489068649 22.92 4337664 11814 4703980
1489068650 18.05 4337664 9042 3635104
1489068651 21.95 4337664 10008 3955696
1489068652 24.55 4337664 12474 4969186
1489068653 25.36 4337664 12474 4905936
1489068654 18.15 4337664 8976 3533470
1489068655 20.23 4337664 10890 4291950
1489068656 26.62 4337664 13002 5258618
1489068657 30.69 4337664 12672 5154198
1489068658 26.59 4337664 9372 3805302
1489068659 31.19 4337664 14652 5880364
1489068660 16.1 4337664 8184 3292448
1489068661 19.08 4337664 10296 4085284
1489068662 22.9 4337664 10428 4264892
1489068663 22.02 4337664 11088 4551426
1489068664 23.35 4337664 12606 5030668
1489068665 24.05 4337664 12738 5095354
1489068666 18.47 4337664 9438 3812980
1489068667 26.68 4333568 13266 5246190
1489068668 20.01 4333568 10494 4223550
1489068669 16.21 4333568 8118 3325226
1489068670 24.12 4333568 11748 4690076
1489068671 22.82 4333568 11550 4549462
1489068672 22.74 4333568 11880 4713816
1489068673 22.59 4333568 12078 4862992
1489068674 22.98 4333568 10032 4070342
1489068675 19.67 4333568 10824 4199536
1489068676 29.0 4366336 12576 4378096
1489068677 19.77 4366336 8976 3818714
1489068678 22.65 4308992 10362 4641790
1489068679 23.86 4308992 10758 4723590
1489068680 27.04 4308992 10890 5286516
1489068681 25.76 4308992 9504 4644400
1489068682 25.32 4308992 9834 4714194
1489068683 17.75 4440064 6996 3418904
1489068684 19.79 4440064 9240 4321428
1489068685 39.44 4440064 12144 5610124
1489068686 25.21 4313088 8184 3807076
1489068687 25.62 4440064 9504 4436450
1489068688 44.43 4317184 10230 4723574
1489068689 21.74 4317184 9504 4399644
1489068690 27.84 4448256 10428 4889156
1489068691 24.44 4452352 9504 4385440
1489068692 26.52 4337664 10626 5162938
1489068693 21.94 4337664 8250 3999348
1489068694 27.21 4337664 9108 4450910
1489068695 25.41 4337664 9504 4644528
1489068696 24.86 4337664 10008 4707764
1489068697 24.1 4337664 9504 4436190
1489068698 20.58 4337664 8514 3910252
1489068699 24.0 4337664 9108 4232584
1489068700 36.02 4337664 13104 4894446
1489068701 37.99 4337664 12474 5521336
1489068702 39.31 4337664 14124 5802544
1489068703 15.12 4337664 6402 2804036
1489068704 22.01 4337664 9174 4062032
1489068705 19.55 4337664 8580 3800834
1489068706 40.98 4337664 13170 5084132
1489068707 36.13 4337664 11220 4661683
1489068708 27.57 4337664 11220 4961542
1489068709 22.69 4337664 9636 4313746
1489068710 19.05 4337664 8580 3925184
1489068711 30.23 4337664 11484 5251120
1489068712 25.8 4337664 9372 4380614
1489068713 26.18 4337664 9834 4750068
1489068714 24.12 4337664 8976 4088496
1489068715 22.19 4337664 9504 4495572
1489068716 21.08 4337664 8448 4074230
1489068717 27.41 4337664 10824 5078918
1489068718 15.58 4337664 6468 3088314
1489068719 19.18 4337664 8316 3878826
1489068720 30.83 4337664 12540 5959600
1489068721 20.14 4337664 9042 4157690
1489068722 23.89 4337664 9900 4718704
1489068723 24.96 4337664 9900 4756140
1489068724 26.31 4337664 10296 4878350
1489068725 21.64 4337664 7458 3386352
1489068726 25.52 4337664 9702 4635006
1489068727 32.18 4337664 12252 4539229
1489068728 21.27 4337664 10362 4569562
1489068729 23.64 4337664 9966 4663884
1489068730 25.04 4337664 10098 4746202
1489068731 18.07 4337664 7128 3441498
1489068732 22.57 4337664 9768 4683946
1489068733 25.84 4337664 10428 5051596
1489068734 22.8 4337664 9636 4658058
1489068735 28.64 4337664 10956 5312318
1489068736 23.14 4337664 9306 4482286
1489068737 22.94 4337664 9504 4581324
1489068738 29.12 4337664 10758 5166506
1489068739 25.48 4337664 10296 4983862
1489068740 19.22 4337664 9018 4321572
1489068741 23.31 4337664 10824 5195458
1489068742 23.36 4337664 9504 4581580
1489068743 18.74 4337664 8184 3929380
1489068744 29.5 4337664 12144 5827756
1489068745 13.05 4337664 5940 2817258
1489068746 24.21 4337664 10560 5100824
1489068747 21.35 4337664 9636 4643032
1489068748 20.67 4337664 10164 4917104
1489068749 44.54 4337664 8910 4296485
1489068750 21.68 4337664 8316 3967166
1489068751 22.63 4337664 9108 4420834
1489068752 20.8 4337664 8778 4183688
1489068753 22.3 4337664 9504 4560952
1489068754 25.21 4337664 9240 4515364
1489068755 24.35 4337664 9108 4450716
1489068756 28.78 4337664 8580 4192516
1489068757 22.48 4337664 9306 4579880
1489068758 24.93 4337664 10428 5095768
1489068759 21.76 4337664 10098 4899824
1489068760 27.14 4337664 10098 4883988
1489068761 32.92 4337664 9174 4449670
1489068762 16.03 4337664 6534 3059594
1489068763 28.91 4337664 10494 5086086
1489068764 25.7 4337664 9636 4639908
1489068765 25.68 4337664 10560 5070708
1489068766 29.27 4337664 10890 5230960
1489068767 20.38 4337664 9372 4514124
1489068768 20.67 4337664 9174 4387672
1489068769 23.46 4337664 9834 4759238
1489068770 21.49 4337664 9240 4463128
1489068771 22.91 4337664 9042 4450234
1489068772 29.13 4337664 11220 5482854
1489068773 21.66 4468736 8514 4108246
1489068774 22.02 4468736 9240 4450154
1489068775 18.77 4468736 8118 3923886
1489068776 16.46 4468736 8184 3845282
1489068777 16.95 4345856 7986 3911748
1489068778 20.59 4345856 8778 4248104
1489068779 25.6 4345856 10758 5178478
1489068780 18.27 4345856 7788 3723012
1489068781 22.62 4345856 9372 4514124
1489068782 24.29 4345856 10296 4982454
1489068783 24.36 4345856 10230 4882648
1489068784 16.53 4345856 7656 3688382
1489068785 20.04 4345856 8886 4244958
1489068786 22.98 4476928 9240 4451946
1489068787 28.92 4476928 11154 5367152
1489068788 22.07 4476928 9504 4627934
1489068789 22.8 4349952 7524 3656070
1489068790 19.06 4349952 8250 3954624
1489068791 22.43 4349952 9966 4747468
1489068792 24.2 4349952 10494 4968080
1489068793 24.58 4349952 10956 5223156
1489068794 21.56 4349952 9702 4597968
1489068795 23.22 4349952 8844 4169388
1489068796 23.97 4349952 10626 5044016
1489068797 23.99 4349952 10098 4760662
1489068798 25.91 4349952 11616 5543098
1489068799 24.0 4345856 10362 4902432
1489068800 22.67 4345856 9174 4382046
1489068801 24.17 4345856 9042 4336384
1489068802 20.22 4345856 6204 2884358
1489068803 19.34 4345856 8118 3949592
1489068804 25.06 4345856 9438 4547358
1489068805 31.74 4345856 10164 4774408
1489068806 21.84 4345856 9372 4388518
1489068807 21.45 4345856 9504 4578606
1489068808 19.7 4345856 7590 3668222
1489068809 24.06 4345856 9240 4459632
1489068810 18.53 4345856 8754 4189294
1489068811 35.77 4325376 13068 6314790
1489068812 29.77 4382720 10866 5230960
1489068813 69.63 4337664 25134 10314028
1489068814 103.86 4583424 210522 14608544
1489068815 106.48 4689920 309420 14283468
1489068816 135.25 4435968 1182588 18488573
1489068817 112.05 4427776 297522 15028611
1489068818 44.81 4325376 14337 6764702
