#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1489068206 0.0 1871872 1236 1250
1489068207 0.09 1753088 384 168
1489068208 0.11 1552384 932 250
1489068209 0.16 1552384 496 0
1489068210 38.8 2211840 1665599 994667
1489068211 69.18 2473984 3232863 1831441
1489068212 68.18 2478080 3118493 1609081
1489068213 79.5 2289664 3512296 1736961
1489068214 76.69 2449408 3398228 2151795
1489068215 86.1 2449408 3540526 2157529
1489068216 76.71 2449408 2803554 1933214
1489068217 75.37 2453504 3441620 2301081
1489068218 67.99 2453504 3131593 2152575
1489068219 100.76 2453504 2714154 1651931
1489068220 90.13 2469888 3262429 2279308
1489068221 78.71 2469888 3744053 2472787
1489068222 87.68 2469888 3543611 2446003
1489068223 76.16 2469888 3260388 2248697
1489068224 103.61 2531328 3232521 2157002
1489068225 88.3 2531328 3237143 2059628
1489068226 86.02 2531328 3487997 2193292
1489068227 90.46 2539520 3222964 2014617
1489068228 73.16 2539520 3246312 2321457
1489068229 75.67 2539520 3417260 2337113
1489068230 64.91 2539520 2913852 1989733
1489068231 82.08 2539520 3640961 2635895
1489068232 84.22 2539520 3270136 2170565
1489068233 83.15 2539520 3704516 2833477
1489068234 79.77 2539520 3238786 1937577
1489068235 80.87 2539520 3096660 2126397
1489068236 75.35 2539520 3477528 2195718
1489068237 61.71 2539520 2561884 1826441
1489068238 99.06 2539520 5058937 3176008
1489068239 66.99 2539520 2874988 2031210
1489068240 93.73 2539520 4299080 2974347
1489068241 88.48 2539520 2889466 1942856
1489068242 77.64 2539520 3471103 2519546
1489068243 80.08 2539520 3434158 2442180
1489068244 65.06 2539520 2932037 2073153
1489068245 74.09 2539520 3216480 2264165
1489068246 80.04 2539520 3491693 2562512
1489068247 67.9 2539520 2775143 2016489
1489068248 68.38 2539520 2939498 2048815
1489068249 72.87 2539520 3056846 2310037
1489068250 78.89 2539520 3505516 2484625
1489068251 82.77 2539520 3591391 2690094
1489068252 82.13 2539520 3689865 2722352
1489068253 81.14 2539520 3443283 2888712
1489068254 83.43 2539520 3506827 2645448
1489068255 63.87 2539520 2702523 2016645
1489068256 99.61 2539520 3993507 2994885
1489068257 74.0 2539520 2985400 2237115
1489068258 72.76 2539520 3071222 2241162
1489068259 75.42 2539520 3554652 2217682
1489068260 81.43 2539520 3668382 2445553
1489068261 75.84 2539520 3171839 2281280
1489068262 91.11 2670592 3748971 2740427
1489068263 75.75 2543616 3255002 2377993
1489068264 73.27 2543616 3229670 2312115
1489068265 68.07 2543616 2867701 2006088
1489068266 79.55 2543616 3370657 2343233
1489068267 70.58 2543616 2943337 2197194
1489068268 95.36 2543616 4829970 2973238
1489068269 72.15 2543616 3055470 2181598
1489068270 77.41 2543616 3358239 2387988
1489068271 77.99 2543616 3178275 2383025
1489068272 84.11 2543616 3153515 2162913
1489068273 82.3 2543616 3501149 2646304
1489068274 51.12 2543616 1954304 1570513
1489068275 94.04 2543616 4142070 2760560
1489068276 89.32 2543616 3498039 2315877
1489068277 70.6 2543616 3141460 2215425
1489068278 76.48 2543616 3372732 2629470
1489068279 88.4 2543616 3283620 1930405
1489068280 79.22 2543616 3483610 2478406
1489068281 72.56 2543616 3369522 2279323
1489068282 82.48 2547712 3900547 2732263
1489068283 62.43 2547712 2555532 1822558
1489068284 64.73 2547712 2675858 1682065
1489068285 93.52 2547712 4497736 2808287
1489068286 73.89 2547712 3173262 2220513
1489068287 68.61 2547712 2881604 1977049
1489068288 104.33 2547712 3275118 1925772
1489068289 77.35 2547712 3520755 2362915
1489068290 58.76 2547712 2519434 1638452
1489068291 76.46 2678784 3309814 2099110
1489068292 79.3 2555904 3815364 2135771
1489068293 73.5 2555904 3185615 2189490
1489068294 58.37 2555904 2393602 1744638
1489068295 85.78 2555904 4069721 2594841
1489068296 85.53 2555904 3400370 2168148
1489068297 63.32 2555904 2678944 1858062
1489068298 58.72 2555904 2369189 1724117
1489068299 93.02 2555904 4849103 2878814
1489068300 77.37 2555904 3248419 2221760
1489068301 60.78 2555904 2706953 1783129
1489068302 85.93 2555904 3959850 2634197
1489068303 83.38 2555904 3724059 2262917
1489068304 81.14 2555904 3532200 2459332
1489068305 68.07 2555904 2936743 2038729
1489068306 81.98 2555904 3826650 2637816
1489068307 68.58 2555904 3015605 2113836
1489068308 70.94 2555904 3438945 2463156
1489068309 88.19 2555904 3796005 2691857
1489068310 64.07 2555904 2995929 1856271
1489068311 75.93 2555904 3307627 2236104
1489068312 81.01 2555904 3544848 2357007
1489068313 75.54 2555904 3754023 2109722
1489068314 78.13 2555904 3579602 2176841
1489068315 86.34 2555904 3713240 2272327
1489068316 72.44 2555904 3482594 1990293
1489068317 83.78 2555904 3584120 2200511
1489068318 85.38 2555904 3807064 2536717
1489068319 77.55 2555904 3414155 2290200
1489068320 63.33 2555904 2685052 2114353
1489068321 73.82 2555904 3451238 2287382
1489068322 72.42 2555904 3106550 2238952
1489068323 72.03 2555904 3113959 2175309
1489068324 73.25 2555904 3114029 2105532
1489068325 66.8 2555904 3056702 2061082
1489068326 86.83 2555904 3815307 2724811
1489068327 84.74 2555904 4070726 2578524
1489068328 80.16 2555904 3510381 2463629
1489068329 78.07 2555904 3256490 2519866
1489068330 81.92 2555904 3514048 2554020
1489068331 76.96 2555904 3377244 2496524
1489068332 85.82 2555904 3721873 2437756
1489068333 72.34 2555904 3003840 2139103
1489068334 62.05 2555904 2633059 1929517
1489068335 96.64 2555904 4888080 3015197
1489068336 69.72 2555904 3103639 2269706
1489068337 89.29 2555904 3840124 2785696
1489068338 78.22 2555904 3029177 2273770
1489068339 85.76 2555904 3668493 2734693
1489068340 83.47 2555904 3299870 2360938
1489068341 70.51 2555904 3050277 2188560
1489068342 77.5 2555904 2919653 2103644
1489068343 63.28 2555904 2718607 1931012
1489068344 85.51 2555904 3809258 2633760
1489068345 86.72 2555904 4003235 3016449
1489068346 67.55 2555904 2768023 2193629
1489068347 77.69 2555904 3487977 2607627
1489068348 61.97 2555904 2560989 1899331
1489068349 91.59 2555904 4161006 2864241
1489068350 74.77 2555904 3372010 2329517
1489068351 74.94 2555904 3290264 2422080
1489068352 83.52 2555904 3729943 2652220
1489068353 65.64 2555904 2584796 2146806
1489068354 86.18 2555904 3511059 2523796
1489068355 83.94 2555904 3332414 2662722
1489068356 82.8 2555904 3597905 2703964
