#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1489068216 0.0 1855488 1864 1396
1489068217 0.07 1536000 6226 4632
1489068218 0.07 1474560 8608 6298
1489068219 0.1 1474560 8136 5886
1489068220 0.08 1474560 7696 5616
1489068221 0.08 1474560 8580 6210
1489068222 0.07 1474560 7808 5728
1489068223 0.1 1474560 8584 6264
1489068224 0.06 1474560 6660 4860
1489068225 0.08 1474560 8066 5886
1489068226 0.07 1474560 7618 5578
1489068227 0.08 1474560 8806 6426
1489068228 0.07 1474560 7474 5454
1489068229 0.09 1474560 8288 6048
1489068230 0.07 1474560 7548 5508
1489068231 0.1 1474560 8436 6156
1489068232 0.07 1474560 6438 4698
1489068233 0.1 1474560 7548 5508
1489068234 0.08 1474560 8880 6480
1489068235 0.06 1474560 7548 5508
1489068236 0.09 1474560 7696 5616
1489068237 0.08 1474560 7844 5724
1489068238 0.08 1474560 7400 5400
1489068239 0.08 1474560 8066 5886
1489068240 0.1 1474560 8066 5886
1489068241 0.06 1474560 7178 5238
1489068242 0.07 1474560 7474 5454
1489068243 0.1 1474560 9102 6642
1489068244 0.05 1474560 6734 4914
1489068245 0.08 1474560 8148 6048
1489068246 0.08 1474560 8064 5964
1489068247 0.07 1474560 7770 5670
1489068248 0.08 1474560 8066 5886
1489068249 0.09 1474560 8510 6210
1489068250 0.07 1474560 7104 5184
1489068251 0.09 1474560 8584 6264
1489068252 0.07 1474560 7770 5670
1489068253 0.08 1474560 8880 6480
1489068254 0.08 1474560 7918 5778
1489068255 0.07 1474560 7104 5184
1489068256 0.08 1474560 7622 5562
1489068257 0.09 1474560 8362 6102
1489068258 0.09 1474560 7664 5604
1489068259 0.08 1474560 9398 6858
1489068260 0.08 1474560 8140 5940
1489068261 0.07 1474560 7104 5184
1489068262 0.08 1474560 7918 5778
1489068263 0.07 1474560 7844 5724
1489068264 0.11 1474560 8362 6102
1489068265 0.07 1474560 8034 5874
1489068266 0.1 1474560 7474 5454
1489068267 0.09 1474560 8584 6264
1489068268 0.07 1474560 8288 6048
1489068269 0.08 1474560 7918 5778
1489068270 0.07 1474560 8436 6156
1489068271 0.09 1474560 7030 5130
1489068272 0.08 1474560 8288 6048
1489068273 0.08 1474560 8214 5994
1489068274 0.07 1474560 7326 5346
1489068275 0.09 1474560 8510 6210
1489068276 0.07 1474560 7918 5778
1489068277 0.06 1474560 8436 6156
1489068278 0.07 1474560 7844 5724
1489068279 0.09 1474560 9398 6858
1489068280 0.09 1474560 7548 5508
1489068281 0.08 1474560 8066 5886
1489068282 0.08 1474560 7104 5184
1489068283 0.08 1474560 8700 6360
1489068284 0.08 1474560 8844 6624
1489068285 0.06 1474560 7178 5238
1489068286 0.09 1474560 7770 5670
1489068287 0.07 1474560 7770 5670
1489068288 0.06 1474560 8510 6210
1489068289 0.1 1474560 7326 5346
1489068290 0.09 1474560 8436 6156
1489068291 0.07 1474560 7326 5346
1489068292 0.08 1474560 8214 5994
1489068293 0.07 1474560 7178 5238
1489068294 0.1 1474560 8140 5940
1489068295 0.12 1474560 8066 5886
1489068296 0.08 1474560 8584 6264
1489068297 0.07 1474560 7104 5184
1489068298 0.08 1474560 7770 5670
1489068299 0.08 1474560 8478 6198
1489068300 0.08 1474560 7844 5724
1489068301 0.1 1474560 9102 6642
1489068302 0.06 1474560 6512 4752
1489068303 0.12 1474560 7590 5550
1489068304 0.14 1474560 7474 5454
1489068305 0.07 1474560 8214 5994
1489068306 0.07 1474560 7178 5238
1489068307 0.07 1474560 7696 5616
1489068308 0.14 1474560 8214 5994
1489068309 0.08 1474560 6438 4698
1489068310 0.1 1474560 8732 6372
