#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1489068208 0.02 1822720 1954 1484
1489068209 0.1 1716224 508 160
1489068210 12.47 2248704 595878 83580
1489068212 50.71 2260992 2298115 324852
1489068213 26.78 2265088 1207786 174706
1489068214 30.62 2265088 1416702 201564
1489068215 23.71 2396160 1009860 140382
1489068216 26.83 2396160 1193938 201260
1489068217 25.98 2273280 1220577 161166
1489068218 29.74 2273280 1283024 162870
1489068219 29.44 2273280 1294042 152780
1489068220 29.02 2404352 1384972 167820
1489068221 28.62 2408448 1237390 133310
1489068222 31.63 2670592 1445074 203576
1489068223 30.26 2449408 1391291 186366
1489068224 27.74 2449408 1281842 162210
1489068225 28.11 2322432 1267537 152574
1489068226 30.98 2322432 1487902 174502
1489068227 27.19 2461696 1247549 163596
1489068228 27.29 2363392 1210942 197924
1489068229 27.74 2363392 1363532 189072
1489068230 27.14 2363392 1347787 168744
1489068231 29.72 2363392 1351459 166632
1489068232 32.56 2363392 1414639 184848
1489068233 25.13 2363392 1113575 162738
1489068234 31.58 2363392 1520629 263858
1489068235 27.77 2363392 1263843 203196
1489068236 33.44 2363392 1516224 192190
1489068237 16.25 2363392 667730 116208
1489068238 38.56 2363392 1822108 220166
1489068239 22.6 2363392 1075505 133698
1489068240 36.19 2363392 1726102 216668
1489068241 25.63 2363392 1189917 157384
1489068242 30.84 2363392 1517610 190070
1489068243 33.06 2363392 1449094 204920
1489068244 30.21 2363392 1280871 177786
1489068245 27.91 2363392 1319893 140274
1489068246 32.83 2363392 1590488 214160
1489068247 26.03 2363392 1117265 223392
1489068248 27.35 2363392 1263741 226222
1489068249 26.8 2363392 1246896 191514
1489068250 27.12 2363392 1264813 123072
1489068251 27.56 2363392 1257458 169222
1489068252 28.16 2363392 1343183 129218
1489068253 33.73 2625536 1529263 163538
1489068254 30.55 2625536 1388124 150924
1489068255 23.39 2625536 1042865 167894
1489068256 32.72 2625536 1639170 208690
1489068257 32.1 2625536 1423523 268000
1489068258 28.03 2625536 1179006 152970
1489068259 32.84 2379776 1110505 157342
1489068260 25.68 2379776 1152695 130472
1489068261 30.8 2379776 1368451 149340
1489068262 29.69 2379776 1401881 158588
1489068263 25.05 2379776 1147496 137262
1489068264 27.28 2379776 1281047 162078
1489068265 26.79 2379776 1272725 170312
1489068266 32.68 2379776 1583343 221560
1489068267 26.22 2379776 986833 124524
1489068268 35.87 2379776 1669605 269270
1489068269 28.27 2379776 1309517 184600
1489068270 27.25 2379776 1261102 156402
1489068271 29.23 2379776 1167393 159108
1489068272 29.09 2379776 1387035 195746
1489068273 22.3 2379776 1077732 113304
1489068274 21.99 2379776 1014443 117338
1489068275 31.86 2379776 1533373 196084
1489068276 31.67 2379776 1336585 134886
1489068277 25.64 2379776 1190632 145784
1489068278 29.79 2379776 1303950 264452
1489068279 25.75 2379776 1176482 247234
1489068280 31.27 2379776 1221229 286092
1489068281 29.26 2379776 1278485 347736
1489068282 34.73 2379776 1323118 355202
1489068283 24.81 2379776 1026443 306428
1489068284 21.11 2379776 888740 244818
1489068285 30.49 2383872 1415784 281084
1489068286 29.49 2383872 1307894 353190
1489068287 25.58 2383872 1058396 269600
1489068288 25.58 2383872 1070367 292296
1489068289 29.76 2383872 1319112 353090
1489068290 24.44 2383872 1046033 316840
1489068291 29.49 2383872 1351382 287222
1489068292 20.9 2383872 914894 182868
1489068293 29.89 2383872 1471493 285110
1489068294 22.06 2383872 806345 212114
1489068295 32.76 2383872 1304359 312830
1489068296 32.67 2383872 1536601 346548
1489068297 28.83 2383872 1068895 275994
1489068298 20.21 2383872 856472 251920
1489068299 36.33 2383872 1641928 414404
1489068300 22.05 2383872 997595 232772
1489068301 25.67 2383872 1149674 320610
1489068302 33.32 2383872 1488982 399092
1489068303 23.06 2383872 976620 226726
1489068304 29.15 2383872 1305861 289796
1489068305 27.3 2383872 1166711 313152
1489068306 26.49 2383872 1101034 297386
1489068307 24.18 2383872 1047263 290580
1489068308 26.11 2383872 1058684 251846
1489068309 28.42 2383872 1293088 292502
1489068310 24.51 2383872 984213 222798
1489068311 30.2 2383872 1305126 383648
1489068312 31.27 2383872 1453496 385892
1489068313 28.37 2383872 1276762 322202
1489068314 31.51 2383872 1423010 393020
1489068315 29.91 2383872 1425365 368064
1489068316 23.69 2383872 1036290 212370
1489068317 38.01 2383872 1481829 382790
1489068318 30.86 2383872 1368292 301932
1489068319 24.16 2383872 1016084 262406
1489068320 27.59 2383872 1304304 380612
1489068321 31.37 2383872 1282785 350392
1489068322 29.51 2383872 1106511 328696
1489068323 25.45 2383872 993873 277850
1489068324 24.47 2383872 991212 353726
1489068325 26.2 2383872 1081922 353750
1489068326 33.65 2383872 1520450 402722
1489068327 33.34 2383872 1431219 367280
1489068328 30.11 2383872 1323617 359616
1489068329 29.21 2383872 1239348 370910
1489068330 31.31 2383872 1405996 319958
1489068331 33.9 2383872 1423862 345830
1489068332 25.8 2383872 1140983 275478
1489068333 27.41 2383872 1158980 280886
1489068334 23.47 2519040 908070 223062
1489068335 34.52 2519040 1586839 312566
1489068336 30.3 2519040 1260681 330708
1489068337 28.74 2400256 1378024 324380
1489068338 34.2 2400256 1464674 351836
1489068339 30.99 2400256 1450315 339156
1489068340 31.01 2400256 1400851 368072
1489068341 31.45 2400256 1350230 411608
1489068342 26.81 2400256 1267145 346482
1489068343 27.64 2400256 1246328 307608
1489068344 32.09 2400256 1385034 328076
1489068345 32.07 2400256 1433480 369664
1489068346 36.47 2400256 1482412 405024
1489068347 29.88 2400256 1462318 298896
1489068348 26.08 2400256 1082770 285044
1489068349 33.98 2400256 1570028 319100
1489068350 31.3 2400256 1379276 384506
1489068351 24.25 2400256 998632 263256
1489068352 39.64 2678784 1770283 401622
1489068353 30.06 2588672 1233239 322994
1489068354 34.34 2461696 1560267 408324
1489068355 34.96 2461696 1582813 438214
1489068356 34.1 2461696 1365077 335996
1489068357 31.06 2461696 1371366 349922
1489068358 25.42 2461696 1158604 261276
1489068359 21.58 2461696 913450 254486
1489068360 30.6 2461696 1342483 349138
1489068361 27.48 2461696 1355054 241230
1489068362 34.04 2461696 1451772 491088
1489068363 36.36 2461696 1634304 408868
1489068364 30.57 2461696 1314479 335460
1489068365 23.75 2461696 1106074 195218
1489068366 27.78 2461696 1162601 322120
1489068367 33.83 2461696 1449464 376594
1489068368 24.38 2461696 1172899 303912
1489068369 33.56 2461696 1498850 416260
1489068370 29.39 2461696 1143219 287346
1489068371 29.08 2461696 1183337 272240
1489068372 38.27 2461696 1713941 432566
1489068373 28.78 2461696 1231986 307088
1489068374 31.07 2461696 1294559 334358
1489068375 25.75 2461696 967238 225908
1489068376 41.38 2461696 1662679 386214
1489068377 27.86 2461696 1276035 295340
1489068378 40.62 2461696 1363060 352422
1489068379 29.47 2461696 1179816 306734
1489068380 29.78 2461696 1291274 334998
1489068381 25.55 2461696 1096767 287230
1489068382 31.18 2461696 1324346 305892
1489068383 20.84 2461696 677378 216602
1489068384 40.99 2461696 1834122 329536
1489068385 30.61 2461696 1423317 264238
1489068386 27.8 2461696 1172873 303450
1489068387 32.52 2461696 1505971 305248
1489068388 28.87 2461696 1215066 346606
1489068389 20.34 2461696 793218 246566
1489068390 32.88 2461696 1481921 434666
1489068391 25.68 2461696 1052562 349658
1489068392 22.68 2461696 933811 265302
1489068393 36.95 2461696 1552803 367734
1489068394 20.98 2461696 874974 260228
1489068395 26.98 2461696 1170271 351498
1489068396 26.15 2461696 1134342 368138
