#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1489068200 0.0 1437696 90 90
1489068201 0.05 1433600 168 168
1489068202 0.09 1212416 590 160
1489068203 0.12 1212416 258 90
1489068204 0.08 1212416 160 0
1489068205 0.16 1220608 3094 2218
1489068207 0.19 1114112 1396 70
1489068208 0.1 1114112 1170 0
1489068209 0.11 1114112 418 0
1489068210 75.86 2375680 10310738 9568951
1489068212 237.06 3596288 41892645 38580075
1489068213 107.55 4075520 19803956 18831884
1489068214 135.78 3641344 20808120 20819179
1489068215 121.06 4108288 17936214 18428671
1489068216 150.32 3727360 16535534 16979582
1489068217 142.6 3973120 22030296 21709054
1489068218 144.05 3665920 19539132 20926191
1489068219 141.66 3678208 20466727 20749578
1489068220 143.4 3903488 21339212 22336555
1489068221 144.25 3866624 20496642 21165364
1489068222 121.06 3723264 17242614 18026688
1489068223 137.71 3969024 21360162 21571110
1489068224 149.49 3932160 21432750 22277709
1489068225 134.7 4124672 21280730 21593057
1489068226 142.26 3399680 22243732 23250297
1489068227 131.54 3661824 20259024 20475433
1489068228 137.65 3719168 16599476 17490972
1489068229 146.65 4124672 19073410 19787873
1489068230 157.08 3776512 22903578 23742846
1489068231 138.95 3821568 21388410 22052463
1489068232 140.8 3731456 20190998 21405108
1489068233 159.66 3526656 21763196 22787246
1489068234 123.31 3784704 18485442 18826175
1489068235 154.11 3624960 20471910 21404648
1489068236 159.9 3624960 23893054 24849151
1489068237 153.42 3608576 22567216 22817046
1489068238 147.09 3547136 19657010 20962217
1489068239 145.95 4022272 20505134 21632758
1489068240 156.03 3883008 23408344 23690642
1489068241 123.86 3801088 18533070 19100204
1489068242 140.34 3813376 21894146 22841710
1489068243 138.21 3981312 18817680 19653689
1489068244 142.41 4018176 22089470 22780666
1489068245 143.62 4317184 22558168 22230193
1489068246 113.42 4182016 13145066 14360021
1489068247 151.01 4182016 15400508 15581933
1489068248 157.49 3944448 20497652 21060208
1489068249 128.31 3895296 16442618 17304657
1489068250 148.26 3883008 20752630 21972379
1489068251 152.1 3731456 21678352 22440166
1489068252 138.53 3981312 23055302 24149532
1489068253 105.43 4288512 13543658 15255812
1489068254 152.75 3739648 21462792 22760112
1489068255 158.6 3604480 21312364 22390890
1489068256 157.97 3702784 23690946 24687630
1489068257 97.86 3833856 12771926 13293216
1489068258 155.67 3751936 22094610 23536500
1489068259 141.11 3911680 19531660 21040292
1489068260 164.1 4042752 24653980 24829290
1489068261 133.57 4042752 22299004 22423088
1489068262 97.08 4063232 11648220 12996138
1489068263 183.56 3891200 22679432 24502685
1489068264 154.26 3878912 21130243 22041486
1489068265 128.84 4272128 22176292 20940178
1489068266 124.0 4247552 20426142 20797435
1489068267 121.18 4218880 16320452 18592827
1489068268 125.64 4308992 16047660 17223519
1489068269 170.02 3899392 21320366 23385329
1489068270 138.98 3518464 18994342 20362115
1489068271 145.6 3756032 18640146 20140622
1489068272 154.12 3653632 19879892 20801361
1489068273 171.87 3719168 20818818 23131497
1489068274 159.9 3944448 22716858 23655156
1489068275 130.64 3870720 18174618 19233055
1489068276 138.28 3870720 19920514 20617901
1489068277 141.77 3764224 19881092 20738264
1489068278 139.25 3842048 21863782 22232702
1489068279 139.99 3997696 19677712 20624983
1489068280 145.72 3883008 22774358 22665428
1489068281 133.89 4165632 20861521 18898495
