#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1489068201 0.0 1277952 90 90
1489068202 0.07 1277952 418 168
1489068203 0.14 1064960 430 250
1489068204 0.17 1003520 168 0
1489068205 0.22 1318912 3248 2152
1489068206 0.14 1224704 570 0
1489068208 0.27 1187840 4042 2222
1489068209 0.16 1187840 406 0
1489068211 223.57 2283520 20701341 21374977
1489068212 151.92 2707456 16226343 14957085
1489068213 155.34 2510848 16709718 16071049
1489068214 133.76 2711552 14666072 13818512
1489068215 158.28 2711552 17693233 16777559
1489068216 130.33 2711552 12381239 11817035
1489068217 146.24 2711552 14939321 14125371
1489068218 147.85 2711552 15926559 14330302
1489068219 148.1 2686976 15822705 15746480
1489068220 142.25 2555904 15633417 15128065
1489068221 151.29 2703360 16121862 15443644
1489068222 139.19 3293184 14957029 14241279
1489068223 144.24 3141632 15926312 15214053
1489068224 149.71 3031040 15289726 15055129
1489068225 151.19 2920448 16237624 15057248
1489068226 143.75 2801664 16272469 15074713
1489068227 149.52 2805760 16341837 15187415
1489068228 169.07 3198976 14159414 13582756
1489068229 156.42 3334144 12749966 12353267
1489068230 156.38 3043328 14235010 13210054
1489068231 144.59 3043328 12829863 12578166
1489068232 156.63 3043328 14496213 14508759
1489068233 182.92 3043328 15190720 14423357
1489068234 162.15 3174400 14254431 14613965
1489068235 152.81 3596288 13861741 11895782
1489068236 155.71 3350528 14732473 15508652
1489068237 144.63 3485696 12218682 9062334
1489068238 184.3 3616768 14327611 18846962
1489068239 142.94 3489792 13978656 11196431
1489068240 172.94 3145728 14868995 16764768
1489068241 147.22 3264512 15968565 14134919
1489068242 169.46 3264512 15319201 14646229
1489068243 142.5 3395584 14765377 13936751
1489068244 140.3 3477504 15028148 12873106
1489068245 159.77 3239936 15755161 14386069
1489068246 149.54 3624960 14491308 13290796
1489068247 156.92 3506176 12424641 11476232
1489068248 141.97 3395584 14025821 13424154
1489068249 143.3 3395584 14591900 12965377
1489068250 157.07 3149824 16824115 15233465
1489068251 147.0 3149824 15189849 15313541
1489068252 153.61 3133440 16373667 14970874
1489068253 156.9 3264512 16638994 13906546
1489068254 150.24 3239936 14319902 13597068
1489068255 140.76 3145728 15125723 10626507
1489068256 164.59 3145728 14977975 15694811
1489068257 160.31 3276800 13232353 11660918
1489068258 156.69 3149824 15897219 13099517
1489068259 171.36 3084288 16351484 15377420
1489068260 154.57 3084288 15427050 15134499
1489068261 160.71 3215360 17352778 13424273
1489068262 153.61 3215360 14493270 13017848
1489068263 177.51 3215360 16214163 14608635
1489068264 145.32 3215360 13841075 11656058
1489068265 164.78 3194880 16348266 12784345
1489068266 158.79 3153920 16746256 14781871
1489068267 140.04 3809280 17387027 10707838
1489068268 190.48 3563520 16046983 19204197
1489068269 133.79 3452928 13440808 10304952
1489068270 159.49 3207168 15064281 15509437
1489068271 166.26 3432448 16130888 13150654
1489068272 163.19 3436544 15741049 14057288
1489068273 144.3 3186688 14624005 11490599
1489068274 137.32 3186688 16165229 8980628
1489068275 174.86 3186688 14588651 17353378
1489068276 154.3 3166208 13921860 13780451
1489068277 155.32 3137536 16617248 15410520
1489068278 159.88 3141632 16717883 13500557
1489068279 145.6 3317760 15631128 13425209
1489068280 154.63 3317760 14763261 14310686
1489068281 151.28 3149824 16806462 15875866
1489068282 145.65 3149824 17445373 15621571
1489068283 146.47 3149824 16520253 11276125
1489068284 146.88 3153920 13463468 9341243
1489068285 167.12 3137536 14836046 18531860
1489068286 154.47 3248128 15857470 14030962
1489068287 157.36 3248128 17063902 12367003
1489068288 136.24 3379200 14051233 14490133
1489068289 164.63 3170304 16445964 13712665
1489068290 148.85 3301376 14808847 11154470
1489068291 153.24 3194880 16368031 14255562
1489068292 158.65 3325952 15565083 13795329
1489068293 168.01 3325952 16200840 16069575
1489068294 141.57 3457024 16817086 8822097
1489068295 159.94 3330048 13946748 14511394
1489068296 178.0 3289088 14316860 17364692
1489068297 156.52 3420160 16890293 11109311
1489068298 142.71 3178496 15122767 8563529
1489068299 181.75 3571712 13829452 19681580
1489068300 153.1 3530752 15732998 14348099
1489068301 139.84 3559424 15984563 10366630
1489068302 160.22 3432448 15351735 15217915
1489068303 148.59 3432448 14930202 13678293
1489068304 155.21 3432448 15569027 14163324
1489068305 161.36 3334144 15904053 13614422
1489068306 167.54 3207168 17114097 14362936
1489068307 154.73 3207168 15623074 12866146
1489068308 167.64 3207168 17164449 14617310
1489068309 150.71 3207168 15701702 13789698
1489068310 165.6 3338240 18242721 14840986
1489068311 133.94 3284992 14875054 11415557
1489068312 154.71 3158016 16669249 14154899
1489068313 162.3 3158016 18075355 15803509
1489068314 155.44 3158016 16727604 14668483
1489068315 134.47 3289088 16274813 12939084
1489068316 152.34 3551232 18427796 13570631
1489068317 153.92 3457024 17244539 16136859
1489068318 148.96 3346432 17295154 15622925
1489068319 151.64 3231744 15613436 14972765
1489068320 144.69 3887104 14090082 11347860
1489068321 153.38 3723264 17095257 15759665
1489068322 136.95 3592192 12900954 12942663
1489068323 144.67 3354624 14547262 14379604
1489068324 140.45 3354624 13725313 13542769
1489068325 152.64 2977792 15230011 15285931
1489068326 147.83 3215360 16381947 14707523
1489068327 165.08 3149824 17528323 17464028
1489068328 149.0 3354624 17017715 15314510
1489068329 164.76 3485696 15795759 11932873
1489068330 151.05 3256320 14149879 14007386
1489068331 150.93 3121152 16637977 14781618
1489068332 174.34 3190784 16637848 15011099
1489068333 151.6 3321856 16656457 11089116
1489068334 147.13 3321856 15776194 9743386
1489068335 174.77 3321856 13949161 19469574
1489068336 150.3 3219456 15986601 15049347
1489068337 150.08 3219456 16077328 13926657
1489068338 156.33 3293184 18792026 14821356
1489068339 154.93 3293184 17230488 14321355
1489068340 170.18 3313664 16080127 14222627
1489068341 168.34 3305472 15154108 12351678
1489068342 128.94 3129344 14104915 11737706
1489068343 150.42 3362816 18025847 11197321
1489068344 173.26 3440640 15276984 16119997
