#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1489068521 0.0 1445888 90 180
1489068522 0.08 1359872 508 78
1489068523 0.14 1298432 202 160
1489068524 0.09 1015808 660 90
1489068525 0.11 1015808 658 0
1489068526 0.1 1015808 906 0
1489068527 0.2 1216512 3478 2222
1489068528 0.1 1110016 680 0
1489068529 0.07 1110016 342 0
1489068530 0.09 1110016 238 0
1489068531 0.09 1110016 670 70
1489068532 0.04 1110016 230 0
1489068533 0.07 1110016 320 0
1489068534 0.06 1110016 364 42
1489068535 0.05 1241088 1132 686
1489068536 0.09 1134592 464 444
1489068537 0.11 1134592 502 592
1489068538 0.06 1134592 270 370
1489068539 0.11 1134592 502 592
1489068540 0.1 1134592 378 518
1489068541 0.09 1134592 448 518
1489068542 0.09 1134592 378 518
1489068543 0.08 1134592 324 444
1489068544 0.1 1134592 432 592
1489068545 0.08 1134592 378 518
1489068546 0.06 1134592 270 370
1489068547 0.09 1134592 378 518
1489068548 0.08 1134592 324 444
1489068549 0.09 1134592 378 518
1489068550 0.08 1134592 324 444
1489068551 0.07 1134592 324 444
1489068552 0.07 1134592 324 444
1489068553 0.11 1134592 432 592
1489068554 0.08 1134592 324 444
1489068555 0.08 1134592 378 518
1489068556 0.09 1134592 378 518
1489068557 0.08 1134592 324 444
1489068558 0.09 1134592 378 518
1489068559 0.1 1134592 378 518
1489068560 0.08 1134592 324 444
1489068561 0.09 1134592 378 518
1489068562 0.09 1134592 420 560
1489068563 0.08 1134592 378 518
1489068564 0.08 1134592 378 518
1489068565 0.07 1134592 324 444
1489068566 0.09 1134592 378 518
1489068567 0.09 1134592 432 592
1489068568 0.09 1134592 378 518
1489068569 0.08 1134592 378 518
1489068570 0.08 1134592 378 518
1489068571 0.07 1134592 270 370
1489068572 0.09 1134592 378 518
1489068573 0.09 1134592 432 592
1489068574 0.08 1134592 324 444
1489068575 0.09 1134592 378 518
1489068576 0.08 1134592 324 444
1489068577 0.1 1134592 432 592
1489068578 0.09 1134592 378 518
1489068579 0.07 1134592 324 444
1489068580 0.09 1134592 378 518
1489068581 0.09 1134592 378 518
1489068582 0.1 1134592 378 518
1489068583 0.08 1134592 324 518
1489068584 0.09 1134592 378 444
1489068585 0.09 1134592 378 518
1489068586 0.07 1134592 324 444
1489068587 0.08 1134592 324 444
1489068588 0.1 1134592 432 592
1489068589 0.08 1134592 366 486
1489068590 0.09 1134592 378 518
1489068591 0.09 1134592 378 518
1489068592 0.09 1134592 378 518
1489068593 0.09 1134592 378 518
1489068594 0.08 1134592 378 518
1489068595 0.08 1134592 324 444
1489068596 0.09 1134592 378 518
1489068597 0.09 1134592 378 518
1489068598 0.08 1134592 324 444
1489068599 0.09 1134592 378 518
1489068600 0.08 1134592 324 444
1489068601 0.09 1134592 378 518
1489068602 0.1 1134592 432 592
1489068603 0.09 1134592 378 518
1489068604 0.1 1134592 378 518
1489068605 0.07 1134592 324 444
1489068606 0.09 1134592 378 518
1489068607 0.08 1134592 324 444
1489068608 0.11 1134592 432 592
1489068609 0.1 1134592 378 518
1489068610 0.08 1134592 324 444
1489068611 0.09 1134592 378 518
1489068612 0.08 1134592 324 444
1489068613 0.09 1134592 378 518
1489068614 0.09 1134592 378 518
1489068615 0.07 1134592 366 486
1489068616 0.08 1134592 378 518
1489068617 0.09 1134592 378 518
1489068618 0.09 1134592 378 518
1489068619 0.07 1134592 324 444
1489068620 0.09 1134592 378 518
1489068621 0.08 1134592 324 444
1489068622 0.09 1134592 378 518
1489068623 0.11 1134592 432 592
1489068624 0.08 1134592 324 444
1489068625 0.06 1134592 270 370
1489068626 0.07 1134592 324 444
1489068627 0.09 1134592 378 518
1489068628 0.08 1134592 324 444
1489068629 0.08 1134592 378 518
1489068630 0.08 1134592 324 444
1489068631 0.07 1134592 324 444
1489068632 0.1 1134592 378 518
1489068633 0.08 1134592 324 444
1489068634 0.09 1134592 378 518
1489068635 0.07 1134592 324 444
1489068636 0.09 1134592 378 518
1489068637 0.07 1134592 324 444
1489068638 0.09 1134592 378 518
1489068639 0.09 1134592 378 518
1489068640 0.09 1134592 324 444
1489068641 0.07 1134592 324 444
1489068642 0.11 1134592 474 634
1489068643 0.08 1134592 324 444
1489068644 0.09 1134592 378 518
1489068645 0.08 1134592 324 444
1489068646 0.08 1134592 378 518
1489068647 0.08 1134592 324 444
1489068648 0.09 1134592 378 518
1489068649 0.08 1134592 324 444
1489068650 0.07 1134592 324 444
1489068651 0.09 1134592 378 518
1489068652 0.08 1134592 324 444
1489068653 0.09 1134592 378 518
1489068654 0.08 1134592 324 444
1489068655 0.09 1134592 378 518
1489068656 0.09 1134592 378 518
1489068657 0.09 1134592 378 518
1489068658 0.1 1134592 378 518
1489068659 0.09 1134592 378 518
1489068660 0.07 1134592 324 444
1489068661 0.09 1134592 378 518
1489068662 0.09 1134592 324 444
1489068663 0.09 1134592 378 518
1489068664 0.09 1134592 378 518
1489068665 0.07 1134592 270 370
1489068666 0.09 1134592 378 518
1489068667 0.08 1134592 324 444
1489068668 0.08 1134592 324 444
1489068669 0.08 1134592 420 560
1489068670 0.09 1134592 378 518
1489068671 0.09 1134592 378 518
1489068672 0.09 1134592 378 518
1489068673 0.09 1134592 378 518
1489068674 0.08 1134592 324 444
1489068675 0.08 1134592 270 370
1489068676 0.09 1134592 378 518
1489068677 0.08 1134592 324 444
1489068678 0.09 1134592 378 518
1489068679 0.09 1134592 378 518
1489068680 0.08 1134592 324 444
1489068681 0.1 1134592 378 518
1489068682 0.09 1134592 378 518
1489068683 0.08 1134592 324 444
1489068684 0.1 1134592 432 592
1489068685 0.09 1134592 378 518
1489068686 0.09 1134592 378 518
1489068687 0.09 1134592 378 518
1489068688 0.08 1134592 324 444
1489068689 0.07 1134592 324 444
1489068690 0.08 1134592 378 518
1489068691 0.1 1134592 378 518
1489068692 0.07 1134592 324 444
1489068693 0.08 1134592 378 518
1489068694 0.08 1134592 378 518
1489068695 0.1 1134592 420 560
