#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1488779744 1.52 1951744 8182 763567
1488779745 9.16 1753088 6260 2558731
1488779746 4.02 1884160 5250 1521502
1488779747 5.42 1892352 4664 1318390
1488779748 3.57 1777664 3592 1133110
1488779749 5.34 1777664 4254 1203434
1488779750 4.84 1908736 4506 1274350
1488779751 4.26 1781760 3630 1147930
1488779752 4.97 1794048 3898 1210892
1488779753 5.3 1794048 4224 1321196
1488779754 4.27 1794048 4162 1271200
1488779755 3.82 1794048 3894 1219194
1488779756 3.02 1794048 3964 1173262
1488779757 3.08 1794048 3894 1227300
1488779758 2.57 1794048 3564 1101744
1488779759 3.42 1794048 4092 1222868
1488779760 4.36 1794048 3696 1206992
1488779761 2.65 1794048 3894 1220582
1488779762 2.79 1794048 3564 1105364
1488779763 2.94 1794048 3630 1171474
1488779764 3.17 1794048 3894 1231300
1488779765 2.88 1794048 3696 1171828
1488779766 3.19 1794048 3564 1102874
1488779767 3.34 1794048 3762 1194686
1488779768 2.48 1794048 3630 1104666
1488779769 2.72 1794048 3564 1105244
1488779770 3.21 1794048 4158 1296854
1488779771 3.18 1794048 3762 1123238
1488779772 2.77 1794048 3564 1104438
1488779773 3.05 1794048 3828 1161738
1488779774 3.57 1794048 4158 1280926
1488779775 3.18 1794048 3300 1064430
1488779776 2.94 1794048 3366 1090896
1488779777 3.49 1794048 4356 1289748
1488779778 2.81 1794048 3234 1034312
1488779779 2.91 1794048 3696 1156810
1488779780 3.05 1794048 3960 1238658
1488779781 2.96 1794048 3762 1156248
1488779782 2.63 1794048 3366 1053464
1488779783 3.2 1794048 3630 1157924
1488779784 3.53 1794048 3960 1233912
1488779785 2.95 1794048 3762 1183960
1488779786 2.74 1794048 3432 1104312
1488779787 3.64 1794048 3960 1171702
1488779788 2.63 1794048 3366 988136
1488779789 3.29 1794048 4158 1228682
1488779790 3.31 1794048 4158 1296240
1488779791 3.26 1794048 2904 930796
1488779792 3.52 1794048 3828 1183378
1488779793 2.83 1794048 3762 1199836
1488779794 2.5 1794048 3366 997060
1488779795 2.97 1794048 3894 1233476
1488779796 3.0 1794048 3762 1178202
1488779797 3.25 1794048 3960 1231326
1488779798 2.67 1794048 3432 1077680
1488779799 3.53 1794048 4422 1351080
1488779800 2.65 1794048 3300 1047980
1488779801 3.24 1794048 2970 935252
1488779802 3.18 1794048 4092 1292722
1488779803 2.73 1794048 3234 971378
1488779804 2.64 1794048 3696 1122442
1488779805 2.85 1794048 3564 1122078
1488779806 3.94 1794048 3762 1156848
1488779807 4.79 1794048 3564 1104806
1488779808 4.11 1794048 3696 1148710
1488779809 3.96 1794048 3366 1060956
1488779810 4.47 1794048 3234 1028380
1488779811 5.46 1794048 4356 1385074
1488779812 4.42 1794048 3102 965936
1488779813 4.15 1794048 3828 1160754
1488779814 4.43 1794048 3300 1032880
1488779815 3.82 1794048 3432 1079036
1488779816 2.74 1794048 3234 1032766
1488779817 2.81 1794048 3696 1099728
1488779818 3.04 1794048 3696 1171650
1488779819 2.72 1794048 3300 1039938
1488779820 3.29 1794048 3762 1158662
1488779821 2.37 1794048 3564 1030984
1488779822 3.06 1794048 3762 1171692
1488779823 2.84 1794048 3630 1154826
1488779824 2.77 1794048 3366 1047426
1488779825 3.0 1794048 4026 1299458
1488779826 2.99 1794048 3432 1107622
1488779827 3.39 1794048 3300 1053470
1488779828 2.92 1794048 3762 1176272
1488779829 2.46 1794048 3168 977010
1488779830 3.73 1794048 3696 1166258
1488779831 2.36 1794048 2904 926296
1488779832 3.02 1794048 3630 1126846
1488779833 3.41 1794048 3696 1152126
1488779834 4.08 1794048 3498 1107458
1488779835 2.64 1794048 3300 1043820
1488779836 3.0 1794048 3762 1178806
1488779837 2.86 1794048 2970 927576
1488779838 3.35 1794048 3630 1153168
1488779839 5.17 1794048 3630 1097970
1488779840 2.3 1794048 3168 973184
1488779841 2.8 1794048 3762 1155948
1488779842 2.54 1794048 3630 1058028
1488779843 2.61 1794048 3234 1033558
1488779844 2.66 1794048 3366 1052230
1488779845 3.17 1794048 3894 1176568
1488779846 2.92 1794048 3894 1234186
1488779847 2.7 1794048 3498 1105262
1488779848 3.69 1794048 3234 1030998
1488779849 4.03 1794048 3696 1127244
1488779850 2.7 1794048 3498 1115002
1488779851 3.2 1794048 4158 1246008
1488779852 3.42 1794048 3828 1179156
1488779853 3.16 1794048 3366 1071056
1488779854 2.81 1794048 3630 1107442
1488779855 3.85 1794048 3564 1104930
1488779856 3.27 1794048 4092 1308442
1488779857 2.46 1794048 3036 921700
1488779858 2.83 1794048 3696 1129890
1488779859 2.92 1794048 3630 1107652
1488779860 3.03 1794048 3828 1224722
1488779861 3.87 1794048 3366 1050530
1488779862 3.34 1794048 3498 1122336
1488779863 2.84 1794048 3630 1102892
1488779864 3.68 1794048 3630 1170584
1488779865 2.86 1794048 3498 1110670
1488779866 3.2 1794048 3102 979604
1488779867 3.64 1794048 3102 955098
1488779868 3.34 1794048 3762 1223902
1488779869 3.82 1794048 3300 1061636
1488779870 3.3 1794048 3432 1082664
1488779871 4.16 1794048 4158 1216222
1488779872 2.88 1794048 3564 1029018
1488779873 3.53 1794048 3300 1032998
1488779874 4.57 1794048 3696 1204058
1488779875 5.46 1794048 3564 1063130
1488779876 3.63 1794048 3498 1115586
1488779877 3.65 1794048 3366 1028104
1488779878 2.82 1794048 3762 1157876
1488779879 3.11 1794048 3696 1120388
1488779880 2.85 1794048 3762 1155254
1488779881 3.31 1794048 3828 1171658
1488779882 4.87 1794048 3498 1085282
1488779883 2.7 1794048 3366 1048892
1488779884 2.81 1794048 3696 1104342
1488779885 2.72 1794048 3432 1101644
1488779886 2.9 1794048 3696 1109918
1488779887 2.39 1794048 3498 1105240
1488779888 3.26 1794048 4026 1244286
1488779889 2.22 1794048 3036 911474
1488779890 3.46 1794048 3498 1121246
1488779891 4.53 1794048 3960 1232162
1488779892 4.43 1794048 3630 1171526
1488779893 3.78 1794048 3234 1055792
1488779894 2.45 1794048 3366 984038
1488779895 2.91 1794048 3696 1172950
1488779896 2.76 1794048 3564 1101230
1488779897 2.46 1794048 3234 1054906
1488779898 3.01 1794048 3630 1106270
1488779899 2.75 1794048 3630 1178242
1488779900 2.97 1794048 3828 1168902
1488779901 3.09 1794048 4026 1208906
1488779902 3.32 1794048 3366 1051788
1488779903 2.36 1794048 3300 1078874
1488779904 2.94 1794048 3630 1101948
1488779905 2.89 1794048 3498 1117670
1488779906 3.36 1794048 3564 1097548
1488779907 3.59 1794048 3366 1052662
1488779908 2.81 1794048 3762 1156852
1488779909 2.28 1794048 3234 996660
1488779910 2.82 1794048 3630 1102036
1488779911 4.3 1794048 3498 1123544
1488779912 4.64 1794048 4026 1223910
1488779913 3.67 1794048 3762 1170906
1488779914 2.61 1794048 3366 993588
1488779915 3.32 1794048 4224 1292096
1488779916 3.25 1794048 3696 1126058
1488779917 3.45 1794048 3762 1195978
1488779918 3.83 1794048 3894 1178430
1488779919 3.82 1794048 3894 1126758
1488779920 2.9 1794048 3894 1172266
1488779921 2.69 1794048 3366 1050776
1488779922 2.77 1794048 3498 1052870
1488779923 2.88 1794048 3564 1056360
1488779924 3.17 1794048 3762 1179808
1488779925 2.26 1794048 2838 932648
1488779926 2.88 1794048 3630 1106804
1488779927 2.97 1794048 3828 1241706
1488779928 2.86 1794048 3630 1102144
1488779929 2.65 1794048 3432 1056338
1488779930 4.11 1794048 3498 1106852
1488779931 4.08 1794048 4356 1370028
1488779932 2.2 1794048 3036 978444
1488779933 3.66 1794048 3696 1109584
1488779934 3.94 1794048 3696 1140472
1488779935 4.65 1794048 3366 1065752
1488779936 3.93 1794048 3234 1027812
