#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1488779738 0.01 2707456 664 258
1488779741 151.01 282914816 2776 1410
1488779742 0.1 285011968 550 0
1488779743 45.97 285773824 281072 63112
1488779744 100.83 286101504 646817 186935
1488779745 106.17 286232576 1006406 750627
1488779746 147.64 285851648 1826358 1299480
1488779747 67.15 285851648 867812 634546
1488779748 102.19 285851648 1358016 935558
1488779749 113.12 285974528 1474302 812310
1488779750 102.37 285851648 1271692 698836
1488779751 111.93 285851648 1426632 687960
1488779752 110.95 285851648 1407613 841506
1488779753 102.21 285851648 1369241 910616
1488779754 112.51 286105600 1479878 608625
1488779755 111.08 286105600 1388051 846090
1488779756 110.65 285851648 1364660 806927
1488779757 85.38 286105600 1278210 910314
1488779758 106.46 286232576 1472126 1073840
1488779759 101.38 285978624 1408639 1052869
1488779760 103.96 285851648 1448547 1109867
1488779761 96.84 285978624 1343872 936963
1488779762 93.27 285851648 1246068 860340
1488779763 113.35 285851648 1334760 720767
1488779764 101.31 286101504 1135588 430026
1488779765 110.54 285851648 1281529 681828
1488779766 106.96 285982720 1348518 995641
1488779767 99.22 286101504 1292507 947951
1488779768 96.84 286121984 1405934 1058097
1488779769 98.23 285995008 1344804 962860
1488779770 99.96 286113792 1344063 946356
1488779771 107.61 285995008 1450507 1070649
1488779772 94.69 285868032 1350702 989090
1488779773 93.57 285868032 1284854 927979
1488779774 108.11 286121984 1438952 1091706
1488779775 88.47 285868032 1209774 890254
1488779776 95.5 285868032 1383119 996752
1488779777 103.08 285868032 1391497 1048905
1488779778 99.04 285995008 1345218 914963
1488779779 94.84 285868032 1347252 932047
1488779780 97.22 285868032 1355653 988373
1488779781 101.86 285868032 1433095 1084054
1488779782 100.84 285995008 1304183 987044
1488779783 102.1 285995008 1380109 1028405
1488779784 106.18 286121984 1437669 1032886
1488779785 95.49 285995008 1313641 964410
1488779786 91.52 285995008 1261559 926693
1488779787 95.69 286117888 1288291 887484
1488779788 106.07 286117888 1462051 1092929
1488779789 93.73 286244864 1326049 954512
