#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1488779736 0.01 2719744 488 258
1488779737 52.63 282296320 308 160
1488779738 73.73 283021312 1890 1250
1488779740 0.24 285118464 1018 0
1488779741 0.12 285118464 900 70
1488779742 0.12 285118464 410 0
1488779743 55.6 286027776 1530287 665435
1488779744 119.72 285913088 1970954 1384712
1488779745 120.32 286040064 1583358 1192978
1488779746 104.33 286056448 1558126 1137293
1488779747 112.38 285929472 1695664 1262924
1488779748 113.9 285929472 1613788 1229753
1488779749 143.41 285929472 2214956 1607585
1488779750 78.32 286183424 1098914 836613
1488779751 116.28 286183424 1870908 1349585
1488779752 121.9 286183424 1921070 1436924
1488779753 112.72 286289920 1669470 1245607
1488779754 114.25 286175232 1913964 1330171
1488779755 115.53 286056448 1734252 1264538
1488779756 109.74 286179328 1635572 1177581
1488779757 102.51 286179328 1439506 1057813
1488779758 115.11 285929472 1853420 1296868
1488779759 108.57 286056448 1633622 1176139
1488779760 110.64 285929472 1559206 1148264
1488779761 114.19 285929472 1743892 1251043
1488779762 119.74 286048256 1929640 1384501
1488779763 114.36 286048256 1893058 1340069
1488779764 111.67 286048256 1697306 1225505
1488779765 102.64 285929472 1594516 1107182
1488779766 109.56 285929472 1329342 953099
1488779767 108.58 285929472 1101058 777392
1488779768 113.59 285929472 1132980 825671
1488779769 105.99 286056448 1576260 1081155
1488779770 103.84 286052352 1439108 1024695
1488779771 120.06 286052352 1716848 1203771
1488779772 102.37 285929472 1547522 1151930
1488779773 119.54 286052352 1669262 1155575
1488779774 109.61 286179328 1204680 893633
1488779775 117.62 286052352 1616644 1166480
1488779776 102.89 286056448 1571560 1084617
1488779777 110.82 286052352 1551672 1157770
1488779778 120.15 286056448 1581262 1172596
1488779779 104.38 285929472 1543834 1098604
1488779780 108.69 285929472 1620850 1147751
1488779781 122.07 286056448 1999576 1451969
1488779782 102.67 286183424 1568750 1132027
1488779783 107.48 285929472 1474044 1102346
1488779784 120.55 285929472 2017988 1448726
1488779785 110.67 286056448 1738076 1185189
1488779786 104.61 286183424 1281866 962382
1488779787 117.16 286056448 1433588 980999
1488779788 103.6 286048256 1541772 1114879
1488779789 111.6 285929472 1707922 1220879
1488779790 120.02 285929472 1799058 1305200
1488779791 123.24 286056448 1918718 1381667
