#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1488779740 0.52 2353152 488 168
1488779741 25.09 152100864 970 250
1488779742 96.46 282103808 340 90
1488779743 26.53 283729920 190671 43334
1488779744 47.23 283791360 462133 100782
1488779745 68.8 283869184 661609 128638
1488779746 54.1 283996160 515280 97812
1488779747 69.67 284004352 585127 119724
1488779748 53.78 283877376 523878 106986
1488779749 54.06 283893760 524526 118038
1488779750 33.77 283893760 315040 69934
1488779751 46.61 283893760 441165 90534
1488779752 50.08 284020736 466246 98850
1488779753 56.63 283897856 496685 110804
1488779754 48.79 283922432 444075 99576
1488779755 72.12 284004352 553086 119186
1488779756 63.4 284393472 466130 95880
1488779757 56.38 284139520 504723 110730
1488779758 65.65 284303360 523705 105582
1488779759 62.9 284192768 540080 121158
1488779760 66.84 284192768 563468 122486
1488779761 64.49 284065792 536079 109740
1488779762 70.03 283938816 519832 109938
1488779763 71.12 284188672 540774 118658
1488779764 72.44 284065792 540474 110994
1488779765 81.67 284196864 556271 117536
1488779766 69.76 284577792 567798 116480
1488779767 67.01 284454912 533755 108552
1488779768 74.28 284336128 572929 117404
1488779769 64.46 284282880 543914 119384
1488779770 59.16 284282880 485917 110070
1488779771 80.58 284160000 611496 119648
1488779772 89.48 284327936 528806 119376
1488779773 73.54 284336128 519813 103676
1488779774 71.68 284356608 528435 106968
1488779775 74.97 284241920 578158 121108
1488779776 65.98 284381184 480314 105054
1488779777 82.98 284274688 555062 123740
1488779778 76.45 284286976 563646 123674
1488779779 66.93 284413952 404849 88884
1488779780 75.35 284286976 506456 112446
1488779781 91.47 284282880 559501 117008
1488779782 73.31 284282880 477973 98710
1488779783 79.86 284286976 537186 115820
1488779784 81.17 284426240 505688 104658
1488779785 82.71 284372992 532402 120498
1488779786 74.95 284508160 527191 115894
1488779787 66.1 284631040 440801 94602
1488779788 74.79 284368896 473567 98916
1488779789 82.28 284614656 532607 110672
1488779790 101.78 284499968 576730 121686
1488779791 96.66 284389376 565925 124598
1488779792 85.04 284647424 549595 125192
1488779793 94.17 284397568 571282 123476
1488779794 78.66 284524544 451567 90798
1488779795 73.18 284418048 451096 95988
1488779796 97.41 284426240 510888 106588
1488779797 91.67 284299264 521068 116604
1488779798 98.35 284553216 558783 120308
1488779799 88.48 284434432 592288 220302
1488779800 95.88 284721152 563659 31402
1488779801 93.0 284712960 465448 118596
1488779802 105.76 284643328 517030 219044
1488779803 91.1 284516352 451900 28168
1488779804 107.22 284516352 506767 56378
1488779805 83.35 284516352 485071 201818
1488779806 90.39 284528640 477010 207420
1488779807 99.53 284651520 476441 207684
1488779808 99.88 284778496 472940 192446
1488779809 95.27 284524544 523315 213616
1488779810 71.94 284651520 418875 178322
1488779811 68.08 284647424 405053 176202
1488779812 84.31 284520448 493279 200160
1488779813 91.35 284647424 519621 221222
1488779814 93.37 284520448 511403 221998
1488779815 105.45 284651520 514616 92456
1488779816 106.21 284770304 512774 157086
1488779817 76.23 284520448 454264 201488
1488779818 77.51 284401664 463391 190194
1488779819 88.04 284528640 465828 191790
1488779820 86.95 284528640 472590 209268
1488779821 67.26 284528640 405785 182224
1488779822 93.52 284639232 524739 221486
1488779823 96.95 284766208 511934 217336
1488779824 80.19 284893184 463985 207618
1488779825 95.56 284766208 513912 217988
1488779826 92.34 284639232 483776 212106
1488779827 101.91 284639232 574518 127510
1488779828 109.1 284532736 563657 6582
1488779829 89.49 284536832 477611 9440
1488779830 110.01 284655616 545152 176474
1488779831 99.9 284655616 499837 218046
1488779832 93.98 284782592 510198 230438
1488779833 100.65 284540928 557627 241608
1488779834 84.83 284413952 493069 210324
1488779835 89.9 284540928 536496 229926
1488779836 101.39 284413952 584341 266160
1488779837 92.59 284413952 516754 226906
1488779838 99.73 284532736 564408 237788
1488779839 96.11 284667904 525892 225908
1488779840 73.25 284413952 425456 183760
1488779841 89.47 284528640 536541 229010
1488779842 80.56 284528640 475239 197718
1488779843 108.47 284528640 587537 262142
1488779844 82.26 284655616 459293 191258
1488779845 94.61 284528640 519933 216074
1488779846 90.11 284540928 523522 214994
1488779847 85.26 284540928 477274 203848
1488779848 105.36 284413952 593555 261028
1488779849 95.27 284667904 480136 208088
1488779850 89.29 284536832 510103 217988
1488779851 80.6 284413952 441125 178322
1488779852 82.29 284413952 465563 206892
1488779853 88.71 284659712 535626 211380
1488779854 112.19 284532736 659699 194528
1488779855 95.73 284532736 517348 41820
1488779856 92.65 284532736 548973 101204
1488779857 104.74 284413952 685603 13412
1488779858 96.55 284536832 550811 13128
1488779859 102.85 284663808 566309 18938
1488779860 108.56 284413952 534894 170798
1488779861 79.73 284413952 465562 212370
1488779862 100.92 284413952 557849 246038
1488779863 97.85 284413952 536949 239636
1488779864 97.71 284663808 533226 224654
1488779865 93.94 284540928 506435 205044
1488779866 101.15 284536832 513260 210332
1488779867 85.84 284663808 512327 218990
1488779868 75.22 284536832 450839 211446
1488779869 86.62 284663808 483646 203658
1488779870 95.27 284413952 509443 218846
1488779871 91.57 284540928 524668 241938
1488779872 87.0 284413952 474037 207098
1488779873 94.22 284413952 551588 257316
1488779874 93.49 284532736 482074 209210
1488779875 88.76 284528640 486181 216462
1488779876 71.37 284651520 423616 190046
1488779877 84.4 284540928 470640 203394
