#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1488779732 8850428 1220608 270 168
1488779733 1509538 1155072 168 250
1488779734 1565776 1155072 250 90
1488779735 1064434 1155072 0 0
1488779736 784466 1015808 578 0
1488779738 2172456 1015808 1206 70
1488779740 2401373 1015808 1018 0
1488779741 2366743 1114112 3150 2222
1488779742 1222393 1114112 480 0
1488779743 102373647 1937408 430783 474969
1488779744 330065962 1884160 1425346 1618232
1488779745 563002048 1982464 3256416 3531429
1488779746 430128074 1990656 2476264 2707448
1488779747 574017432 2125824 2933559 3102163
1488779748 528307392 1998848 2698661 2899762
1488779749 540829540 1998848 2737124 2962370
1488779750 328430375 1998848 1772668 1881214
1488779751 374551628 1998848 2024577 2157298
1488779752 515434103 1998848 2672510 2861304
1488779753 431663102 1998848 2234143 2411905
1488779754 442464881 1998848 2189170 2361065
1488779755 551455354 1998848 2998973 3229812
1488779756 441239946 1998848 2319411 2474621
1488779757 493704754 1998848 2572155 2835938
1488779758 469131949 1998848 2668305 2808302
1488779759 523753122 1998848 2732175 2963473
1488779760 585105389 1998848 3024484 3247140
1488779761 457471295 1998848 2331749 2599160
1488779762 503060834 1998848 2703360 3029505
1488779763 489394305 1998848 2522775 2833515
1488779764 561321327 1998848 3001168 3297192
1488779765 533992384 2019328 3017815 3229012
1488779766 516792583 2019328 2992661 3252353
1488779767 491169794 2150400 2572087 2953013
1488779768 457284690 2158592 2630480 2915978
1488779769 520777632 2039808 2713843 3087391
1488779770 516311961 2039808 2689824 3070730
1488779771 477603325 2039808 2689008 2992652
1488779772 588647503 2039808 3340754 3641206
1488779773 502335162 2039808 2533578 2738406
1488779774 463289817 2039808 2623345 2868697
1488779775 514556034 2039808 2539091 2836140
1488779776 490247745 2039808 2848852 3061578
1488779777 600345328 2301952 3025820 3246632
1488779778 539682003 2301952 2641828 2839624
1488779779 450536126 2179072 2377109 2546391
1488779780 511055005 2179072 2740547 2960981
1488779781 519092065 2052096 2639623 2796382
1488779782 520984248 2052096 2807337 3069434
1488779783 499667299 2052096 2826353 3018054
1488779784 463038406 2052096 2465959 2596608
1488779785 601318067 2052096 2844582 3079492
1488779786 495517916 2052096 2703778 2893863
1488779787 468325460 2052096 2446872 2631853
1488779788 510633251 2052096 2762463 2931005
1488779789 500995757 2052096 2731037 2943963
1488779790 484736156 2183168 2729676 2845610
1488779791 572281235 2183168 3029012 3144181
1488779792 588482217 2060288 3326519 3656516
1488779793 455688742 2060288 2351715 2665139
1488779794 440732808 2060288 2572959 2755570
1488779795 510334427 2060288 2924683 3088237
1488779796 417107934 2060288 2440422 2607127
1488779797 467710766 2060288 2471053 2636613
1488779798 556585460 2060288 2946879 3269821
1488779799 581969980 2060288 2679975 3032527
1488779800 735492523 2060288 2843510 3394486
1488779801 524447076 2060288 2507802 2942459
1488779802 479477466 2060288 2651518 2818684
1488779803 472345699 2060288 2651538 2921128
1488779804 460898179 2060288 2512582 2603359
1488779805 512223320 2060288 2790673 2856819
1488779806 533721006 2060288 3022396 3027172
1488779807 434410248 2060288 2528426 2526954
1488779808 472196661 2060288 2596838 2593612
1488779809 459465142 2060288 3028183 2926422
