#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1488779733 9260508 1413120 270 168
1488779734 1973506 1413120 168 250
1488779735 1279221 1413120 160 90
1488779736 1151632 1011712 598 0
1488779738 2563314 1011712 1242 70
1488779741 2575937 1011712 1722 0
1488779742 1142428 1011712 480 70
1488779743 1752768 1060864 1610 1142
1488779744 1078601 1085440 1212 730
1488779745 831652 1110016 646 412
1488779746 891781 1110016 432 0
1488779747 469590 1110016 308 0
1488779748 890199 1110016 160 0
1488779749 564081 1110016 454 42
1488779750 507415 1134592 1254 834
1488779751 933562 1134592 378 518
1488779752 836338 1134592 394 444
1488779753 1100540 1134592 502 592
1488779754 752716 1134592 324 444
1488779755 995377 1134592 378 518
1488779756 1138546 1134592 502 592
1488779757 861606 1134592 324 444
1488779758 744875 1134592 324 444
1488779759 895430 1134592 378 518
1488779760 921774 1134592 378 518
1488779761 826628 1134592 324 444
1488779762 845646 1134592 324 444
1488779763 765477 1134592 324 444
1488779764 914560 1134592 378 518
1488779765 793492 1134592 324 444
1488779766 951927 1134592 378 518
1488779767 940546 1134592 378 518
1488779768 848097 1134592 324 444
1488779769 953555 1134592 378 518
1488779770 954596 1134592 378 518
1488779771 813435 1134592 324 444
1488779772 832322 1134592 324 444
1488779773 940887 1134592 378 518
1488779774 990881 1134592 432 592
1488779775 878554 1134592 378 518
1488779776 788030 1134592 324 444
1488779777 1111374 1134592 432 592
1488779778 783015 1134592 324 444
1488779779 1084291 1134592 432 592
1488779780 1032854 1134592 432 592
1488779781 651098 1134592 270 370
1488779782 968092 1134592 378 518
1488779783 760523 1134592 324 444
1488779784 902896 1134592 378 518
1488779785 1020510 1134592 378 518
1488779786 932241 1134592 378 518
1488779787 855203 1134592 420 560
1488779788 959538 1134592 378 518
1488779789 898843 1134592 378 518
1488779790 1014899 1134592 378 518
1488779791 967707 1134592 378 518
1488779792 859801 1134592 324 444
1488779793 1080036 1134592 432 592
1488779794 820590 1134592 324 444
1488779795 899308 1134592 378 518
1488779796 802300 1134592 324 444
1488779797 895714 1134592 378 518
1488779798 773432 1134592 324 444
1488779799 939578 1134592 378 518
1488779800 763657 1134592 324 444
1488779801 967358 1134592 378 518
1488779802 941634 1134592 378 518
1488779803 957737 1134592 378 518
1488779804 1040716 1134592 378 518
1488779805 936277 1134592 378 518
1488779806 950527 1134592 378 518
1488779807 1089777 1134592 324 444
1488779808 910408 1134592 378 518
1488779809 786917 1134592 378 518
1488779810 968851 1134592 324 444
1488779811 955797 1134592 378 518
1488779812 1005617 1134592 378 518
1488779813 1044943 1134592 432 592
1488779814 764524 1134592 324 444
1488779815 1082742 1134592 420 560
1488779816 795044 1134592 324 444
1488779817 909403 1134592 378 518
1488779818 958959 1134592 378 518
1488779819 870275 1134592 378 518
1488779820 1086752 1134592 432 592
1488779821 636338 1134592 270 370
1488779822 952247 1134592 378 518
1488779823 922242 1134592 378 518
1488779824 931379 1134592 378 518
1488779825 806144 1134592 324 444
1488779826 922304 1134592 378 518
1488779827 932401 1134592 378 518
1488779828 931992 1134592 378 518
1488779829 658672 1134592 270 370
1488779830 981931 1134592 432 592
1488779831 876776 1134592 324 444
1488779832 912513 1134592 378 518
1488779833 1003812 1134592 378 518
1488779834 908933 1134592 378 518
1488779835 833345 1134592 324 444
1488779836 823156 1134592 324 444
1488779837 793338 1134592 324 444
1488779838 791129 1134592 324 444
1488779839 1034833 1134592 378 518
1488779840 795588 1134592 324 444
1488779841 956490 1134592 378 518
1488779842 805847 1134592 324 444
1488779843 803849 1134592 324 444
1488779844 924202 1134592 420 560
1488779845 863583 1134592 324 444
1488779846 918443 1134592 378 518
1488779847 791717 1134592 324 444
1488779848 902675 1134592 378 518
1488779849 843136 1134592 324 444
1488779850 1020558 1134592 378 518
1488779851 812047 1134592 324 444
1488779852 941492 1134592 378 518
1488779853 927305 1134592 378 518
1488779854 985860 1134592 378 518
1488779855 820848 1134592 324 444
1488779856 910189 1134592 378 518
1488779857 915748 1134592 324 444
1488779858 952969 1134592 378 518
1488779859 806591 1134592 324 444
1488779860 960750 1134592 378 518
1488779861 671339 1134592 270 370
1488779862 974172 1134592 378 518
1488779863 975298 1134592 378 518
1488779864 829374 1134592 324 444
1488779865 1070424 1134592 378 518
1488779866 798999 1134592 324 444
1488779867 982410 1134592 378 518
1488779868 970385 1134592 378 518
1488779869 785090 1134592 324 444
1488779870 1175729 1134592 432 592
1488779871 845564 1134592 324 444
1488779872 981457 1134592 420 560
1488779873 863462 1134592 324 444
1488779874 1091224 1134592 432 592
1488779875 785266 1134592 324 444
1488779876 816317 1134592 324 444
1488779877 834028 1134592 324 444
1488779878 980556 1134592 378 518
1488779879 935023 1134592 324 444
1488779880 941792 1134592 378 518
1488779881 794688 1134592 324 444
1488779882 1060020 1134592 432 592
1488779883 912183 1134592 378 518
1488779884 979195 1134592 378 518
1488779885 774886 1134592 324 444
1488779886 671138 1134592 270 370
1488779887 764906 1134592 324 444
1488779888 932103 1134592 378 518
1488779889 921727 1134592 378 518
1488779890 820258 1134592 324 444
1488779891 945369 1134592 378 518
1488779892 963443 1134592 378 518
1488779893 1371588 1134592 378 518
1488779894 855498 1134592 324 444
1488779895 940670 1134592 378 518
1488779896 998317 1134592 378 518
1488779897 922564 1134592 378 518
1488779898 934252 1134592 378 518
1488779899 933705 1134592 378 518
1488779900 870779 1134592 324 444
1488779901 1160054 1134592 420 560
1488779902 778149 1134592 324 444
1488779903 824886 1134592 324 444
1488779904 1086620 1134592 432 592
1488779905 964417 1134592 378 518
1488779906 839293 1134592 378 518
1488779907 939020 1134592 378 518
1488779908 1008251 1134592 378 518
1488779909 892645 1134592 378 518
1488779910 1003887 1134592 378 518
1488779911 785829 1134592 324 444
1488779912 808517 1134592 324 444
1488779913 999979 1134592 378 518
1488779914 810285 1134592 324 444
1488779915 839041 1134592 324 444
1488779916 1045012 1134592 432 592
1488779917 949758 1134592 378 518
1488779918 972726 1134592 378 518
1488779919 701998 1134592 270 370
1488779920 813191 1134592 324 444
1488779921 887298 1134592 378 518
1488779922 812671 1134592 324 444
1488779923 936412 1134592 378 518
1488779924 919014 1134592 378 518
