#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1488424569 0.0 1859584 8560 1481687
1488424570 3.99 1843200 4614 1425150
1488424571 3.86 1843200 5054 1517794
1488424572 4.09 1757184 4890 1579036
1488424573 4.58 1757184 4632 1464476
1488424574 4.5 1757184 4764 1526154
1488424575 4.96 1757184 4422 1502192
1488424576 5.01 1757184 4356 1454022
1488424577 2.07 1757184 3700 1197270
1488424578 2.91 1757184 4162 1333880
1488424579 2.96 1757184 4026 1390416
1488424580 2.68 1757184 4026 1355796
1488424581 2.58 1757184 3960 1322282
1488424582 3.53 1757184 4092 1383628
1488424583 3.27 1757184 3894 1329742
1488424584 6.45 1757184 4818 1590876
1488424585 3.06 1757184 4752 1567708
1488424586 4.75 1757184 5148 1656796
1488424587 5.13 1757184 4818 1591580
1488424588 3.54 1757184 4884 1642370
1488424589 3.69 1757184 4884 1645440
1488424590 4.05 1757184 4950 1646690
1488424591 3.73 1757184 4620 1517998
1488424592 4.09 1757184 5016 1667186
1488424593 4.14 1757184 4950 1658694
1488424594 5.21 1888256 4884 1634926
1488424595 3.89 1888256 4686 1590340
1488424596 2.63 1888256 4092 1352000
1488424597 5.34 1765376 5148 1712584
1488424598 3.62 1765376 4158 1449606
1488424599 3.92 1765376 4818 1594568
1488424600 4.54 1765376 4818 1644234
1488424601 5.13 1765376 4884 1639156
1488424602 4.11 1765376 4752 1576744
1488424603 4.5 1765376 4752 1625178
1488424604 3.6 1765376 4554 1465622
1488424605 2.76 1765376 4158 1396256
1488424606 2.6 1765376 3960 1333986
1488424607 2.96 1765376 3960 1340796
1488424608 3.65 1765376 3960 1331838
1488424609 2.25 1765376 3432 1188678
1488424610 2.83 1765376 3894 1286116
1488424611 3.45 1765376 4818 1539568
1488424612 2.66 1765376 4092 1344734
1488424613 2.51 1765376 3696 1279526
1488424614 4.18 1765376 4092 1403026
1488424615 4.08 1765376 4422 1519528
1488424616 4.35 1765376 4686 1531590
1488424617 3.49 1765376 4422 1538046
1488424618 3.37 1765376 4290 1467248
1488424619 4.0 1765376 4752 1602398
1488424620 3.48 1765376 4158 1405536
1488424621 4.61 1896448 4620 1561726
1488424622 5.35 1769472 4488 1499802
1488424623 5.44 1773568 4818 1577688
1488424624 4.32 1773568 4752 1587160
1488424625 5.46 1773568 4950 1642972
1488424626 4.97 1773568 4356 1501058
1488424627 4.95 1773568 5346 1714832
1488424628 4.13 1773568 4686 1571810
1488424629 3.81 1773568 5016 1647636
1488424630 5.29 1773568 5016 1644770
1488424631 4.77 1773568 4554 1521758
1488424632 3.61 1773568 4950 1641466
1488424633 5.91 1773568 4752 1569226
1488424634 4.6 1773568 4158 1445350
1488424635 2.49 1773568 3498 1149478
1488424636 3.07 1773568 3696 1262684
1488424637 3.41 1773568 4422 1473072
1488424638 4.31 1773568 4356 1452836
1488424639 4.81 1773568 4620 1513918
1488424640 3.26 1773568 4356 1455702
1488424641 3.64 1773568 4290 1471102
1488424642 3.95 1773568 4488 1521392
1488424643 3.59 1773568 4224 1470164
1488424644 2.82 1773568 3366 1146796
1488424645 2.85 1773568 4092 1329820
1488424646 3.47 1773568 4554 1544162
1488424647 3.91 1773568 4488 1515396
1488424648 4.0 1773568 4752 1577996
1488424649 5.11 1773568 4356 1465902
1488424650 4.35 1773568 4290 1448152
1488424651 4.49 1773568 4224 1448916
1488424652 4.71 1773568 4554 1517244
1488424653 4.82 1773568 4620 1499128
1488424654 4.45 1773568 4422 1451774
1488424655 3.99 1773568 4158 1446756
1488424656 4.28 1773568 4686 1530134
1488424657 3.74 1773568 4752 1589680
1488424658 4.06 1773568 4422 1470962
1488424659 3.73 1773568 4488 1503896
1488424660 3.46 1773568 4224 1406430
1488424661 4.04 1773568 4752 1614624
1488424662 3.95 1773568 3894 1334220
1488424663 2.17 1773568 3828 1267086
1488424664 2.61 1773568 3696 1203852
1488424665 2.09 1773568 3498 1155382
1488424666 2.38 1753088 3696 1207654
1488424667 2.44 1753088 3630 1209564
1488424668 2.73 1753088 3828 1272512
1488424669 2.42 1753088 3828 1293216
1488424670 3.89 1753088 4290 1387032
1488424671 3.32 1892352 3894 1317472
1488424672 3.57 1765376 4092 1373088
1488424673 4.1 1765376 4554 1568704
1488424674 5.6 1765376 4620 1575646
1488424675 5.24 1781760 4884 1639430
1488424676 5.52 1781760 4884 1627182
1488424677 4.93 1781760 4950 1641440
1488424678 3.53 1781760 4620 1500052
1488424679 4.08 1781760 4950 1667992
1488424680 4.81 1781760 4488 1520012
