#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1488424561 0.03 4829184 270 180
1488424562 45.79 282296320 706 78
1488424563 83.8 282304512 786 250
1488424564 1.06 284958720 1602 1226
1488424565 0.15 285065216 1004 0
1488424566 29.34 285888512 788041 413899
1488424567 124.51 286142464 2701088 1640779
1488424568 120.71 286011392 2358488 1632919
1488424569 124.53 286011392 2399376 1647549
1488424570 120.12 286011392 2233720 1561201
1488424571 120.47 286142464 2283248 1577021
1488424572 120.39 286142464 2443408 1667292
1488424573 123.33 286134272 2501344 1680336
1488424574 129.6 286138368 2565714 1761169
1488424575 121.94 286265344 2463300 1671995
1488424576 119.57 286154752 2187408 1518072
1488424577 110.45 286150656 1277234 848194
1488424578 112.57 285999104 1428262 973661
1488424579 114.34 286019584 1618432 1085128
1488424580 106.66 286134272 1366066 945121
1488424581 113.59 286371840 1729596 1159221
1488424582 110.81 286248960 1354546 937810
1488424583 108.82 286138368 992604 675817
1488424584 120.27 286392320 2641128 1797227
1488424585 114.21 286146560 2190326 1469294
1488424586 126.85 286150656 2658728 1816136
1488424587 123.2 286138368 2386870 1637257
1488424588 123.34 286126080 2527484 1686114
1488424589 125.47 286150656 2506822 1712267
1488424590 120.45 286273536 2453306 1652162
1488424591 125.13 286277632 2462720 1688083
1488424592 120.98 286400512 2409108 1647278
1488424593 125.8 286519296 2548388 1712076
1488424594 125.22 286244864 2482654 1719994
1488424595 120.84 286150656 2200354 1477935
1488424596 106.79 286142464 1256996 830319
1488424597 123.56 286261248 2637501 1838214
1488424598 116.56 286019584 2192418 1462100
1488424599 122.01 286261248 2387850 1630525
1488424600 129.69 286265344 2562024 1726670
1488424601 125.42 286261248 2471068 1684347
1488424602 124.12 286244864 2470882 1678295
1488424603 122.8 286507008 2460228 1671768
1488424604 120.11 286498816 2199178 1502139
1488424605 109.06 286511104 1042012 675697
1488424606 112.88 286519296 1652104 1130423
1488424607 113.0 286388224 1731976 1153786
1488424608 111.3 286248960 1439276 980016
1488424609 108.42 286363648 1484322 1021372
1488424610 116.96 286253056 1722296 1166391
1488424611 117.99 286273536 2687858 1804315
1488424612 118.23 286396416 2839310 1894394
1488424613 121.37 286400512 2871490 1932463
