#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1488424564 9617495 1482752 1354 1316
1488424565 901333 1146880 732 168
1488424566 35360160 1970176 170727 38332
1488424567 152144277 1765376 772374 172722
1488424568 137643452 1765376 693377 152856
1488424569 139355686 1765376 687173 157014
1488424570 112937905 1765376 571178 137086
1488424571 97881014 1765376 473154 110790
1488424572 120608321 1765376 593493 142956
1488424573 111044458 1765376 540920 132650
1488424574 121676862 1765376 579668 140516
1488424575 111536480 1765376 539110 131850
1488424576 122177747 1765376 587284 141964
1488424577 110825528 1765376 536012 130934
1488424578 123672018 1765376 597312 146840
1488424579 119061977 1765376 590668 140496
1488424580 116993553 1765376 575917 139506
1488424581 122988225 1765376 603174 149348
1488424582 123018467 1765376 600410 146906
1488424583 133422364 1765376 658984 162218
1488424584 164101448 1765376 759481 180286
1488424585 150433979 1765376 742894 172184
1488424586 155392514 1765376 757141 177382
1488424587 145280425 1765376 728815 168026
1488424588 146320908 1765376 726324 168554
1488424589 152692460 1765376 755925 177068
1488424590 143443263 1765376 720595 165980
1488424591 144759163 1765376 717981 165980
1488424592 147324629 1765376 731114 170724
1488424593 142325200 1765376 702751 165576
1488424594 142172667 1765376 678532 204932
1488424595 163223340 1765376 719093 334478
1488424596 129139179 1765376 578379 276010
1488424597 177025383 1765376 754781 344882
1488424598 149088648 1765376 665235 309390
1488424599 162002941 1765376 725996 331632
1488424600 156428673 1765376 690789 321468
1488424601 143031465 1765376 628912 291182
1488424602 160025924 1765376 707640 326096
1488424603 172140891 1765376 763715 351036
1488424604 160674406 1765376 716488 330386
1488424605 145928667 1765376 657612 312104
1488424606 145268548 1765376 649075 316898
1488424607 134926327 1765376 593602 294218
1488424608 141320917 1765376 618832 306288
1488424609 132621815 1765376 565280 275804
1488424610 150772659 1896448 656969 314282
1488424611 146129488 1896448 636074 305760
1488424612 146370707 1896448 628384 299366
1488424613 139538040 1896448 619172 299102
1488424614 154314673 1769472 626820 302402
1488424615 147319041 1769472 626235 299366
1488424616 158254418 1769472 671220 322854
1488424617 140646304 1769472 600317 288122
1488424618 145892373 1769472 629496 303920
1488424619 150470078 1769472 649387 308474
1488424620 141120724 1769472 618702 292692
1488424621 137088938 1769472 587266 284318
1488424622 162531377 1769472 695864 323324
1488424623 158713687 1773568 703471 325436
1488424624 150187081 1773568 652363 297848
1488424625 152952327 1773568 677336 314942
1488424626 152865710 1773568 680262 314084
1488424627 153285292 1773568 670652 310488
1488424628 138547585 1773568 620105 282998
1488424629 159553208 1773568 712028 324174
1488424630 160721844 1773568 720344 328134
1488424631 170780646 1773568 758477 351836
1488424632 163333729 1773568 717137 326558
1488424633 172691323 1773568 776297 357174
1488424634 161687887 1773568 712958 340664
1488424635 133434663 1773568 585335 286628
1488424636 139949976 1773568 619152 297048
1488424637 157920842 1773568 686232 323292
1488424638 172187844 1773568 683680 324314
1488424639 163319816 1773568 707123 333216
1488424640 165590115 1773568 732225 345896
1488424641 157017891 1773568 693677 322788
1488424642 147052571 1773568 637481 302798
1488424643 160550999 1773568 690554 326830
1488424644 133302974 1773568 588489 288468
1488424645 160917230 1773568 658957 318300
1488424646 162189504 1773568 691466 326888
1488424647 162851748 1773568 680894 319860
1488424648 161942910 1773568 692665 326830
1488424649 154068286 1773568 660531 312286
1488424650 169359293 1773568 721084 340286
1488424651 149652477 1773568 639153 308936
1488424652 152636052 1773568 658060 310116
1488424653 169821001 1773568 745023 348132
1488424654 167483955 1773568 731474 342390
1488424655 176267422 1773568 767743 358692
1488424656 180742234 1773568 785723 362594
1488424657 181054004 1773568 801259 372462
1488424658 150680120 1773568 645845 306032
1488424659 164996765 1773568 714775 340146
1488424660 165943466 1773568 729410 341672
1488424661 174401177 1773568 758753 345822
1488424662 146578012 1773568 639668 307146
1488424663 134914650 1773568 593904 286092
1488424664 116391272 1773568 492802 244050
1488424665 126108056 1773568 444706 220232
1488424666 128132318 1773568 541718 265500
1488424667 128641103 1773568 559801 273528
1488424668 138873460 1773568 608652 296850
1488424669 139754909 1773568 619791 298772
1488424670 137349894 1773568 597573 293558
1488424671 124616023 1773568 536423 262200
1488424672 118787077 1773568 526451 251384
1488424673 151408347 1773568 645849 297856
1488424674 151301773 1773568 639609 295612
1488424675 145775564 1904640 643699 293616
1488424676 174052842 1777664 789907 350252
1488424677 153688875 1777664 679101 310924
1488424678 159519932 1777664 713260 322962
1488424679 163710649 1777664 729177 332696
1488424680 160647287 1777664 710128 325758
1488424681 157483424 1777664 691946 327292
1488424682 147219300 1777664 630464 309192
1488424683 159988763 1777664 686458 328134
1488424684 186112841 1777664 816517 371908
1488424685 169935688 1777664 761944 348932
1488424686 160285907 1777664 702840 323258
1488424687 144644341 1777664 636388 298212
1488424688 150574655 1777664 648347 310520
1488424689 170338459 1777664 741740 344304
1488424690 157157350 1777664 685994 324042
1488424691 158715245 1777664 686314 327416
1488424692 137573103 1777664 592411 283254
1488424693 152652121 1777664 665240 316526
1488424694 174502816 1777664 769550 352290
1488424695 160325439 1777664 719283 329066
1488424696 192090052 1777664 846849 389382
1488424697 159848857 1777664 701372 330056
1488424698 146090134 1777664 641916 303896
1488424699 129521405 1777664 575942 277108
1488424700 141765836 1777664 633513 303260
1488424701 175067153 1777664 739273 342068
1488424702 182087052 1777664 740938 338174
1488424703 151465828 1777664 659353 295538
1488424704 154699687 1777664 679345 314876
1488424705 169202371 1777664 756571 343110
1488424706 168771127 1777664 745647 345434
1488424707 174994996 1777664 775001 359468
1488424708 172035328 1777664 755227 351696
1488424709 158324136 1777664 693351 328942
1488424710 153149341 1777664 658576 311502
1488424711 129903226 1777664 563269 272966
1488424712 126406204 1777664 549195 268536
1488424713 145373247 1777664 643858 311040
1488424714 146124019 1777664 657131 316790
1488424715 141291823 1777664 641476 305034
1488424716 143335499 1777664 645621 305834
1488424717 134776332 1777664 609797 289392
1488424718 118538679 1777664 526188 249834
1488424719 131611239 1777664 577491 280746
1488424720 127431740 1777664 546401 267356
1488424721 134285818 1777664 554661 269460
1488424722 134101840 1777664 576643 281216
1488424723 148337549 1777664 679429 321344
1488424724 141790032 1777664 616228 291248
1488424725 145599056 1777664 614912 295010
1488424726 120067200 1777664 505801 243002
1488424727 137879824 1777664 575958 276448
1488424728 133911399 1777664 566376 275598
1488424729 114828989 1777664 482168 234026
1488424730 111261759 1777664 459752 225908
1488424731 131111257 1777664 549531 264906
1488424732 150214473 1777664 650354 307220
1488424733 142849209 1777664 616677 296792
1488424734 147192228 1777664 642215 313028
1488424735 116709215 1777664 499394 247634
1488424736 154834622 1777664 677183 317120
1488424737 154954111 1777664 676931 320296
1488424738 150523166 1777664 666316 305472
1488424739 157726690 1777664 684270 308994
1488424740 148322548 1777664 645895 297914
1488424741 126069389 1777664 553994 264048
1488424742 127439228 1777664 549829 264972
1488424743 113033644 1777664 484376 238910
1488424744 137077074 1777664 594759 291380
1488424745 135431128 1777664 580193 284244
1488424746 123174944 1777664 534827 258322
1488424747 126898105 1777664 551535 266738
1488424748 162436693 1777664 720536 336252
1488424749 178042836 1777664 740366 339040
1488424750 143009863 1777664 637051 299028
1488424751 121408280 1777664 547387 260294
1488424752 129167549 1777664 564698 269856
1488424753 167651009 1777664 672171 313886
1488424754 150978489 1777664 650417 304316
1488424755 147926463 1777664 653464 297378
1488424756 167416690 1777664 737511 340616
1488424757 129957376 1777664 568722 265904
1488424758 118157438 1777664 505730 247458
1488424759 181734356 1777664 788453 355338
1488424760 170296422 1777664 742706 342142
1488424761 150577776 1777664 656228 305826
1488424762 148250737 1777664 655008 305240
1488424763 147863119 1777664 640346 306156
1488424764 155856693 1777664 685581 318366
1488424765 144173424 1777664 612874 291248
1488424766 142900920 1777664 609802 292304
1488424767 145080246 1777664 621359 297354
1488424768 135574659 1777664 576864 276142
1488424769 118586666 1777664 509650 249734
1488424770 121559239 1777664 524286 256870
1488424771 156049203 1777664 607323 290918
1488424772 162804244 1777664 688666 326228
1488424773 147823043 1777664 634000 303656
1488424774 114912860 1777664 491881 241872
1488424775 109840528 1777664 467033 230058
1488424776 123105841 1777664 541185 258512
1488424777 127013285 1777664 560449 269336
1488424778 122385996 1777664 506869 240956
1488424779 123931924 1777664 542336 266498
1488424780 109967258 1777664 468623 234034
1488424781 114280617 1777664 497764 241278
1488424782 107782798 1777664 459850 228218
1488424783 127125446 1777664 539290 264758
1488424784 148219208 1777664 603053 289796
1488424785 156553267 1777664 665292 318770
1488424786 149904642 1777664 645053 311172
1488424787 143272752 1777664 613291 293476
1488424788 141822904 1777664 603477 287948
1488424789 147693103 1777664 629916 300282
1488424790 124517662 1777664 498619 242796
1488424791 124714497 1777664 548756 266350
1488424792 130884245 1777664 576073 280994
1488424793 120200546 1777664 518793 255938
1488424794 119158837 1777664 514463 252514
1488424795 119689366 1777664 516388 256194
1488424796 105847059 1777664 451751 221288
1488424797 133363559 1777664 582562 281480
1488424798 135181987 1777664 586384 284178
1488424799 125470567 1777664 543613 264444
1488424800 123410719 1777664 530486 260030
1488424801 119611647 1777664 509851 251046
1488424802 149212292 1777664 622105 294746
1488424803 123903989 1777664 538242 259560
1488424804 123000390 1777664 531492 257382
1488424805 151906003 1777664 646807 301610
1488424806 169640261 1777664 736652 330114
1488424807 148415406 1777664 619856 284590
1488424808 126551947 1777664 540289 262506
1488424809 152509446 1777664 651991 308202
1488424810 149742450 1777664 648085 307220
1488424811 146682530 1777664 640517 304316
1488424812 120592710 1777664 515286 249536
1488424813 117772731 1777664 506993 247820
1488424814 136582470 1777664 586499 282866
1488424815 154589327 1777664 648528 307426
1488424816 167873575 1777664 652489 309266
1488424817 136588018 1777664 588675 275252
1488424818 148004016 1777664 678467 314018
1488424819 198938438 1777664 863318 388688
1488424820 175886048 1777664 783603 356456
1488424821 154909812 1781760 684110 315660
1488424822 157112387 1781760 687138 314092
1488424823 152440140 1781760 654503 305966
1488424824 157516817 1781760 667917 314810
1488424825 159012547 1781760 696591 329132
1488424826 161896831 1781760 704765 330320
1488424827 153883430 1781760 668203 313292
1488424828 151052623 1781760 651899 308804
1488424829 151068121 1781760 661246 310570
1488424830 165431667 1781760 722342 337126
1488424831 143042605 1781760 637108 305570
1488424832 127700799 1781760 563375 270912
1488424833 126506379 1781760 552472 270888
1488424834 113013623 1781760 486449 240486
1488424835 139425832 1781760 612501 299556
1488424836 140440665 1781760 619916 300224
1488424837 142989123 1781760 606878 290250
1488424838 177968920 1781760 716815 338710
1488424839 165716829 1781760 710325 334742
1488424840 134841441 1781760 593978 286950
1488424841 134829743 1781760 589389 286826
1488424842 153012966 1781760 679327 327656
1488424843 145776005 1912832 650689 313218
1488424844 141967401 1785856 630368 304588
1488424845 131018642 1785856 577028 277116
1488424846 140493405 1785856 623425 299952
1488424847 134303227 1785856 574735 279962
1488424848 152968363 1785856 654042 309464
1488424849 171114941 1785856 713526 334734
1488424850 173624271 1785856 754417 352026
1488424851 179701495 1785856 806631 362924
1488424852 158030657 1785856 706889 315528
1488424853 157608485 1785856 710652 322920
1488424854 156405994 1785856 696995 316262
1488424855 167663724 1785856 737189 341672
1488424856 177201984 1785856 773892 357694
1488424857 171323230 1785856 766019 351770
1488424858 153948296 1785856 668012 321444
1488424859 166699837 1785856 723389 342274
1488424860 169152697 1785856 736724 343710
1488424861 164998044 1785856 726187 339940
1488424862 176040440 1785856 778416 361612
1488424863 181395866 1785856 792976 368526
1488424864 182085525 1785856 793140 370374
1488424865 173816002 1785856 755406 353420
1488424866 162496091 1785856 704599 333290
1488424867 162723127 1785856 599937 291282
1488424868 152510908 1785856 653420 313094
1488424869 167296073 1785856 718712 337506
1488424870 156120518 1785856 669953 317582
1488424871 163750881 1785856 710604 333414
1488424872 172410447 1785856 738999 347480
