#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1488424558 0.0 1167360 508 168
1488424559 0.13 1167360 250 250
1488424560 0.18 1024000 348 90
1488424561 0.07 1024000 258 0
1488424562 0.11 1024000 640 0
1488424563 0.21 1118208 3326 2222
1488424564 0.1 1273856 2044 1010
1488424565 0.17 1454080 1716 1142
1488424566 10.11 1925120 574668 653775
1488424567 63.69 1982464 3884935 4292259
1488424568 63.89 2113536 3715984 4058749
1488424569 59.52 1994752 3407530 3834266
1488424570 54.53 1994752 2881327 3297649
1488424571 49.6 1994752 2530549 2860607
1488424572 56.59 1994752 2949562 3385144
1488424573 49.96 1994752 2638541 3121236
1488424574 77.9 1994752 2963230 3421540
1488424575 74.34 1994752 2690617 3129224
1488424576 77.72 1994752 2935161 3394409
1488424577 76.65 1994752 2776820 3225766
1488424578 82.34 1994752 3003778 3510124
1488424579 74.12 1994752 2887597 3345117
1488424580 55.76 1994752 2925403 3380162
1488424581 54.82 1994752 2972092 3475861
1488424582 61.21 1994752 3056669 3562419
1488424583 62.46 1994752 3258238 3807679
1488424584 68.15 1994752 3838645 4388446
1488424585 66.41 2150400 3825871 4333584
1488424586 65.52 2154496 3786850 4263384
1488424587 64.53 2166784 3667907 4096449
1488424588 63.8 2043904 3628611 4069459
1488424589 66.28 2043904 3790483 4294692
1488424590 64.47 2043904 3630574 4067344
1488424591 70.1 2048000 3964112 4398616
1488424592 65.33 2048000 3602912 4026552
1488424593 63.55 2060288 3514563 3960949
1488424594 61.48 2060288 3480995 3892061
1488424595 63.78 2060288 3659813 3977466
1488424596 58.88 2060288 3113444 3440578
1488424597 67.18 2060288 3947366 4231319
1488424598 60.43 2060288 3502435 3788546
1488424599 64.79 2060288 3819613 4136950
1488424600 63.87 2060288 3608351 3935781
1488424601 60.63 2060288 3322679 3598023
1488424602 67.96 2060288 3880595 4186712
1488424603 66.84 2060288 3917702 4225358
1488424604 65.68 2060288 3918843 4173939
1488424605 63.92 2060288 3598173 3920524
1488424606 60.6 2060288 3380805 3737789
1488424607 52.44 2060288 3092983 3464619
1488424608 52.84 2060288 3181020 3570984
1488424609 75.81 2060288 3084181 3461479
1488424610 81.89 2060288 3271598 3604246
1488424611 85.65 2060288 3490922 3839625
1488424612 82.8 2060288 3363891 3668245
1488424613 81.75 2060288 3257317 3585080
1488424614 84.53 2060288 3392738 3736111
1488424615 82.46 2060288 3260204 3598904
1488424616 86.39 2060288 3465564 3807257
1488424617 83.64 2060288 3261816 3606470
1488424618 83.89 2060288 3319938 3662435
1488424619 82.51 2060288 3302309 3638581
1488424620 85.52 2060288 3443155 3794010
1488424621 79.04 2060288 3046295 3363037
1488424622 86.96 2060288 3675586 3988481
1488424623 71.4 2060288 3566473 3872899
1488424624 61.27 2060288 3506782 3774390
1488424625 61.67 2060288 3587547 3891320
1488424626 64.04 2060288 3603609 3925476
1488424627 58.91 2060288 3395113 3681366
1488424628 61.07 2060288 3449077 3713017
1488424629 62.13 2064384 3704508 3927445
1488424630 64.81 2064384 3847131 4087508
1488424631 69.32 2064384 4114261 4440955
1488424632 65.61 2068480 3842196 4155285
1488424633 67.39 2072576 3954879 4291424
1488424634 65.66 2072576 3930285 4216101
1488424635 73.9 2072576 3170297 3398448
1488424636 86.54 2072576 3516810 3734193
1488424637 84.78 2072576 3645027 3811161
1488424638 91.97 2072576 3933618 4108223
1488424639 89.91 2072576 3863236 4041328
1488424640 90.91 2072576 3943425 4109669
1488424641 90.28 2072576 3945010 4108828
1488424642 84.6 2072576 3518357 3701042
1488424643 85.7 2072576 3735984 3916845
1488424644 62.61 2072576 3314723 3594725
1488424645 75.06 2072576 3559261 3787158
1488424646 88.93 2072576 3810891 3990339
1488424647 86.02 2072576 3713497 3880275
1488424648 87.66 2072576 3715472 3871025
1488424649 88.66 2072576 3745741 3939645
1488424650 91.35 2072576 3931449 4105613
1488424651 88.06 2072576 3633193 3824556
1488424652 85.3 2072576 3599429 3775372
1488424653 92.73 2072576 4100936 4284675
1488424654 90.77 2072576 4100474 4256980
1488424655 94.17 2072576 4168210 4333663
1488424656 94.68 2072576 4263198 4413821
1488424657 98.0 2072576 4435661 4612103
1488424658 87.52 2072576 3654487 3840001
1488424659 88.41 2072576 3739237 3890981
1488424660 97.92 2076672 4329257 4495218
1488424661 89.46 2076672 3994057 4170262
1488424662 84.35 2076672 3558812 3735899
1488424663 81.26 2076672 3423263 3604349
1488424664 64.33 2076672 2562313 2758717
1488424665 50.81 2076672 2585748 2804617
1488424666 66.25 2076672 2965501 3203701
1488424667 81.93 2076672 3163464 3364487
1488424668 82.13 2076672 3176580 3394103
1488424669 83.25 2076672 3511697 3698682
1488424670 81.41 2076672 3246885 3438870
1488424671 73.39 2076672 3002104 3138454
1488424672 61.76 2076672 2883360 3058721
1488424673 60.87 2076672 3591178 3734942
1488424674 58.05 2076672 3453908 3608078
1488424675 59.87 2076672 3592051 3697261
1488424676 71.24 2076672 4451414 4569971
1488424677 60.1 2076672 3593831 3717712
1488424678 64.32 2076672 3996697 4109879
1488424679 65.63 2076672 4035938 4139024
1488424680 66.19 2076672 4005450 4173209
1488424681 62.04 2076672 3584167 3871422
1488424682 66.12 2076672 3465452 3786774
1488424683 64.85 2076672 3666524 3949414
1488424684 72.34 2076672 4429567 4615755
1488424685 69.41 2076672 4280001 4398454
1488424686 67.5 2076672 3988351 4164411
1488424687 61.39 2076672 3321424 3474328
1488424688 86.35 2076672 3580104 3778881
1488424689 92.48 2076672 4041253 4222032
1488424690 89.86 2076672 3928643 4093122
1488424691 89.32 2076672 3729622 3903541
1488424692 82.12 2076672 3377435 3553448
1488424693 88.46 2076672 3605736 3792983
1488424694 79.0 2076672 4131813 4278012
1488424695 67.76 2076672 4163773 4275572
1488424696 72.93 2076672 4568616 4732591
1488424697 63.21 2076672 3913382 4071498
1488424698 57.9 2076672 3457153 3689811
1488424699 57.84 2076672 3302340 3486817
1488424700 60.73 2076672 3487479 3666771
1488424701 66.92 2076672 3938593 4111649
1488424702 66.28 2076672 4075226 4172844
1488424703 63.23 2080768 3772663 3894903
1488424704 62.48 2080768 3661828 3799741
1488424705 67.42 2080768 4150679 4229603
1488424706 67.5 2080768 4060187 4241149
1488424707 81.15 2080768 4294660 4474761
1488424708 92.98 2080768 4123158 4305586
1488424709 90.83 2080768 3934103 4117108
1488424710 87.84 2080768 3705862 3898593
1488424711 76.7 2080768 3015272 3209869
1488424712 79.88 2080768 3153163 3330133
1488424713 80.0 2080768 3404483 3552321
1488424714 72.52 2080768 3760553 3913069
1488424715 56.58 2080768 3510517 3615290
1488424716 58.04 2080768 3575286 3695987
1488424717 55.85 2080768 3284814 3447045
1488424718 52.93 2080768 2925299 3052214
1488424719 79.41 2080768 3210190 3371885
1488424720 75.49 2080768 2990979 3162850
1488424721 80.79 2080768 3235838 3422780
1488424722 75.7 2080768 2997372 3192586
1488424723 61.15 2080768 3840165 3976811
1488424724 58.01 2080768 3323126 3466648
1488424725 84.59 2080768 3457003 3621691
1488424726 75.62 2080768 2884568 3053188
1488424727 75.11 2080768 2916330 3088340
1488424728 81.32 2080768 3272128 3454290
