#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1488424563 10213474 1443840 1830 1484
1488424564 831233 1171456 796 160
1488424565 1533935 1171456 836 90
1488424566 63165019 1761280 305419 180059
1488424567 384381935 1777664 1883611 1103519
1488424568 399744269 1781760 1927026 1122889
1488424569 378832847 1925120 1849829 1033938
1488424570 342673629 1802240 1688260 892545
1488424571 367531533 1933312 1820114 878913
1488424572 355253349 1806336 1798838 927872
1488424573 347845735 1806336 1756438 902142
1488424574 368027011 1806336 1876942 1103341
1488424575 364241062 1806336 1737405 1252806
1488424576 368601754 1806336 1739598 1286937
1488424577 336862438 1806336 1580401 1173299
1488424578 342138970 1806336 1585779 1213262
1488424579 340129896 1806336 1574797 1194822
1488424580 368276954 1806336 1648882 1244759
1488424581 350907614 1806336 1604371 1194439
1488424582 349094295 1806336 1575906 1196064
1488424583 408402320 1806336 1762588 1358269
1488424584 453983794 1806336 1973257 1521595
1488424585 440970934 1806336 1929769 1500470
1488424586 435755127 1806336 1932450 1476798
1488424587 444673079 1806336 1962862 1504508
1488424588 422904357 1806336 1903764 1423331
1488424589 447285648 1806336 1978636 1497244
1488424590 425673873 1806336 1884425 1434794
1488424591 452549729 1806336 1992099 1539486
1488424592 425605685 1806336 1889214 1450075
1488424593 428986355 1806336 1914313 1428971
1488424594 437739392 1806336 1966317 1461332
1488424595 426347146 1810432 1886494 1422823
1488424596 381341950 1810432 1673949 1261684
1488424597 442342317 1810432 1946914 1484012
1488424598 422377455 1810432 1846186 1405644
1488424599 431067465 1810432 1910380 1453935
1488424600 432883606 1810432 1947177 1433579
1488424601 412121973 1810432 1881196 1356759
1488424602 452073673 1810432 1970292 1469627
1488424603 447446711 1810432 1962399 1500193
1488424604 421173893 1810432 1847772 1432913
1488424605 395815924 1810432 1735997 1354962
1488424606 351524657 1810432 1589510 1231890
1488424607 332650305 1810432 1544547 1174759
1488424608 347218867 1810432 1590208 1227566
1488424609 339559064 1810432 1562604 1202900
1488424610 342165420 1810432 1595044 1230673
1488424611 376934011 1810432 1766381 1364070
1488424612 361712942 1810432 1665026 1314881
1488424613 339562859 1814528 1579576 1221485
1488424614 374332842 1814528 1752602 1362678
1488424615 362007201 1814528 1742684 1288029
1488424616 396054538 1814528 1865367 1432873
1488424617 389928344 1814528 1867632 1366093
1488424618 377576627 1814528 1825683 1354110
1488424619 361702940 1814528 1744733 1318998
1488424620 381265168 1814528 1859104 1348593
1488424621 383090850 1814528 1828942 1345441
1488424622 391120004 1814528 1820974 1403944
1488424623 391594117 1818624 1804168 1365033
1488424624 429646476 1818624 1938233 1404563
1488424625 420422323 1818624 1902093 1416459
1488424626 432656890 1818624 1968740 1433802
1488424627 412183441 1818624 1859427 1360704
1488424628 425762032 1818624 1950782 1406243
1488424629 435534515 1818624 1936186 1452311
1488424630 431530687 1818624 1908364 1456703
1488424631 440631816 1818624 1945094 1508404
1488424632 442692882 1818624 1977042 1501782
1488424633 422334673 1818624 1889829 1463998
1488424634 383168252 1818624 1758466 1382763
1488424635 329943240 1818624 1507609 1171826
1488424636 354463413 1818624 1632761 1283833
1488424637 359887125 1818624 1699375 1321520
1488424638 383490284 1818624 1833947 1419312
1488424639 365835051 1818624 1752810 1348522
1488424640 375681381 1818624 1769294 1400970
1488424641 378794530 1818624 1826550 1426290
1488424642 369533870 1818624 1788597 1352245
1488424643 377962106 1818624 1778636 1385553
1488424644 325005728 1818624 1499923 1185807
1488424645 348370522 1818624 1634547 1276302
1488424646 394279541 1818624 1870954 1434675
1488424647 375071381 1818624 1805553 1368507
1488424648 371112358 1818624 1782991 1370275
1488424649 385611160 1818624 1843853 1411618
1488424650 393799328 1818624 1861736 1453364
1488424651 374820488 1818624 1772787 1351299
1488424652 374607921 1818624 1788280 1357106
1488424653 394879658 1818624 1874601 1490446
1488424654 384212269 1818624 1793264 1441953
1488424655 399704941 1818624 1868329 1525294
1488424656 388888325 1818624 1830544 1481392
1488424657 397982215 1818624 1908806 1520198
1488424658 364268482 1818624 1735397 1327285
1488424659 391381370 1818624 1850028 1427999
1488424660 390445871 1818624 1845785 1493285
1488424661 367574019 1818624 1759861 1385805
1488424662 362496607 1818624 1718026 1334769
1488424663 346923486 1818624 1576658 1238591
1488424664 309904454 1818624 1428815 1045602
1488424665 307285237 1818624 1446137 1057279
1488424666 316804099 1818624 1482505 1127495
1488424667 331223398 1818624 1537229 1180612
1488424668 339503303 1818624 1533210 1193628
1488424669 338248566 1818624 1554714 1212637
1488424670 347136193 1818624 1624014 1217623
1488424671 326703436 1818624 1530695 1139957
1488424672 360254934 1818624 1657853 1181941
1488424673 417571703 1818624 1912626 1388457
1488424674 393544994 1818624 1810061 1304077
1488424675 431392124 1818624 1942800 1430134
1488424676 446374763 1818624 1963976 1529168
1488424677 431395351 1818624 1934083 1421563
1488424678 430951352 1818624 1904251 1453956
