#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1488424571 12070485 1495040 1306 974
1488424572 839412 1384448 5460 4190
1488424573 598308 1187840 8090 5830
1488424574 761775 1187840 8206 5976
1488424575 829092 1187840 8432 6102
1488424576 732951 1187840 8140 5940
1488424577 744247 1187840 8558 6298
1488424578 817377 1187840 8062 5832
1488424579 731895 1187840 7474 5454
1488424580 685381 1187840 7770 5670
1488424581 656557 1187840 7988 5848
1488424582 751068 1085440 7696 5616
1488424583 835091 1085440 7622 5562
1488424584 741464 1085440 7770 5670
1488424585 674639 1085440 7696 5616
1488424586 979836 1085440 8362 6102
1488424587 667392 1085440 7474 5454
1488424588 658709 1085440 7770 5670
1488424589 818466 1085440 8140 5940
1488424590 751140 1085440 7548 5508
1488424591 840909 1085440 8288 6048
1488424592 667662 1085440 7992 5832
1488424593 739207 1085440 7992 5832
1488424594 889423 1085440 7992 5832
1488424595 826793 1085440 8066 5886
1488424596 714522 1085440 8066 5886
1488424597 982477 1085440 7992 5832
1488424598 812376 1085440 8436 6156
1488424599 731357 1085440 7474 5454
1488424600 671776 1085440 8222 6102
1488424601 739378 1085440 8286 6126
1488424602 943180 1085440 7992 5832
1488424603 826984 1085440 8214 5994
1488424604 697958 1085440 7844 5724
1488424605 792127 1085440 8478 6198
1488424606 828560 1085440 8362 6102
1488424607 602639 1085440 7696 5616
1488424608 724007 1085440 8214 5994
1488424609 655351 1085440 7696 5616
1488424610 827629 1085440 8214 5994
1488424611 813521 1085440 7770 5670
1488424612 771235 1085440 8288 6048
1488424613 731073 1085440 7918 5778
1488424614 669638 1085440 8584 6264
1488424615 606442 1085440 7252 5292
1488424616 882946 1085440 7770 5670
1488424617 608204 1085440 8658 6318
1488424618 910515 1085440 7960 5820
1488424619 614298 1085440 8214 5994
1488424620 809811 1085440 8288 6048
1488424621 554716 1085440 7622 5562
1488424622 710739 1085440 8214 5994
1488424623 789211 1085440 7622 5562
1488424624 793766 1085440 8510 6210
