#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1488415953 18697020 2035712 9976 149226
1488415954 37011670 1912832 7296 1305035
1488415955 10361445 1937408 2110 484000
1488415956 0 1818624 394 132
1488415957 7176509 1818624 1126 355256
1488415958 9066739 1818624 1366 385672
1488415959 12588197 1818624 932 285656
1488415960 8471447 1818624 1386 507960
1488415961 9533932 1818624 1254 442064
1488415962 8380342 1818624 1126 376818
1488415963 11580753 1818624 1192 428798
1488415964 21123942 1875968 1320 443036
1488415965 16248416 1875968 1320 470710
1488415966 17474273 1875968 1056 386204
1488415967 5807842 1875968 1056 411578
1488415968 9546165 1875968 1122 449554
1488415969 7090302 1888256 990 393134
1488415970 7581925 1888256 858 360528
1488415971 9033076 1888256 1188 409264
1488415972 14638176 1888256 1188 389472
1488415973 11321325 1888256 1320 451810
1488415974 12354463 1888256 1056 394016
1488415975 8538342 1888256 1188 442184
1488415976 6376750 1888256 1056 336078
1488415977 9940877 1888256 1188 428344
1488415978 6336119 1769472 1056 346616
1488415979 12847361 1769472 1098 388042
1488415980 10994091 1769472 726 261038
1488415981 7026865 1769472 924 381666
1488415982 5450993 1769472 990 333678
1488415983 5467872 1769472 858 221700
1488415984 13871531 1769472 924 331438
1488415985 7682240 1769472 1056 338596
1488415986 8196994 1769472 1254 392076
1488415987 9008055 1769472 924 322862
1488415988 7452660 1769472 858 327832
1488415989 6365046 1769472 792 314996
1488415990 10870031 1769472 1056 403194
1488415991 8070848 1769472 858 303088
1488415992 11190422 1769472 990 328576
1488415993 6010064 1769472 1452 470502
1488415994 7021570 1769472 924 335402
1488415995 8681912 1769472 990 358188
1488415996 8189894 1769472 990 382500
1488415997 7722621 1769472 924 392612
1488415998 8307024 1769472 990 380102
1488415999 14636539 1769472 1056 393186
1488416000 6682744 1769472 1098 366006
1488416001 7620828 1769472 990 334632
1488416002 7705240 1769472 990 401890
1488416003 12796590 1769472 1188 418250
1488416004 5611331 1769472 1056 345728
1488416005 8214018 1769472 792 384036
1488416006 12309840 1769472 1122 332852
1488416007 7340047 1769472 1188 397184
1488416008 15698252 1769472 858 309526
1488416009 13855129 1769472 990 368190
1488416010 6625776 1769472 1122 404662
1488416011 11546373 1769472 924 338720
1488416012 5087666 1769472 1056 377248
1488416013 11449507 1769472 1056 392994
1488416014 7968962 1769472 1056 386830
1488416015 6443925 1769472 1056 316832
1488416016 7495838 1769472 924 389932
1488416017 7870714 1769472 1254 390746
1488416018 7270619 1769472 1122 395816
1488416019 14425428 1769472 990 409702
1488416020 4052250 1769472 990 343774
1488416021 16075742 1769472 1254 401718
1488416022 4978443 1769472 1032 365568
1488416023 6717969 1769472 792 266698
1488416024 8515517 1769472 924 378836
1488416025 13649946 1769472 1056 393874
1488416026 9689087 1769472 1254 435220
1488416027 5839419 1769472 924 348794
