#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1488415948 10337329 3571712 1310 1550
1488415949 1398739 3522560 452 250
1488415950 818438 3522560 182 0
1488415951 227988716 3866624 1145257 753015
1488415952 362142671 3997696 2002268 1349164
1488415953 355390450 4128768 1969094 1301906
1488415954 312044239 4128768 1758486 1101882
1488415955 289856966 4005888 1454288 993856
1488415956 296585 3878912 915 398
1488415957 289506638 4014080 1790165 1395218
1488415958 384741226 4014080 2169390 1727750
1488415959 328863797 4014080 1925878 1493574
1488415960 347348780 4014080 1958621 1467032
1488415961 350960979 4014080 2117807 1561019
1488415962 342698301 4145152 1974247 1420876
1488415963 366410409 4067328 2179963 1663927
1488415964 384998589 4067328 2229423 1737905
1488415965 336044778 4067328 2107624 1495168
1488415966 379018451 4067328 2200641 1682661
1488415967 356850853 4067328 2070712 1586034
1488415968 347079499 4067328 2120882 1573290
1488415969 379666243 4067328 2131916 1544900
1488415970 391228931 4198400 2088117 1587475
1488415971 324966159 4198400 1907371 1472155
1488415972 309807994 4071424 1842182 1317370
1488415973 349419371 4071424 1969286 1501533
1488415974 364376590 4071424 2191353 1656606
1488415975 370881381 4071424 2151859 1583186
1488415976 322419072 4071424 1842861 1349108
1488415977 347499319 3948544 2037197 1517140
1488415978 287990120 3948544 1661925 1240801
1488415979 279700867 3948544 1604791 1155882
1488415980 287895219 3948544 1639360 1215764
1488415981 294867792 3948544 1611495 1174068
1488415982 289418778 3948544 1603820 1204783
1488415983 278454910 3948544 1630988 1166402
1488415984 276825322 3948544 1604353 1139126
1488415985 278094048 3948544 1610304 1185153
1488415986 290618675 4079616 1635259 1225360
1488415987 278587118 4079616 1589842 1146399
1488415988 274959745 4079616 1604840 1154021
1488415989 290019333 3952640 1683940 1301046
1488415990 284569588 3952640 1668171 1262015
1488415991 311484939 3952640 1918067 1437568
1488415992 317920592 3952640 1819929 1336625
1488415993 323550283 3952640 1909292 1488811
1488415994 299312593 3952640 1858363 1388718
1488415995 332475293 3952640 1974031 1523873
1488415996 314014717 3952640 1906110 1492629
1488415997 339116737 3952640 1873203 1459078
1488415998 330232012 3952640 1909809 1470685
1488415999 341463434 3952640 1922016 1493783
1488416000 324024906 3952640 1902337 1449022
1488416001 320699507 3952640 1909502 1458535
1488416002 319455480 3952640 1843298 1393255
1488416003 324250090 3952640 1943925 1551766
1488416004 294634241 4083712 1753083 1326728
1488416005 330916187 4083712 1863412 1435443
1488416006 332495543 4083712 1919581 1548099
1488416007 310654142 3956736 1836966 1378743
1488416008 329639694 3956736 1871987 1430836
1488416009 352535041 3956736 1924422 1524831
1488416010 341032993 4087808 1906388 1510413
1488416011 323339142 4087808 1901163 1484972
1488416012 325265795 4087808 1915513 1493465
1488416013 328061608 3960832 1906444 1517852
1488416014 357543274 3960832 1970015 1618671
1488416015 330005107 3960832 2013191 1700321
1488416016 342179944 3960832 1933554 1554718
1488416017 330423950 3960832 1934936 1525194
1488416018 330176101 3960832 1891639 1454275
1488416019 337763030 3960832 1883062 1448753
1488416020 314204629 3960832 1858159 1388744
1488416021 289016218 3960832 1879245 1446779
1488416022 354880759 3960832 1892238 1458393
1488416023 319611908 3960832 1911855 1518135
1488416024 332606340 3960832 1905949 1495059
1488416025 343652249 3960832 1916178 1490158
1488416026 306504451 3960832 1856743 1413139
1488416027 319199351 3960832 1953325 1565896
1488416028 342615022 3960832 1928966 1530287
1488416029 323358540 3960832 1896513 1495791
1488416030 335078367 3960832 1939107 1523296
1488416031 340861729 3960832 1920296 1514592
1488416032 338158433 3960832 1970497 1558708
1488416033 318838168 3960832 1925796 1527218
1488416034 353182980 3960832 1936668 1543126
1488416035 315331675 3960832 1915504 1515297
1488416036 341416575 3960832 1953844 1539896
1488416037 333054149 3960832 1949334 1565802
1488416038 338270041 3960832 1939260 1513305
1488416039 351116945 3960832 1986932 1572705
1488416040 328473832 3960832 1909411 1510482
1488416041 330210501 3960832 1940915 1552899
