#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1488415945 9142538 1298432 250 168
1488415946 1268865 1298432 508 250
1488415947 1574019 1204224 250 90
1488415948 1333769 1163264 988 604
1488415949 1745611 1294336 924 538
1488415950 765469 1187840 112 70
1488415951 127852714 2228224 612169 618819
1488415952 218360492 1843200 1122526 1129038
1488415953 208474816 1896448 1073352 1078416
1488415954 171111650 1777664 899176 901288
1488415955 164799764 1802240 818230 820470
1488415956 1144744 1687552 1040 638
1488415957 165712981 1687552 861622 1046416
1488415958 220625903 1687552 1047314 1263386
1488415959 187508004 1687552 895265 1078865
1488415960 176057361 1687552 790141 951911
1488415961 175127288 1687552 828437 998433
1488415962 154775698 1687552 716884 863564
1488415963 199833857 1687552 952261 1148666
1488415964 225708434 1687552 1028138 1240335
1488415965 162884929 1687552 727914 877276
1488415966 191299119 1687552 961858 1159754
1488415967 178929992 1687552 910922 1096456
1488415968 186526154 1687552 846639 1019745
1488415969 171763242 1687552 792886 956290
1488415970 199314994 1687552 898897 1083375
1488415971 172921265 1687552 857966 1032788
1488415972 148811057 1687552 654783 788705
1488415973 169037271 1687552 853768 1028260
1488415974 192614369 1687552 926973 1117503
1488415975 166249829 1687552 838307 1010575
1488415976 166468289 1687552 720876 868308
1488415977 164647120 1687552 809675 975541
1488415978 148497577 1687552 679391 818065
1488415979 150781468 1687552 584459 703663
1488415980 140293542 1687552 655365 788607
1488415981 163179421 1687552 609689 733140
1488415982 160779426 1687552 681035 819864
1488415983 147008623 1687552 565049 679765
1488415984 152635058 1687552 556209 669586
1488415985 180848061 1687552 626392 754129
1488415986 162216650 1687552 674066 811242
1488415987 132476595 1687552 581052 699180
1488415988 147298091 1687552 579631 697912
1488415989 164959622 1687552 761020 915335
1488415990 168146480 1687552 727513 875975
1488415991 153602653 1687552 771777 929262
1488415992 171041586 1687552 706481 851866
1488415993 178339056 1687552 884033 1063891
1488415994 155571911 1687552 778354 937204
1488415995 195037019 1687552 868247 1045267
1488415996 179865795 1687552 894513 1076945
1488415997 190225751 1687552 865278 1041224
1488415998 178484055 1687552 852469 1025659
1488415999 178473799 1687552 881737 1062012
1488416000 177984640 1687552 824843 992688
1488416001 181160183 1687552 834037 1003731
1488416002 183451611 1687552 780727 939775
1488416003 204417401 1687552 961922 1158214
1488416004 164976248 1687552 769824 926253
1488416005 192066693 1687552 811063 976598
1488416006 194951577 1687552 972333 1169946
1488416007 159395187 1687552 762297 917319
1488416008 174527307 1687552 819419 986606
1488416009 212720893 1687552 935892 1126506
1488416010 188563346 1687552 923080 1111697
1488416011 192453336 1687552 883588 1063709
1488416012 200467533 1687552 887053 1067835
1488416013 198985567 1687552 935666 1127054
1488416014 205844945 1687552 1047775 1260897
1488416015 231601062 1687552 1149919 1385567
1488416016 202342017 1687552 972537 1170479
1488416017 185919205 1687552 924593 1113321
1488416018 184127959 1687552 839747 1010959
1488416019 198391673 1687552 837925 1009137
1488416020 168469819 1687552 761931 916974
1488416021 177128659 1687552 858248 1033288
1488416022 194971050 1687552 827701 997902
1488416023 186068094 1687552 928635 1118855
1488416024 202563968 1687552 898536 1082242
1488416025 190253100 1687552 880378 1059774
1488416026 153737014 1687552 805809 969874
1488416027 203062499 1687552 975771 1174987
1488416028 182078501 1687552 937076 1127737
1488416029 196140049 1687552 906540 1092008
1488416030 188471730 1687552 918014 1104736
1488416031 183985882 1687552 916310 1103230
1488416032 216137658 1687552 949522 1143240
1488416033 199238813 1687552 956044 1151129
1488416034 179707435 1687552 949974 1144285
1488416035 195122311 1687552 922617 1111781
1488416036 190068651 1687552 912404 1098843
1488416037 208802319 1687552 1004267 1209402
1488416038 175960575 1687552 897745 1080903
1488416039 193872705 1687552 935593 1126651
1488416040 187802761 1687552 922066 1110570
1488416041 202930981 1687552 986655 1186973
1488416042 192790047 1687552 902526 1086918
1488416043 187587251 1687552 912904 1098372
1488416044 198504282 1687552 975960 1175222
1488416045 194056477 1687552 849705 1023755
1488416046 200705722 1687552 964208 1161292
1488416047 190862587 1687552 850056 1023340
1488416048 152671354 1687552 709178 853574
1488416049 171502960 1687552 824347 992589
