#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1488415944 8753674 1327104 90 168
1488415945 851805 1179648 414 250
1488415946 1289147 1179648 660 90
1488415947 1720693 1179648 180 0
1488415948 1342320 1146880 904 538
1488415949 1364676 1146880 202 70
1488415950 1182048 1277952 922 538
1488415951 238330589 1847296 1257644 1506518
1488415952 382241034 1908736 2223398 2655676
1488415953 374125650 2056192 2193818 2621422
1488415954 345267854 2056192 2017246 2417524
1488415955 295792128 1933312 1586037 1901153
1488415956 174218 1933312 718 584
1488415957 290569407 2076672 2096716 2098178
1488415958 372902497 2076672 2555895 2552266
1488415959 349790476 1957888 2415544 2414343
1488415960 342783086 1957888 2404017 2402523
1488415961 391715295 1957888 2730843 2722243
1488415962 354815752 1957888 2479123 2475455
1488415963 388947848 1830912 2693683 2687401
1488415964 405323645 1830912 2724645 2716799
1488415965 385294884 1830912 2726763 2721763
1488415966 389877993 1830912 2724335 2716719
1488415967 366650914 1830912 2561824 2556288
1488415968 378137314 1830912 2668692 2662346
1488415969 403516743 1830912 2724268 2714036
1488415970 390522608 1830912 2594116 2589175
1488415971 333557099 1830912 2345464 2345452
1488415972 352857241 1830912 2427094 2426573
1488415973 353636090 1830912 2389583 2388515
1488415974 415944645 1830912 2727358 2719954
1488415975 394760789 1830912 2730314 2721016
1488415976 347908276 1830912 2391285 2391207
1488415977 372409530 1830912 2559768 2555222
1488415978 300691455 1830912 2040598 2038760
1488415979 297584481 1830912 2103580 2101276
1488415980 277801768 1830912 2016615 2016405
1488415981 303909303 1830912 2051487 2049931
1488415982 304687204 1830912 2056561 2055011
1488415983 289968572 1830912 2053544 2053090
1488415984 298981929 1830912 2072047 2070715
1488415985 291984633 1830912 2041537 2039058
1488415986 302533528 1830912 2045973 2045386
1488415987 289796717 1830912 2040355 2038383
1488415988 295217763 1830912 2059773 2058923
1488415989 291696229 1830912 2070446 2070454
1488415990 315161424 1830912 2133227 2132179
1488415991 321232512 1830912 2344681 2344050
1488415992 335679539 1830912 2306543 2305276
1488415993 328955438 1830912 2334217 2333612
1488415994 330355531 1830912 2384389 2383934
1488415995 333737318 1830912 2372428 2371578
1488415996 328390169 1830912 2328344 2328022
1488415997 344250312 1830912 2292245 2291904
1488415998 356073814 1830912 2405456 2404559
1488415999 333887324 1830912 2300199 2299085
1488416000 346311680 1830912 2414988 2414403
1488416001 327771727 1830912 2310864 2310673
1488416002 344787223 1830912 2348738 2347624
1488416003 321489226 1830912 2286133 2286517
1488416004 319719123 1830912 2230329 2230337
1488416005 322492902 1830912 2244859 2243613
1488416006 325625063 1830912 2291588 2290870
1488416007 324581051 1830912 2300750 2299619
1488416008 333980575 1830912 2319001 2318280
1488416009 352938389 1830912 2325304 2324256
1488416010 335988373 1961984 2306786 2305718
1488416011 334896645 1961984 2319595 2319715
1488416012 342340195 1835008 2340141 2338433
1488416013 346385366 1835008 2352001 2351151
1488416014 334009716 2097152 2275317 2274797
1488416015 329929541 1974272 2329324 2329200
1488416016 340158417 1974272 2313441 2312809
1488416017 338162841 1974272 2351079 2350585
1488416018 339987534 1974272 2333709 2332397
1488416019 354272429 1974272 2371874 2370562
1488416020 335002616 1974272 2325128 2325400
1488416021 310960615 1974272 2322002 2321548
1488416022 342204851 1851392 2277931 2277127
1488416023 324808388 1851392 2307144 2304381
1488416024 346376023 1851392 2375070 2374702
1488416025 337645107 1851392 2293109 2292502
1488416026 332895606 1851392 2358058 2359386
1488416027 318373560 1982464 2286042 2285212
1488416028 331132849 1982464 2330529 2329791
1488416029 335317215 1982464 2305421 2304902
1488416030 344414214 1982464 2355297 2355040
1488416031 336928497 1982464 2328437 2327587
1488416032 349571413 1982464 2384324 2384398
1488416033 335923281 1982464 2381389 2380520
1488416034 339253171 1982464 2332197 2331016
1488416035 327146248 1982464 2326477 2325628
1488416036 329077415 1982464 2311032 2310491
1488416037 347438641 1855488 2393169 2392320
