#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1488424561 15270773 4829184 270 180
1488424562 453900147 282296320 706 78
1488424563 826506132 282304512 786 250
1488424564 10497069 284958720 1602 1226
1488424565 1463306 285065216 1004 0
1488424566 290868273 285888512 788041 413899
1488424567 1215519927 286142464 2701088 1640779
1488424568 1176947213 286011392 2358488 1632919
1488424569 1206413634 286011392 2399376 1647549
1488424570 1201156208 286011392 2233720 1561201
1488424571 1188170527 286142464 2283248 1577021
1488424572 1190346092 286142464 2443408 1667292
1488424573 1196334136 286134272 2501344 1680336
1488424574 1257146927 286138368 2565714 1761169
1488424575 1182856472 286265344 2463300 1671995
1488424576 1179266763 286154752 2187408 1518072
1488424577 1079682772 286150656 1277234 848194
1488424578 1093377138 285999104 1428262 973661
1488424579 1119148952 286019584 1618432 1085128
1488424580 1066595561 286134272 1366066 945121
1488424581 1127348945 286371840 1729596 1159221
1488424582 1090083613 286248960 1354546 937810
1488424583 1074613335 286138368 992604 675817
1488424584 1180123484 286392320 2641128 1797227
1488424585 1106454201 286146560 2190326 1469294
1488424586 1224090443 286150656 2658728 1816136
1488424587 1182738794 286138368 2386870 1637257
1488424588 1207235169 286126080 2527484 1686114
1488424589 1221739171 286150656 2506822 1712267
1488424590 1189470628 286273536 2453306 1652162
1488424591 1213782626 286277632 2462720 1688083
1488424592 1173543722 286400512 2409108 1647278
1488424593 1221800619 286519296 2548388 1712076
1488424594 1230327668 286244864 2482654 1719994
1488424595 1176634852 286150656 2200354 1477935
1488424596 1059893589 286142464 1256996 830319
1488424597 1198504939 286261248 2637501 1838214
1488424598 1133546841 286019584 2192418 1462100
1488424599 1177386499 286261248 2387850 1630525
1488424600 1246626340 286265344 2562024 1726670
1488424601 1202465394 286261248 2471068 1684347
1488424602 1213285379 286244864 2470882 1678295
1488424603 1198879227 286507008 2460228 1671768
1488424604 1154550514 286498816 2199178 1502139
1488424605 1068760959 286511104 1042012 675697
1488424606 1103391701 286519296 1652104 1130423
1488424607 1114424011 286388224 1731976 1153786
1488424608 1106020736 286248960 1439276 980016
1488424609 1067977734 286363648 1484322 1021372
1488424610 1133068492 286253056 1722296 1166391
1488424611 1144532772 286273536 2687858 1804315
1488424612 1179334696 286396416 2839310 1894394
1488424613 1186421880 286400512 2871490 1932463
1488424614 1190319520 286380032 2526408 1719821
1488424615 1186877354 286367744 2470180 1645082
1488424616 1204884079 286494720 2401214 1670263
1488424617 1225217404 286490624 2568094 1726462
1488424618 1193453455 286367744 2411654 1667638
1488424619 1249131142 286478336 2578798 1743198
1488424620 1187946588 286466048 2455200 1658773
1488424621 1196800996 286449664 2467270 1675838
1488424622 1214060249 286216192 2427824 1668399
1488424623 1206625418 286236672 2472166 1685842
1488424624 1208795908 286371840 2460504 1688358
1488424625 1242748720 286371840 2560572 1738902
1488424626 1176257930 286359552 2402268 1642820
1488424627 1232951955 286351360 2471186 1705647
1488424628 1177768506 286224384 2462634 1653493
1488424629 1236113024 286097408 2534662 1725424
1488424630 1178277162 285900800 2404054 1629583
1488424631 1246336008 286269440 2525070 1702178
1488424632 1144979006 286269440 2300156 1599619
1488424633 1193040062 286261248 2460138 1664829
1488424634 1178144897 286257152 1945126 1310308
1488424635 1094029585 286261248 1231172 822503
1488424636 1058878202 286388224 1268894 887384
1488424637 1168147983 286392320 2081974 1411986
1488424638 1140328030 286396416 2503744 1674953
1488424639 1172294774 286277632 2477462 1698744
1488424640 1250048391 286265344 2543848 1728086
1488424641 1160622865 286244864 2372340 1622512
1488424642 1201853088 286363648 2473578 1679068
