#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1488424564 11132331 3543040 1154 1316
1488424565 846660 3543040 480 78
1488424566 30825584 3776512 152614 34174
1488424567 153040934 3948544 764320 169644
1488424568 149842702 3821568 732599 160644
1488424569 134014207 3821568 660710 149292
1488424570 115393683 3821568 575644 136822
1488424571 96269442 3821568 466287 108810
1488424572 129359816 3821568 620559 148360
1488424573 116605477 3825664 553603 134696
1488424574 113029200 3825664 540539 131334
1488424575 120852869 3825664 568321 138590
1488424576 119270627 3829760 575129 138598
1488424577 113882802 3829760 544837 132254
1488424578 124784545 3829760 599480 147434
1488424579 116554811 3829760 568910 137328
1488424580 122072958 3829760 598841 143144
1488424581 123702600 3829760 603112 147302
1488424582 120505658 3829760 584159 143334
1488424583 132413097 3829760 646295 158918
1488424584 172749377 3829760 814651 191316
1488424585 164924473 3960832 740958 171986
1488424586 152160387 3960832 707328 164066
1488424587 155733067 3837952 761827 173636
1488424588 151480474 3837952 727635 168488
1488424589 145841960 3837952 717967 167432
1488424590 148960415 3837952 737233 166310
1488424591 156142268 3837952 762564 174758
1488424592 147742938 3837952 724109 166962
1488424593 141681646 3837952 691883 161484
1488424594 143099133 3837952 698519 160766
1488424595 136945694 3837952 667117 157136
1488424596 125134458 3837952 611994 146914
1488424597 147600827 3837952 713501 166244
1488424598 141709672 3969024 673082 157664
1488424599 156519596 3846144 764877 176458
1488424600 135443853 3846144 654415 154884
1488424601 128935787 3846144 626164 147236
1488424602 143586890 3846144 703295 163398
1488424603 158567692 3846144 764283 177860
1488424604 156687898 3846144 760012 175550
1488424605 133347827 3846144 662492 159916
1488424606 129941396 3850240 638385 155948
1488424607 125326417 3850240 603069 150264
1488424608 120938490 3850240 584444 145356
1488424609 145499592 3850240 593635 145256
1488424610 146422629 3850240 657423 158126
1488424611 153322460 3850240 647097 156146
1488424612 128191242 3850240 618674 148152
1488424613 127596581 3850240 617897 150272
1488424614 131503364 3850240 633355 153110
1488424615 136284275 3850240 640240 152294
1488424616 162560149 3850240 669747 160560
1488424617 123862216 3850240 586611 141700
1488424618 134896844 3850240 641526 155148
1488424619 129292153 3850240 608208 146634
1488424620 137350308 3850240 645163 152318
1488424621 124518929 3850240 592347 142748
1488424622 151409860 3850240 694690 163274
1488424623 143455091 3850240 705380 163604
1488424624 133503601 3850240 649179 149282
1488424625 136136485 3850240 657982 154298
1488424626 142727587 3850240 697301 163472
1488424627 132257020 3850240 640070 150858
1488424628 134080321 3850240 655773 152120
1488424629 139429856 3981312 678407 157854
1488424630 156730625 3854336 759295 174494
1488424631 152604101 3854336 735380 172044
1488424632 152069166 3854336 745829 171854
1488424633 162831302 3854336 788694 183008
1488424634 149125064 3854336 667282 303012
1488424635 135817523 3854336 593180 290126
1488424636 162526617 3854336 635030 304506
1488424637 150977330 3854336 651876 304968
1488424638 174150335 3854336 741068 347876
1488424639 159400148 3854336 691069 324108
1488424640 160138439 3854336 699557 332168
1488424641 169846811 3854336 732921 342992
1488424642 146969178 3854336 632732 300546
