#timestamp(s) cpu_usage(ticks) memory_usage(bytes) rx(bytes) tx(bytes)
1488424558 9114423 1253376 180 180
1488424559 672550 1253376 78 78
1488424560 1211600 1253376 250 250
1488424561 1164390 1011712 360 0
1488424563 2279616 1011712 1576 0
1488424564 1536382 1183744 1644 1080
1488424565 1561857 1343488 2164 1142
1488424566 1218421 1110016 640 0
1488424567 721684 1110016 452 0
1488424568 665195 1110016 148 70
1488424569 598050 1110016 612 0
1488424570 536365 1110016 218 0
1488424571 531382 1110016 668 42
1488424572 235898 1257472 1022 686
1488424573 743540 1134592 534 444
1488424574 910496 1134592 518 518
1488424575 779819 1134592 394 444
1488424576 964916 1134592 432 592
1488424577 719472 1134592 448 518
1488424578 660647 1134592 324 444
1488424579 770088 1134592 448 518
1488424580 911938 1134592 378 518
1488424581 847397 1134592 432 592
1488424582 843977 1134592 378 518
1488424583 580795 1134592 270 370
1488424584 811873 1134592 378 518
1488424585 964454 1134592 378 518
1488424586 727019 1134592 324 444
1488424587 767466 1134592 324 444
1488424588 747020 1134592 324 444
1488424589 773312 1134592 324 444
1488424590 865924 1134592 378 518
1488424591 922969 1134592 378 518
1488424592 760538 1134592 378 518
1488424593 877382 1134592 378 518
1488424594 862749 1134592 324 444
1488424595 896200 1134592 378 518
1488424596 679355 1134592 324 444
1488424597 895326 1134592 420 560
1488424598 764108 1134592 324 444
1488424599 748640 1134592 378 518
1488424600 1050882 1134592 432 592
1488424601 765034 1134592 378 518
1488424602 738855 1134592 324 444
1488424603 806206 1134592 378 518
1488424604 759060 1134592 378 518
1488424605 895489 1134592 432 592
1488424606 847204 1134592 378 518
1488424607 665336 1134592 324 444
1488424608 674947 1134592 324 444
1488424609 830069 1134592 378 518
1488424610 809238 1134592 378 518
1488424611 868990 1134592 378 518
1488424612 886396 1134592 378 518
1488424613 927215 1134592 378 518
1488424614 851528 1134592 378 518
1488424615 838374 1134592 378 518
1488424616 680817 1134592 324 444
1488424617 795944 1134592 378 518
1488424618 856253 1134592 378 518
1488424619 787714 1134592 378 518
1488424620 822605 1134592 378 518
1488424621 695297 1134592 324 444
1488424622 977810 1134592 474 634
1488424623 679906 1134592 324 444
1488424624 672047 1134592 324 444
1488424625 859504 1134592 378 518
1488424626 826451 1134592 324 444
1488424627 912846 1134592 378 518
1488424628 849474 1134592 378 518
1488424629 799497 1134592 378 518
1488424630 837886 1134592 378 518
1488424631 888531 1134592 378 518
1488424632 702617 1134592 324 444
1488424633 842736 1134592 378 518
1488424634 848165 1134592 378 518
